Rank	Word	TF-IDF	TF	IDF
1	海域	0.017173	0.0062	2.7581
2	夯法	0.016473	0.0036	4.6299
3	能级	0.016473	0.0036	4.6299
4	主航道	0.014864	0.0040	3.7136
5	超大	0.011422	0.0067	1.7121
6	强夯	0.010295	0.0022	4.6299
7	西线	0.009909	0.0027	3.7136
8	海底	0.007783	0.0036	2.1875
9	泥水	0.007734	0.0098	0.7904
10	更具	0.007573	0.0027	2.8381
11	施行	0.007515	0.0018	4.2244
12	码头	0.007003	0.0018	3.9367
13	线位	0.006282	0.0018	3.5313
14	以苏埃	0.006177	0.0013	4.6299
15	苏埃湾	0.006177	0.0013	4.6299
16	纵断面	0.006089	0.0031	1.9557
17	石群	0.005252	0.0013	3.9367
18	地基	0.005108	0.0044	1.1486
19	苏埃	0.004955	0.0013	3.7136
20	标准化	0.004791	0.0031	1.5388
21	避开	0.004537	0.0018	2.5504
22	凸起	0.004328	0.0013	3.2436
23	湿陷性	0.004328	0.0013	3.2436
24	硬岩	0.004295	0.0027	1.6094
25	直径	0.004182	0.0093	0.4478
26	向义雄	0.004118	0.0009	4.6299
27	港池	0.004118	0.0009	4.6299
28	华侨	0.004118	0.0009	4.6299
29	调坡	0.004118	0.0009	4.6299
30	梁永辉	0.004118	0.0009	4.6299
31	东线	0.004030	0.0013	3.0204
32	南岸	0.004030	0.0013	3.0204
33	龙湖	0.003758	0.0009	4.2244
34	纵坡	0.003606	0.0018	2.0272
35	扬州	0.003502	0.0009	3.9367
36	瘦西湖	0.003502	0.0009	3.9367
37	选型	0.003477	0.0040	0.8687
38	基岩	0.003463	0.0027	1.2977
39	adjustment	0.003303	0.0009	3.7136
40	栽头	0.003246	0.0013	2.4326
41	the	0.003193	0.0058	0.5523
42	试验	0.003048	0.0031	0.9792
43	mud	0.003004	0.0009	3.3771
44	深港	0.003004	0.0009	3.3771
45	常压	0.002978	0.0013	2.2320
46	机构	0.002907	0.0018	1.6341
47	汕头	0.002885	0.0009	3.2436
48	渣样	0.002885	0.0009	3.2436
49	深厚	0.002885	0.0009	3.2436
50	难点	0.002846	0.0022	1.2800
51	立交	0.002780	0.0009	3.1258
52	隔断	0.002780	0.0009	3.1258
53	贯穿	0.002705	0.0013	2.0272
54	管理层	0.002687	0.0009	3.0204
55	黄土	0.002656	0.0013	1.9908
56	海水	0.002602	0.0009	2.9251
57	压进	0.002602	0.0009	2.9251
58	prevention	0.002524	0.0009	2.8381
59	波动	0.002510	0.0018	1.4110
60	平面	0.002478	0.0027	0.9286
61	and	0.002459	0.0049	0.5027
62	balance	0.002453	0.0009	2.7581
63	液化	0.002387	0.0009	2.6840
64	技术培训	0.002326	0.0009	2.6150
65	risk	0.002298	0.0031	0.7380
66	江底	0.002269	0.0009	2.5504
67	淤泥	0.002216	0.0018	1.2455
68	进尺	0.002215	0.0009	2.4898
69	培训	0.002186	0.0018	1.2287
70	geology	0.002164	0.0009	2.4326
71	公园	0.002164	0.0009	2.4326
72	机设备	0.002164	0.0009	2.4326
73	全过程	0.002156	0.0018	1.2121
74	针对性	0.002143	0.0031	0.6883
75	通道	0.002138	0.0027	0.8012
76	夹层	0.002116	0.0009	2.3786
77	伤害	0.002115	0.0013	1.5853
78	刀具	0.002113	0.0031	0.6786
79	软弱	0.002099	0.0018	1.1799
80	diameter	0.002070	0.0009	2.3273
