Rank	Word	TF-IDF	TF	IDF
1	跨海	0.034841	0.0123	2.8381
2	单洞	0.018151	0.0086	2.1041
3	海域	0.015556	0.0056	2.7581
4	爆法	0.014248	0.0053	2.6840
5	梭鱼	0.012321	0.0033	3.7136
6	航道	0.012026	0.0040	3.0204
7	码头	0.011755	0.0030	3.9367
8	军港	0.010753	0.0023	4.6299
9	香炉	0.010753	0.0023	4.6299
10	疏散	0.010038	0.0043	2.3273
11	纵断面	0.009733	0.0050	1.9557
12	路由	0.009143	0.0023	3.9367
13	北岸	0.008735	0.0030	2.9251
14	单线	0.007749	0.0043	1.7966
15	方案	0.007692	0.0257	0.2991
16	比选	0.007405	0.0033	2.2320
17	船舶	0.007393	0.0020	3.7136
18	环宽	0.007258	0.0033	2.1875
19	双线	0.007082	0.0053	1.3340
20	车站	0.006893	0.0071	0.9663
21	板岩	0.006723	0.0020	3.3771
22	防灾	0.006609	0.0027	2.4898
23	海湾	0.006457	0.0020	3.2436
24	远期	0.005858	0.0017	3.5313
25	横断面	0.005783	0.0023	2.4898
26	排烟道	0.005606	0.0013	4.2244
27	segment	0.005343	0.0020	2.6840
28	螺栓	0.005311	0.0040	1.3340
29	通用型	0.005225	0.0013	3.9367
30	加油站	0.005185	0.0017	3.1258
31	连接	0.005051	0.0063	0.8012
32	scheme	0.005011	0.0017	3.0204
33	南岸	0.005011	0.0017	3.0204
34	the	0.004948	0.0090	0.5523
35	友好	0.004928	0.0013	3.7136
36	基地	0.004853	0.0017	2.9251
37	货运	0.004608	0.0010	4.6299
38	青泥洼	0.004608	0.0010	4.6299
39	钻爆	0.004608	0.0010	4.6299
40	开手	0.004608	0.0010	4.6299
41	土建	0.004270	0.0020	2.1450
42	溶洞	0.004242	0.0023	1.8265
43	疏港路	0.004205	0.0010	4.2244
44	海底隧道	0.004173	0.0023	1.7966
45	限界	0.004148	0.0013	3.1258
46	耐久性	0.004130	0.0017	2.4898
47	通风	0.004084	0.0027	1.5388
48	工况	0.004022	0.0033	1.2121
49	东线	0.004009	0.0013	3.0204
50	通道	0.003987	0.0050	0.8012
51	明清	0.003918	0.0010	3.9367
52	造船厂	0.003918	0.0010	3.9367
53	客流	0.003918	0.0010	3.9367
54	楔形	0.003882	0.0013	2.9251
55	火车站	0.003882	0.0013	2.9251
56	规划	0.003768	0.0036	1.0326
57	西线	0.003696	0.0010	3.7136
58	大连	0.003519	0.0020	1.7677
59	subsea	0.003515	0.0010	3.5313
60	两端	0.003363	0.0017	2.0272
61	断面	0.003288	0.0046	0.7079
62	制造	0.003244	0.0017	1.9557
63	造价	0.003244	0.0017	1.9557
64	南站	0.003229	0.0010	3.2436
65	推荐	0.003228	0.0013	2.4326
66	广场	0.003089	0.0013	2.3273
67	衬砌	0.003086	0.0036	0.8457
68	管片	0.003075	0.0159	0.1931
69	民主	0.003072	0.0007	4.6299
70	侧式	0.003072	0.0007	4.6299
71	风蚀	0.003072	0.0007	4.6299
72	明长城	0.003072	0.0007	4.6299
73	纵向	0.003049	0.0027	1.1486
74	抗震	0.003006	0.0010	3.0204
75	ring	0.003006	0.0010	3.0204
76	转入	0.003006	0.0010	3.0204
77	海底	0.002903	0.0013	2.1875
78	风井	0.002903	0.0013	2.1875
79	线路	0.002815	0.0083	0.3394
80	铁一局	0.002803	0.0007	4.2244
