Rank	Word	TF-IDF	TF	IDF
1	冻结	0.128393	0.0599	2.1450
2	明洞	0.045540	0.0108	4.2244
3	盐水	0.021070	0.0057	3.7136
4	板体	0.018388	0.0040	4.6299
5	空心	0.015802	0.0043	3.7136
6	通孔	0.015761	0.0034	4.6299
7	地连墙	0.012414	0.0040	3.1258
8	拔管	0.011984	0.0028	4.2244
9	钢绞线	0.011984	0.0028	4.2244
10	超宽	0.011821	0.0026	4.6299
11	预应力	0.011736	0.0043	2.7581
12	回水	0.010507	0.0023	4.6299
13	胶管	0.010507	0.0023	4.6299
14	夯管	0.010507	0.0023	4.6299
15	外圈	0.009389	0.0034	2.7581
16	钻孔	0.009024	0.0085	1.0603
17	结构层	0.008934	0.0023	3.9367
18	楼板	0.008934	0.0023	3.9367
19	freezing	0.008934	0.0023	3.9367
20	垂直	0.008606	0.0096	0.8922
21	堵水	0.008569	0.0028	3.0204
22	文化	0.008519	0.0040	2.1450
23	接收端	0.008357	0.0040	2.1041
24	管路	0.008023	0.0045	1.7677
25	粘土	0.007975	0.0051	1.5618
26	化冻	0.007881	0.0017	4.6299
27	冻胀	0.007881	0.0017	4.6299
28	山路	0.007361	0.0023	3.2436
29	装配式	0.007094	0.0023	3.1258
30	end	0.006855	0.0023	3.0204
31	中心站	0.006701	0.0017	3.9367
32	接收	0.006546	0.0085	0.7691
33	单向	0.006441	0.0020	3.2436
34	开孔	0.006441	0.0023	2.8381
35	洞门	0.006430	0.0057	1.1334
36	水涌	0.006226	0.0045	1.3718
37	粘质	0.006011	0.0017	3.5313
38	偏斜	0.006011	0.0017	3.5313
39	头井	0.005992	0.0014	4.2244
40	探孔	0.005935	0.0023	2.6150
41	跨度	0.005895	0.0031	1.8890
42	圈内	0.005748	0.0017	3.3771
43	孔口	0.005521	0.0017	3.2436
44	含水层	0.005359	0.0028	1.8890
45	交通枢纽	0.005320	0.0017	3.1258
46	层属	0.005254	0.0011	4.6299
47	孔圈径	0.005254	0.0011	4.6299
48	割管	0.005254	0.0011	4.6299
49	液管	0.005254	0.0011	4.6299
50	融沉	0.005254	0.0011	4.6299
51	靠尺	0.005254	0.0011	4.6299
52	夯管法	0.005254	0.0011	4.6299
53	夯进	0.005254	0.0011	4.6299
54	故应	0.005254	0.0011	4.6299
55	叠合	0.005254	0.0011	4.6299
56	沿板体	0.005254	0.0011	4.6299
57	浇筑	0.004965	0.0023	2.1875
58	布置	0.004929	0.0057	0.8687
59	低碳钢	0.004794	0.0011	4.2244
60	停冻	0.004794	0.0011	4.2244
61	烟气	0.004794	0.0011	4.2244
62	拼缝	0.004794	0.0011	4.2244
63	粉砂	0.004605	0.0034	1.3527
64	well	0.004568	0.0017	2.6840
65	端头	0.004562	0.0040	1.1486
66	复核	0.004518	0.0023	1.9908
67	粉质	0.004495	0.0051	0.8804
68	SHANXI	0.004467	0.0011	3.9367
69	ACHITECTUE	0.004467	0.0011	3.9367
70	解冻	0.004467	0.0011	3.9367
71	相一致	0.004467	0.0011	3.9367
72	模板	0.004238	0.0017	2.4898
73	孔深	0.004214	0.0011	3.7136
74	箱体	0.004214	0.0011	3.7136
75	塌孔	0.004214	0.0011	3.7136
76	拔除	0.004214	0.0011	3.7136
77	始发	0.004122	0.0079	0.5190
78	封堵	0.004060	0.0028	1.4312
79	承压	0.004012	0.0023	1.7677
80	Aug	0.004007	0.0011	3.5313
