Rank	Word	TF-IDF	TF	IDF
1	顶管	0.067417	0.0238	2.8381
2	江南	0.029886	0.0088	3.3771
3	管节	0.022003	0.0056	3.9367
4	江晖路	0.021564	0.0047	4.6299
5	江晖	0.019408	0.0042	4.6299
6	通道	0.018659	0.0233	0.8012
7	大道	0.017618	0.0088	1.9908
8	街通	0.012939	0.0028	4.6299
9	路过	0.012086	0.0037	3.2436
10	人行	0.012086	0.0037	3.2436
11	壳体	0.011435	0.0051	2.2320
12	改造	0.011059	0.0061	1.8265
13	林廷松	0.010782	0.0023	4.6299
14	穿过	0.010579	0.0051	2.0649
15	Hangzhou	0.009438	0.0028	3.3771
16	切口	0.008656	0.0042	2.0649
17	kg	0.007931	0.0028	2.8381
18	砂质	0.007410	0.0042	1.7677
19	jacking	0.006579	0.0019	3.5313
20	杭州	0.006547	0.0042	1.5618
21	粉土加	0.006469	0.0014	4.6299
22	onstruction	0.006469	0.0014	4.6299
23	压泥	0.006469	0.0014	4.6299
24	蒸压	0.006469	0.0014	4.6299
25	加气	0.006469	0.0014	4.6299
26	龙骨	0.006469	0.0014	4.6299
27	穿越	0.006028	0.0270	0.2231
28	槽钢	0.005627	0.0019	3.0204
29	曲线图	0.005450	0.0019	2.9251
30	北线	0.005189	0.0014	3.7136
31	环号	0.004752	0.0019	2.5504
32	连接成	0.004719	0.0014	3.3771
33	累计	0.004578	0.0037	1.2287
34	管内	0.004532	0.0014	3.2436
35	提升	0.004407	0.0061	0.7279
36	南线	0.004313	0.0009	4.6299
37	对顶	0.004313	0.0009	4.6299
38	及方量	0.004313	0.0009	4.6299
39	行过	0.004313	0.0009	4.6299
40	墙板	0.004313	0.0009	4.6299
41	bar	0.004245	0.0019	2.2785
42	pipe	0.004220	0.0014	3.0204
43	Security	0.004220	0.0014	3.0204
44	粉土	0.004176	0.0028	1.4944
45	质粉质	0.004158	0.0019	2.2320
46	等待	0.004087	0.0014	2.9251
47	自检	0.004087	0.0014	2.9251
48	推进	0.003945	0.0121	0.3258
49	mm	0.003945	0.0042	0.9410
50	横穿	0.003935	0.0009	4.2244
51	本台	0.003935	0.0009	4.2244
52	机中盾	0.003935	0.0009	4.2244
53	粉砂	0.003780	0.0028	1.3527
54	隐蔽	0.003750	0.0014	2.6840
55	补压	0.003667	0.0009	3.9367
56	石灰	0.003667	0.0009	3.9367
57	单节	0.003667	0.0009	3.9367
58	查勘	0.003667	0.0009	3.9367
59	人工费	0.003667	0.0009	3.9367
60	轻质	0.003667	0.0009	3.9367
61	土体	0.003548	0.0102	0.3463
62	焊接	0.003480	0.0023	1.4944
63	碎裂	0.003479	0.0014	2.4898
64	泥水	0.003313	0.0042	0.7904
65	两道	0.003289	0.0009	3.5313
66	管管	0.003289	0.0009	3.5313
67	对下	0.003289	0.0009	3.5313
68	双侧	0.003289	0.0009	3.5313
69	天津市	0.003289	0.0009	3.5313
70	验收	0.003150	0.0023	1.3527
71	验段	0.003146	0.0009	3.3771
72	位置图	0.002912	0.0009	3.1258
73	隔墙	0.002912	0.0009	3.1258
74	单侧	0.002912	0.0009	3.1258
75	the	0.002830	0.0051	0.5523
76	注浆	0.002825	0.0172	0.1640
77	球阀	0.002814	0.0009	3.0204
78	分项	0.002814	0.0009	3.0204
79	浆液	0.002788	0.0037	0.7483
80	复核	0.002782	0.0014	1.9908
