Rank	Word	TF-IDF	TF	IDF
1	定额	0.119802	0.0284	4.2244
2	消耗量	0.044556	0.0132	3.3771
3	编制	0.016794	0.0121	1.3912
4	企业	0.015854	0.0106	1.4944
5	胶结	0.014405	0.0055	2.6150
6	消耗	0.013092	0.0060	2.1875
7	成本	0.010842	0.0126	0.8571
8	粉细砂	0.009480	0.0057	1.6594
9	kg	0.009265	0.0033	2.8381
10	米级	0.009131	0.0020	4.6299
11	砾岩	0.009038	0.0030	3.0204
12	MEM	0.008835	0.0022	3.9367
13	每米	0.008619	0.0020	4.2244
14	泥水	0.008386	0.0106	0.7904
15	基价	0.007242	0.0016	4.6299
16	中胶	0.007242	0.0016	4.6299
17	油脂	0.006846	0.0043	1.5853
18	quota	0.006612	0.0014	4.6299
19	consumption	0.006612	0.0014	4.6299
20	风化	0.005987	0.0068	0.8804
21	台班	0.005622	0.0014	3.9367
22	测算	0.004928	0.0018	2.6840
23	费用	0.004825	0.0024	2.0272
24	环段	0.004819	0.0012	3.9367
25	直径	0.004690	0.0105	0.4478
26	机械	0.004667	0.0057	0.8122
27	砂土	0.004445	0.0027	1.6341
28	兰州	0.004444	0.0023	1.9218
29	用电量	0.004408	0.0010	4.6299
30	学位	0.004366	0.0026	1.7121
31	材料	0.004337	0.0076	0.5694
32	砾土	0.004314	0.0014	3.0204
33	制浆	0.004252	0.0014	3.1258
34	论文	0.004219	0.0032	1.3340
35	使用量	0.004083	0.0012	3.5313
36	用水量	0.004022	0.0010	4.2244
37	小时	0.003940	0.0024	1.6094
38	mud	0.003904	0.0012	3.3771
39	配件	0.003903	0.0013	3.0204
40	延米	0.003778	0.0008	4.6299
41	相对误差	0.003536	0.0010	3.7136
42	刮刀	0.003491	0.0016	2.2320
43	电缆	0.003487	0.0015	2.2785
44	米天	0.003464	0.0007	4.6299
45	环数	0.003387	0.0014	2.4898
46	cost	0.003379	0.0013	2.6150
47	误差	0.003359	0.0024	1.4110
48	单价	0.003283	0.0009	3.7136
49	二乘	0.003213	0.0008	3.9367
50	反演	0.003183	0.0011	2.9251
51	天数	0.003160	0.0007	4.2244
52	周转	0.003149	0.0007	4.6299
53	弱胶	0.003149	0.0007	4.6299
54	测定	0.003074	0.0013	2.3786
55	造价	0.003059	0.0016	1.9557
56	人工	0.003053	0.0033	0.9163
57	数据	0.003014	0.0087	0.3463
58	环到	0.002945	0.0007	3.9367
59	乘法	0.002895	0.0010	2.8381
60	粗大	0.002873	0.0007	4.2244
61	复合	0.002850	0.0027	1.0745
62	点交	0.002834	0.0006	4.6299
63	滚齿	0.002834	0.0006	4.6299
64	百分比	0.002785	0.0010	2.9251
65	投标	0.002778	0.0007	3.7136
66	时间	0.002776	0.0065	0.4252
67	the	0.002705	0.0049	0.5523
68	定位	0.002652	0.0016	1.6594
69	中等	0.002648	0.0020	1.2977
70	方程	0.002580	0.0012	2.2320
71	支架	0.002579	0.0010	2.6150
72	kgm	0.002526	0.0007	3.3771
73	环为	0.002526	0.0007	3.7136
74	成本核算	0.002519	0.0005	4.6299
75	加弱	0.002519	0.0005	4.6299
76	单一	0.002519	0.0018	1.3718
77	预算	0.002509	0.0009	2.8381
78	验算	0.002490	0.0010	2.6150
79	归类	0.002479	0.0011	2.2785
80	分项	0.002465	0.0008	3.0204
