Rank	Word	TF-IDF	TF	IDF
1	大兴	0.017950	0.0053	3.3771
2	变形缝	0.016054	0.0053	3.0204
3	改造	0.011474	0.0063	1.8265
4	渣土	0.010618	0.0101	1.0463
5	改良	0.010231	0.0082	1.2455
6	特级	0.008532	0.0024	3.5313
7	第期	0.008045	0.0034	2.3786
8	水泵房	0.006527	0.0019	3.3771
9	位移	0.006212	0.0072	0.8571
10	左线	0.005956	0.0068	0.8804
11	文物	0.005119	0.0014	3.5313
12	试验段	0.005043	0.0029	1.7395
13	卵石	0.004995	0.0043	1.1486
14	超限	0.004898	0.0024	2.0272
15	刀具	0.004591	0.0068	0.6786
16	右线	0.004521	0.0058	0.7797
17	刘祥东	0.004474	0.0010	4.6299
18	丁传松	0.004474	0.0010	4.6299
19	皮带	0.004114	0.0014	2.8381
20	切桩	0.004083	0.0010	4.2244
21	袁海平	0.004083	0.0010	4.2244
22	结泥	0.003991	0.0019	2.0649
23	出土	0.003932	0.0043	0.9042
24	模拟	0.003829	0.0043	0.8804
25	实测	0.003814	0.0029	1.3157
26	系统优化	0.003805	0.0010	3.9367
27	加强型	0.003805	0.0010	3.9367
28	线下	0.003780	0.0019	1.9557
29	框架	0.003718	0.0024	1.5388
30	土仓内	0.003715	0.0019	1.9218
31	既有	0.003610	0.0058	0.6225
32	超标	0.003609	0.0014	2.4898
33	正式	0.003590	0.0019	1.8573
34	源时	0.003589	0.0010	3.7136
35	点位	0.003473	0.0019	1.7966
36	直径	0.003462	0.0077	0.4478
37	每环	0.003409	0.0024	1.4110
38	数值	0.003213	0.0053	0.6045
39	打入	0.003135	0.0010	3.2436
40	负值	0.003135	0.0010	3.2436
41	近距离	0.003111	0.0019	1.6094
42	沉陷	0.003109	0.0014	2.1450
43	用量	0.003109	0.0014	2.1450
44	称重	0.003021	0.0010	3.1258
45	既有线	0.002993	0.0014	2.0649
46	变形	0.002969	0.0101	0.2926
47	膨润土	0.002847	0.0019	1.4729
48	易性	0.002827	0.0010	2.9251
49	沉降	0.002773	0.0169	0.1640
50	注浆	0.002773	0.0169	0.1640
51	勘察	0.002747	0.0043	0.6317
52	仓内	0.002738	0.0014	1.8890
53	塑性	0.002692	0.0014	1.8573
54	丁智	0.002665	0.0010	2.7581
55	风井	0.002643	0.0012	2.1875
56	改良剂	0.002594	0.0010	2.6840
57	有益	0.002527	0.0010	2.6150
58	脱出	0.002482	0.0014	1.7121
59	左右	0.002419	0.0029	0.8344
60	实测值	0.002406	0.0010	2.4898
61	泡沫	0.002406	0.0014	1.6594
62	监测点	0.002375	0.0019	1.2287
63	扭矩	0.002366	0.0024	0.9792
64	机场	0.002299	0.0010	2.3786
65	饱满	0.002299	0.0010	2.3786
66	搅拌	0.002298	0.0014	1.5853
67	辛韫潇以	0.002237	0.0005	4.6299
68	纪念堂	0.002237	0.0005	4.6299
69	西藏	0.002237	0.0005	4.6299
70	松原	0.002237	0.0005	4.6299
71	冯阵	0.002237	0.0005	4.6299
72	井沿	0.002237	0.0005	4.6299
73	及明	0.002237	0.0005	4.6299
74	易向	0.002237	0.0005	4.6299
75	地板	0.002237	0.0005	4.6299
76	内结	0.002237	0.0005	4.6299
77	使渣	0.002237	0.0005	4.6299
78	环约	0.002237	0.0005	4.6299
79	前有	0.002237	0.0005	4.6299
80	仍主	0.002237	0.0005	4.6299
