Rank	Word	TF-IDF	TF	IDF
1	箱涵	0.124261	0.0499	2.4898
2	预制	0.073950	0.0418	1.7677
3	工序	0.046165	0.0418	1.1035
4	拼装	0.045811	0.0705	0.6502
5	独立	0.032563	0.0228	1.4312
6	吊运	0.027909	0.0095	2.9251
7	吊机	0.022168	0.0073	3.0204
8	斜轮	0.013592	0.0029	4.6299
9	卸载	0.012498	0.0044	2.8381
10	某大	0.012402	0.0029	4.2244
11	cid	0.011663	0.0033	3.5313
12	同步	0.010717	0.0220	0.4867
13	轨下	0.009301	0.0022	4.2244
14	台车	0.009266	0.0044	2.1041
15	器来	0.008668	0.0022	3.9367
16	Equipment	0.008587	0.0029	2.9251
17	重量	0.007578	0.0037	2.0649
18	拖车	0.007142	0.0022	3.2436
19	优于	0.007142	0.0022	3.2436
20	直径	0.006902	0.0154	0.4478
21	分体	0.006882	0.0022	3.1258
22	制箱涵	0.006796	0.0015	4.6299
23	自驱轮	0.006796	0.0015	4.6299
24	经济性	0.006297	0.0029	2.1450
25	春风	0.006201	0.0015	4.2244
26	及维保	0.006201	0.0015	4.2244
27	差别	0.006177	0.0029	2.1041
28	后部	0.005758	0.0022	2.6150
29	伸缩	0.005758	0.0022	2.6150
30	二者	0.005642	0.0029	1.9218
31	管片	0.005528	0.0286	0.1931
32	配套	0.005252	0.0037	1.4312
33	对比	0.005150	0.0066	0.7797
34	Project	0.005107	0.0029	1.7395
35	MECHANIZATION	0.004957	0.0015	3.3771
36	始发	0.004952	0.0095	0.5190
37	检修	0.004654	0.0029	1.5853
38	理论指导	0.004588	0.0015	3.1258
39	运输	0.004547	0.0044	1.0326
40	尺寸	0.004389	0.0037	1.1959
41	效率	0.004215	0.0059	0.7178
42	前部	0.004049	0.0015	2.7581
43	从图	0.003956	0.0022	1.7966
44	行驶	0.003940	0.0015	2.6840
45	狭小	0.003838	0.0015	2.6150
46	国外	0.003654	0.0022	1.6594
47	车道	0.003416	0.0015	2.3273
48	CONSTRUCTION	0.003416	0.0015	2.3273
49	设有	0.003416	0.0015	2.3273
50	Assembling	0.003398	0.0007	4.6299
51	Prefabricated	0.003398	0.0007	4.6299
52	Culvert	0.003398	0.0007	4.6299
53	冯志鹏	0.003398	0.0007	4.6299
54	庞培	0.003398	0.0007	4.6299
55	任丽娜	0.003398	0.0007	4.6299
56	PANG	0.003398	0.0007	4.6299
57	Pei	0.003398	0.0007	4.6299
58	渐向	0.003398	0.0007	4.6299
59	随同	0.003398	0.0007	4.6299
60	其轨	0.003398	0.0007	4.6299
61	担负	0.003398	0.0007	4.6299
62	污水排放	0.003398	0.0007	4.6299
63	后配	0.003398	0.0007	4.6299
64	套除	0.003398	0.0007	4.6299
65	吊机外	0.003398	0.0007	4.6299
66	土压项	0.003398	0.0007	4.6299
67	车自驱	0.003398	0.0007	4.6299
68	MSV	0.003398	0.0007	4.6299
69	块数	0.003398	0.0007	4.6299
70	Suez	0.003398	0.0007	4.6299
71	吊运区	0.003398	0.0007	4.6299
72	上优	0.003398	0.0007	4.6299
73	该大	0.003398	0.0007	4.6299
74	载器	0.003398	0.0007	4.6299
75	在结构上	0.003398	0.0007	4.6299
76	其重	0.003398	0.0007	4.6299
77	张澜	0.003398	0.0007	4.6299
78	些许	0.003398	0.0007	4.6299
79	刘朋	0.003398	0.0007	4.6299
80	及维保措	0.003398	0.0007	4.6299
