Rank	Word	TF-IDF	TF	IDF
1	度量	0.017400	0.0092	1.8890
2	兰州	0.016522	0.0086	1.9218
3	该文	0.013682	0.0037	3.7136
4	ij	0.013516	0.0101	1.3340
5	奥体中心	0.011372	0.0025	4.6299
6	评价	0.009389	0.0178	0.5272
7	随机变量	0.009274	0.0031	3.0204
8	黄河	0.008876	0.0043	2.0649
9	接受	0.007271	0.0055	1.3157
10	指标	0.007204	0.0150	0.4788
11	公式	0.006975	0.0068	1.0326
12	NO	0.006841	0.0018	3.7136
13	信息熵	0.006774	0.0025	2.7581
14	一级	0.006570	0.0064	1.0189
15	兰州市	0.006505	0.0018	3.5313
16	进出	0.006241	0.0043	1.4518
17	二级	0.006202	0.0049	1.2626
18	深安	0.005686	0.0012	4.6299
19	奥世	0.005686	0.0012	4.6299
20	水文	0.005421	0.0049	1.1035
21	泵房	0.005389	0.0018	2.9251
22	大道	0.004890	0.0025	1.9908
23	准则	0.004681	0.0043	1.0889
24	第三系	0.004561	0.0012	3.7136
25	连续型	0.004337	0.0012	3.5313
26	卵石	0.004232	0.0037	1.1486
27	产品	0.004197	0.0018	2.2785
28	盆地	0.004147	0.0012	3.3771
29	问卷	0.003992	0.0021	1.8573
30	后果	0.003984	0.0031	1.2977
31	毛儒	0.003984	0.0012	3.2436
32	调查结果	0.003984	0.0012	3.2436
33	世纪	0.003894	0.0025	1.5853
34	lnp	0.003891	0.0009	4.2244
35	围护	0.003876	0.0018	2.1041
36	Tunneling	0.003780	0.0025	1.5388
37	ln	0.003734	0.0015	2.4326
38	冲积	0.003709	0.0012	3.0204
39	号线	0.003698	0.0080	0.4632
40	等级	0.003550	0.0061	0.5781
41	xij	0.003486	0.0012	2.8381
42	个数	0.003480	0.0018	1.8890
43	概念	0.003323	0.0025	1.3527
44	竖井	0.003310	0.0018	1.7966
45	洞室	0.003296	0.0012	2.6840
46	水源	0.003296	0.0012	2.6840
47	概率	0.003244	0.0037	0.8804
48	第四系	0.003204	0.0018	1.7395
49	组织	0.003129	0.0043	0.7279
50	指标体系	0.003128	0.0031	1.0189
51	评估	0.003096	0.0086	0.3602
52	压缩性	0.002988	0.0012	2.4326
53	mn	0.002921	0.0012	2.3786
54	cntp	0.002843	0.0006	4.6299
55	深入细致	0.002843	0.0006	4.6299
56	以奥世	0.002843	0.0006	4.6299
57	极软岩	0.002843	0.0006	4.6299
58	素多	0.002843	0.0006	4.6299
59	成散	0.002843	0.0006	4.6299
60	三滩	0.002843	0.0006	4.6299
61	Molag	0.002843	0.0006	4.6299
62	多座	0.002843	0.0006	4.6299
63	货场	0.002843	0.0006	4.6299
64	座落在	0.002843	0.0006	4.6299
65	西固区	0.002843	0.0006	4.6299
66	东岗	0.002843	0.0006	4.6299
67	息量	0.002843	0.0006	4.6299
68	西客站	0.002843	0.0006	4.6299
69	黄土高原	0.002843	0.0006	4.6299
70	腹部	0.002843	0.0006	4.6299
71	散型	0.002843	0.0006	4.6299
72	据表	0.002843	0.0006	4.6299
73	素地	0.002843	0.0006	4.6299
74	引桥	0.002843	0.0006	4.6299
75	遇湿	0.002843	0.0006	4.6299
76	ProjeetsJ	0.002843	0.0006	4.6299
77	BUHRE	0.002843	0.0006	4.6299
78	Reliable	0.002843	0.0006	4.6299
79	赵萌	0.002843	0.0006	4.6299
80	陈凯	0.002843	0.0006	4.6299
