Rank	Word	TF-IDF	TF	IDF
1	曲线	0.021327	0.0274	0.7797
2	曲率	0.017310	0.0066	2.6150
3	挖量	0.011127	0.0036	3.1258
4	半径	0.010151	0.0104	0.9792
5	青岛	0.009702	0.0061	1.5853
6	硕士学位	0.008981	0.0052	1.7121
7	地表	0.008354	0.0211	0.3958
8	双曲线	0.008178	0.0019	4.2244
9	理工大学	0.007839	0.0052	1.4944
10	铰接	0.007211	0.0036	1.9908
11	论文	0.006998	0.0052	1.3340
12	Peck	0.006453	0.0024	2.6840
13	最大值	0.005669	0.0043	1.3157
14	沉降	0.005130	0.0313	0.1640
15	土仓	0.004833	0.0049	0.9923
16	直线	0.004791	0.0026	1.8265
17	变化规律	0.004600	0.0021	2.2320
18	云图	0.004562	0.0026	1.7395
19	mm	0.004319	0.0046	0.9410
20	MPa	0.004224	0.0031	1.3527
21	峨眉山	0.003934	0.0010	3.9367
22	凝灰岩	0.003859	0.0011	3.5313
23	位移	0.003800	0.0044	0.8571
24	偏移量	0.003796	0.0011	3.3771
25	the	0.003794	0.0069	0.5523
26	富春江	0.003688	0.0009	3.9367
27	路站	0.003617	0.0017	2.1450
28	弹性模量	0.003548	0.0017	2.1041
29	楔形	0.003471	0.0012	2.9251
30	监测点	0.003376	0.0027	1.2287
31	轴线	0.003316	0.0047	0.7079
32	模型	0.003244	0.0061	0.5355
33	探究	0.003185	0.0017	1.8890
34	曲直	0.003180	0.0007	4.6299
35	分力	0.003163	0.0009	3.3771
36	内侧	0.003142	0.0014	2.1875
37	覆土	0.003140	0.0031	1.0055
38	负相关	0.003087	0.0009	3.5313
39	推力	0.003084	0.0041	0.7483
40	圆心	0.003038	0.0009	3.2436
41	公式	0.003031	0.0029	1.0326
42	实测	0.002958	0.0022	1.3157
43	转弯	0.002954	0.0012	2.4898
44	截面	0.002837	0.0014	2.0649
45	开挖	0.002806	0.0122	0.2293
46	断面	0.002741	0.0039	0.7079
47	先行	0.002713	0.0014	1.8890
48	拟合	0.002679	0.0012	2.1450
49	大圆	0.002602	0.0006	4.6299
50	模拟	0.002584	0.0029	0.8804
51	GPa	0.002536	0.0007	3.5313
52	双线	0.002499	0.0019	1.3340
53	修正	0.002478	0.0019	1.2800
54	curved	0.002458	0.0006	3.9367
55	向着	0.002458	0.0006	3.9367
56	损失率	0.002431	0.0010	2.4326
57	右线	0.002337	0.0030	0.7797
58	curvature	0.002313	0.0005	4.6299
59	超挖	0.002299	0.0016	1.4729
60	数值	0.002265	0.0037	0.6045
61	厚度	0.002227	0.0031	0.7279
62	引起	0.002208	0.0057	0.3885
63	扭矩	0.002201	0.0022	0.9792
64	radius	0.002110	0.0005	4.2244
65	偏移	0.002073	0.0012	1.6594
66	千斤顶	0.002027	0.0014	1.4110
67	损失	0.002017	0.0028	0.7178
68	压力	0.002002	0.0104	0.1931
69	峰值	0.001911	0.0007	2.5504
70	土体	0.001903	0.0055	0.3463
71	可知	0.001902	0.0023	0.8232
72	模型试验	0.001889	0.0008	2.3273
73	of	0.001847	0.0036	0.5190
74	外侧	0.001847	0.0011	1.7395
75	装置	0.001805	0.0017	1.0326
76	kN	0.001803	0.0009	1.9908
77	管片	0.001737	0.0090	0.1931
78	当土仓	0.001721	0.0004	3.9367
79	settlement	0.001711	0.0010	1.7677
80	左线	0.001704	0.0019	0.8804
