Rank	Word	TF-IDF	TF	IDF
1	厦深	0.023662	0.0051	4.6299
2	迸行	0.023029	0.0055	4.2244
3	四联	0.015832	0.0037	4.2244
4	一坳	0.007887	0.0017	4.6299
5	桥桩	0.007308	0.0034	2.1450
6	隔离	0.007112	0.0041	1.7395
7	灰岩	0.007035	0.0034	2.0649
8	高铁	0.006783	0.0034	1.9908
9	窗侧	0.006310	0.0014	4.6299
10	岩瘠	0.006310	0.0014	4.6299
11	祖禽	0.006310	0.0014	4.6299
12	磨构	0.006310	0.0014	4.6299
13	避兔	0.006310	0.0014	4.6299
14	膚构机	0.006310	0.0014	4.6299
15	累甘	0.006310	0.0014	4.6299
16	溶洞	0.006223	0.0034	1.8265
17	四路	0.005757	0.0014	4.2244
18	面硬岩	0.005757	0.0014	4.2244
19	全段	0.005365	0.0014	3.9367
20	铁路	0.004960	0.0068	0.7279
21	补给	0.004897	0.0027	1.7966
22	仓及	0.004813	0.0014	3.5313
23	水乎	0.004732	0.0010	4.6299
24	太于	0.004732	0.0010	4.6299
25	參数	0.004732	0.0010	4.6299
26	一侧	0.004472	0.0020	2.1875
27	输送机	0.004133	0.0027	1.5163
28	溶蚀	0.003868	0.0014	2.8381
29	重合	0.003564	0.0014	2.6150
30	以内	0.003463	0.0024	1.4518
31	适时	0.003393	0.0014	2.4898
32	阶段	0.003315	0.0089	0.3743
33	土仓内	0.003274	0.0017	1.9218
34	搅拌	0.003241	0.0020	1.5853
35	桥墩	0.003172	0.0014	2.3273
36	填充	0.003164	0.0034	0.9286
37	中镇	0.003155	0.0007	4.6299
38	右屬	0.003155	0.0007	4.6299
39	萬藝灣	0.003155	0.0007	4.6299
40	复舍式	0.003155	0.0007	4.6299
41	食鼓織	0.003155	0.0007	4.6299
42	榜厦	0.003155	0.0007	4.6299
43	換聽	0.003155	0.0007	4.6299
44	裁識	0.003155	0.0007	4.6299
45	顯构	0.003155	0.0007	4.6299
46	机鸯鮮	0.003155	0.0007	4.6299
47	下氣	0.003155	0.0007	4.6299
48	暴寶对	0.003155	0.0007	4.6299
49	对眞深	0.003155	0.0007	4.6299
50	采敢	0.003155	0.0007	4.6299
51	霍深	0.003155	0.0007	4.6299
52	杳挺线	0.003155	0.0007	4.6299
53	甚懸	0.003155	0.0007	4.6299
54	斑顧	0.003155	0.0007	4.6299
55	地縣	0.003155	0.0007	4.6299
56	翁机	0.003155	0.0007	4.6299
57	为端	0.003155	0.0007	4.6299
58	欺入	0.003155	0.0007	4.6299
59	筒介	0.003155	0.0007	4.6299
60	填良	0.003155	0.0007	4.6299
61	褚区	0.003155	0.0007	4.6299
62	褚太屢涯	0.003155	0.0007	4.6299
63	觸电	0.003155	0.0007	4.6299
64	激土	0.003155	0.0007	4.6299
65	硃砂	0.003155	0.0007	4.6299
66	砂暑	0.003155	0.0007	4.6299
67	方肉	0.003155	0.0007	4.6299
68	葫入	0.003155	0.0007	4.6299
69	贤合	0.003155	0.0007	4.6299
70	随滅	0.003155	0.0007	4.6299
71	磁地	0.003155	0.0007	4.6299
72	嫌村	0.003155	0.0007	4.6299
73	广讓	0.003155	0.0007	4.6299
74	二華路	0.003155	0.0007	4.6299
75	处沿	0.003155	0.0007	4.6299
76	红棉	0.003155	0.0007	4.6299
77	傷坪愧	0.003155	0.0007	4.6299
78	逮路	0.003155	0.0007	4.6299
79	总龜	0.003155	0.0007	4.6299
80	笼背	0.003155	0.0007	4.6299
