Rank	Word	TF-IDF	TF	IDF
1	桩基	0.028414	0.0185	1.5388
2	渣土	0.013656	0.0131	1.0463
3	泡沫	0.013218	0.0080	1.6594
4	含水率	0.012116	0.0044	2.7581
5	改良	0.011351	0.0091	1.2455
6	管线	0.010773	0.0204	0.5272
7	掺量	0.010583	0.0033	3.2436
8	损失率	0.007848	0.0032	2.4326
9	高架	0.007534	0.0028	2.6840
10	轴力	0.006887	0.0020	3.5313
11	东南大学	0.006725	0.0024	2.8381
12	粉细砂	0.006473	0.0039	1.6594
13	南通	0.006402	0.0019	3.3771
14	变形	0.005610	0.0192	0.2926
15	行线	0.005454	0.0014	3.9367
16	单桩	0.005390	0.0013	4.2244
17	试验	0.005283	0.0054	0.9792
18	发泡	0.005262	0.0016	3.2436
19	双线	0.005058	0.0038	1.3340
20	塌落	0.004966	0.0017	2.8381
21	太平路	0.004895	0.0011	4.6299
22	位移	0.004640	0.0054	0.8571
23	应力	0.004498	0.0044	1.0326
24	纵向	0.004439	0.0039	1.1486
25	桩基础	0.004418	0.0021	2.1450
26	硕士学位	0.004369	0.0026	1.7121
27	实测	0.004317	0.0033	1.3157
28	最大值	0.004221	0.0032	1.3157
29	左线	0.003996	0.0045	0.8804
30	倍率	0.003773	0.0009	4.2244
31	论文	0.003745	0.0028	1.3340
32	沉降	0.003727	0.0227	0.1640
33	模拟	0.003691	0.0042	0.8804
34	流动性	0.003544	0.0020	1.7677
35	东站	0.003419	0.0011	3.1258
36	前排	0.003376	0.0007	4.6299
37	土体	0.003358	0.0097	0.3463
38	稠度	0.003259	0.0011	2.8381
39	先行	0.003237	0.0017	1.8890
40	北站	0.003191	0.0010	3.1258
41	实测值	0.003177	0.0013	2.4898
42	轴线	0.003174	0.0045	0.7079
43	FIR	0.003122	0.0007	4.6299
44	粉土	0.003105	0.0021	1.4944
45	后排	0.003080	0.0007	4.2244
46	地表	0.003037	0.0077	0.3958
47	粉砂	0.002885	0.0021	1.3527
48	横向	0.002877	0.0023	1.2626
49	受力	0.002858	0.0029	0.9923
50	下部	0.002765	0.0019	1.4312
51	此时	0.002762	0.0022	1.2626
52	室内	0.002761	0.0013	2.1041
53	泡沫剂	0.002749	0.0011	2.4326
54	Peck	0.002740	0.0010	2.6840
55	竖向	0.002739	0.0025	1.0889
56	砂质	0.002706	0.0015	1.7677
57	摩擦性	0.002701	0.0006	4.6299
58	左右	0.002662	0.0032	0.8344
59	数值	0.002578	0.0043	0.6045
60	上方	0.002520	0.0022	1.1334
61	宽度	0.002450	0.0021	1.1486
62	改良剂	0.002446	0.0009	2.6840
63	右线	0.002416	0.0031	0.7797
64	逐渐	0.002407	0.0027	0.8804
65	塑性	0.002404	0.0013	1.8573
66	桥墩	0.002376	0.0010	2.3273
67	砂土	0.002353	0.0014	1.6341
68	增加	0.002336	0.0058	0.4030
69	穿过	0.002334	0.0011	2.0649
70	比值	0.002326	0.0010	2.2785
71	减小	0.002323	0.0031	0.7587
72	曲线	0.002288	0.0029	0.7797
73	规律	0.002156	0.0025	0.8571
74	开挖	0.002110	0.0092	0.2293
75	深度	0.002089	0.0027	0.7691
76	引起	0.002054	0.0053	0.3885
77	身轴力	0.002025	0.0004	4.6299
78	度深	0.002025	0.0004	4.6299
79	黏稠	0.002002	0.0005	4.2244
80	下桩	0.002002	0.0005	4.2244
