Rank	Word	TF-IDF	TF	IDF
1	土舱	0.020476	0.0097	2.1041
2	太原	0.015250	0.0043	3.5313
3	MPa	0.012423	0.0092	1.3527
4	地表	0.010095	0.0255	0.3958
5	Fig	0.007432	0.0038	1.9557
6	学府	0.006324	0.0015	4.2244
7	the	0.005184	0.0094	0.5523
8	弹性模量	0.005089	0.0024	2.1041
9	位移	0.004886	0.0057	0.8571
10	开口	0.004819	0.0030	1.6094
11	浆液	0.004804	0.0064	0.7483
12	站长	0.004799	0.0010	4.6299
13	风街	0.004799	0.0010	4.6299
14	当土舱	0.004799	0.0010	4.6299
15	grouting	0.004794	0.0020	2.3786
16	surface	0.004399	0.0021	2.0649
17	压力	0.004392	0.0227	0.1931
18	mm	0.004362	0.0046	0.9410
19	硕士学位	0.004140	0.0024	1.7121
20	主刀	0.004135	0.0010	4.2244
21	理工大学	0.004044	0.0027	1.4944
22	比例	0.003978	0.0033	1.2121
23	注浆	0.003951	0.0241	0.1640
24	竖向	0.003887	0.0036	1.0889
25	of	0.003885	0.0075	0.5190
26	论文	0.003764	0.0028	1.3340
27	沉降	0.003691	0.0225	0.1640
28	壁后	0.003580	0.0024	1.5163
29	富水	0.003450	0.0036	0.9663
30	开挖	0.003412	0.0149	0.2293
31	前方	0.003396	0.0028	1.2287
32	监测点	0.003360	0.0027	1.2287
33	ABAQUS	0.003240	0.0010	3.1258
34	太原市	0.003199	0.0007	4.6299
35	粉细砂	0.002962	0.0018	1.6594
36	应力	0.002884	0.0028	1.0326
37	横断面	0.002867	0.0012	2.4898
38	系数	0.002801	0.0037	0.7483
39	拟合	0.002594	0.0012	2.1450
40	土体	0.002582	0.0075	0.3463
41	断面	0.002548	0.0036	0.7079
42	曲线	0.002514	0.0032	0.7797
43	取值	0.002514	0.0021	1.1799
44	subsidence	0.002497	0.0010	2.5504
45	试件	0.002432	0.0006	4.2244
46	pressure	0.002366	0.0014	1.7121
47	砂层	0.002289	0.0022	1.0463
48	周围	0.002273	0.0032	0.7178
49	中心线	0.002259	0.0011	2.0649
50	settlement	0.002239	0.0013	1.7677
51	unit	0.002223	0.0008	2.7581
52	泥土	0.002178	0.0011	1.9908
53	看出	0.002164	0.0018	1.2121
54	单环	0.002087	0.0007	3.0204
55	均布	0.002054	0.0006	3.2436
56	距离	0.002046	0.0042	0.4867
57	叶飞	0.002040	0.0005	3.9367
58	街站	0.002040	0.0005	3.9367
59	刀梁	0.002040	0.0005	3.9367
60	面为	0.002040	0.0005	3.9367
61	空隙	0.002038	0.0019	1.0889
62	黏质	0.002021	0.0007	2.9251
63	水土	0.001946	0.0012	1.6094
64	displacement	0.001909	0.0007	2.5504
65	受力	0.001885	0.0019	0.9923
66	维持	0.001832	0.0010	1.7677
67	tank	0.001830	0.0005	3.5313
68	around	0.001830	0.0005	3.5313
69	距离处	0.001813	0.0005	3.9367
70	充填	0.001799	0.0012	1.5618
71	本章	0.001799	0.0012	1.5618
72	curve	0.001739	0.0006	3.0204
73	模型	0.001727	0.0032	0.5355
74	面前	0.001706	0.0007	2.2785
75	层厚	0.001684	0.0006	2.9251
76	实测	0.001667	0.0013	1.3157
77	soil	0.001650	0.0010	1.6854
78	实测值	0.001649	0.0007	2.4898
79	累积	0.001644	0.0007	2.3786
80	有限元	0.001635	0.0011	1.4944
