Rank	Word	TF-IDF	TF	IDF
1	节点	0.010558	0.0084	1.2626
2	DBN	0.009511	0.0029	3.2436
3	概率	0.007840	0.0089	0.8804
4	贝叶斯	0.007781	0.0056	1.3912
5	青岛	0.007489	0.0047	1.5853
6	网络	0.007316	0.0073	1.0055
7	YES	0.005964	0.0014	4.2244
8	WBS	0.005604	0.0031	1.8265
9	RBS	0.005270	0.0027	1.9218
10	动态	0.005085	0.0075	0.6786
11	时刻	0.005046	0.0024	2.0649
12	不当	0.004607	0.0054	0.8571
13	硕士学位	0.004555	0.0027	1.7121
14	NO	0.004436	0.0012	3.7136
15	理工大学	0.004422	0.0030	1.4944
16	模型	0.004333	0.0081	0.5355
17	工序	0.004075	0.0037	1.1035
18	阶段	0.003699	0.0099	0.3743
19	先验概率	0.003653	0.0012	2.9251
20	论文	0.003549	0.0027	1.3340
21	始发	0.003466	0.0067	0.5190
22	转移	0.003414	0.0019	1.7966
23	推理	0.003339	0.0017	1.9218
24	层级	0.003328	0.0018	1.8573
25	评价	0.003321	0.0063	0.5272
26	分解	0.003312	0.0026	1.2977
27	因素	0.003295	0.0161	0.2050
28	静态	0.003286	0.0014	2.3273
29	CSi	0.003017	0.0007	4.6299
30	RSi	0.003017	0.0007	4.6299
31	到位	0.003002	0.0024	1.2287
32	构建	0.002948	0.0043	0.6786
33	ASi	0.002891	0.0006	4.6299
34	无证据	0.002753	0.0007	4.2244
35	系统控制	0.002751	0.0008	3.3771
36	洞口	0.002635	0.0017	1.5163
37	ISM	0.002623	0.0010	2.6840
38	到达	0.002618	0.0033	0.7904
39	洞门	0.002523	0.0022	1.1334
40	间接	0.002504	0.0013	1.9218
41	三角	0.002400	0.0012	1.9218
42	黄淮	0.002263	0.0005	4.6299
43	动态性	0.002216	0.0009	2.5504
44	识别	0.002168	0.0031	0.6883
45	解释	0.002138	0.0012	1.7121
46	模糊	0.002123	0.0024	0.8687
47	拼装	0.002118	0.0033	0.6502
48	反力	0.002066	0.0013	1.5853
49	RY	0.002011	0.0004	4.6299
50	敏感性	0.001984	0.0011	1.8265
51	培训	0.001935	0.0016	1.2287
52	PM	0.001924	0.0005	3.9367
53	施工人员	0.001864	0.0021	0.8804
54	证据	0.001785	0.0010	1.8265
55	突现	0.001760	0.0004	4.6299
56	网络结构	0.001758	0.0007	2.4898
57	开舱	0.001747	0.0006	2.9251
58	输入	0.001734	0.0012	1.4518
59	基座	0.001728	0.0010	1.7677
60	片段	0.001726	0.0005	3.5313
61	基于	0.001721	0.0048	0.3602
62	管理混乱	0.001697	0.0005	3.1258
63	the	0.001679	0.0030	0.5523
64	逆向	0.001679	0.0007	2.3786
65	PA	0.001650	0.0005	3.3771
66	of	0.001634	0.0031	0.5190
67	清单	0.001622	0.0010	1.6594
68	负环	0.001614	0.0009	1.8573
69	变量	0.001611	0.0010	1.5618
70	吊装	0.001609	0.0011	1.4110
71	矩阵	0.001550	0.0017	0.8922
72	损坏	0.001536	0.0018	0.8571
73	一时间	0.001534	0.0004	3.5313
74	Alpha	0.001508	0.0003	4.6299
75	阶层	0.001467	0.0004	3.3771
76	故障	0.001450	0.0017	0.8344
77	BN	0.001429	0.0005	2.9251
78	向前	0.001417	0.0008	1.7395
79	指标	0.001404	0.0029	0.4788
80	纠偏	0.001401	0.0011	1.2287
