Rank	Word	TF-IDF	TF	IDF
1	溶洞	0.091592	0.0501	1.8265
2	区段	0.027770	0.0200	1.3912
3	岩溶	0.025738	0.0185	1.3912
4	网格化	0.024408	0.0066	3.7136
5	网格	0.015530	0.0068	2.2785
6	灰岩	0.010053	0.0049	2.0649
7	沙梦宜	0.009583	0.0024	3.9367
8	李炜明	0.009040	0.0024	3.7136
9	工况	0.008262	0.0068	1.2121
10	条带	0.007666	0.0019	3.9367
11	洞底	0.007232	0.0019	3.7136
12	充填	0.006843	0.0044	1.5618
13	数值	0.006769	0.0112	0.6045
14	纵剖面	0.006577	0.0019	3.3771
15	笔者	0.006087	0.0019	3.1258
16	洞顶	0.006087	0.0019	3.1258
17	层次	0.005877	0.0063	0.9286
18	伊芸	0.005750	0.0015	3.9367
19	统计	0.005656	0.0071	0.8012
20	该段	0.005614	0.0029	1.9218
21	权值	0.005371	0.0019	2.7581
22	准则	0.005301	0.0049	1.0889
23	剖面图	0.005122	0.0024	2.1041
24	本区	0.004932	0.0015	3.3771
25	评判	0.004877	0.0034	1.4312
26	分布	0.004801	0.0093	0.5190
27	发育	0.004741	0.0034	1.3912
28	性状	0.004737	0.0015	3.2436
29	总数	0.004632	0.0019	2.3786
30	粘土	0.004562	0.0029	1.5618
31	地貌	0.004521	0.0024	1.8573
32	围岩	0.004521	0.0049	0.9286
33	正方形	0.004508	0.0010	4.6299
34	阳春	0.004508	0.0010	4.6299
35	周雪铭	0.004508	0.0010	4.6299
36	方格	0.004508	0.0010	4.6299
37	为级	0.004374	0.0024	1.7966
38	大小	0.004291	0.0054	0.8012
39	大规模	0.004260	0.0019	2.1875
40	复合	0.004185	0.0039	1.0745
41	往右	0.004113	0.0010	4.2244
42	轻工	0.003833	0.0010	3.9367
43	三段	0.003833	0.0010	3.9367
44	李围	0.003833	0.0010	3.9367
45	王志杰	0.003833	0.0010	3.9367
46	危险区	0.003833	0.0010	3.9367
47	两线	0.003819	0.0015	2.6150
48	右线	0.003796	0.0049	0.7797
49	危险	0.003764	0.0039	0.9663
50	权重	0.003665	0.0039	0.9410
51	各区	0.003616	0.0010	3.7136
52	幅值	0.003616	0.0010	3.7136
53	密集	0.003534	0.0024	1.4518
54	专项	0.003484	0.0024	1.4312
55	矩阵	0.003475	0.0039	0.8922
56	层次分	0.003474	0.0015	2.3786
57	析法	0.003474	0.0015	2.3786
58	轴线	0.003446	0.0049	0.7079
59	下方	0.003401	0.0029	1.1641
60	分析法	0.003370	0.0044	0.7691
61	分别	0.003312	0.0078	0.4252
62	限元	0.003288	0.0010	3.3771
63	剥蚀	0.003288	0.0010	3.3771
64	处治	0.003288	0.0010	3.3771
65	需注意	0.003288	0.0010	3.3771
66	地质剖面	0.003158	0.0010	3.2436
67	填充物	0.003158	0.0010	3.2436
68	相互	0.003123	0.0034	0.9163
69	等级	0.003096	0.0054	0.5781
70	一致性	0.003032	0.0024	1.2455
71	计算	0.002923	0.0083	0.3532
72	系数	0.002915	0.0039	0.7483
73	程度	0.002913	0.0097	0.2991
74	特性	0.002882	0.0034	0.8457
75	系统化	0.002848	0.0010	2.9251
76	取芯	0.002848	0.0010	2.9251
77	照片	0.002848	0.0010	2.9251
78	距离	0.002844	0.0058	0.4867
79	相对	0.002844	0.0058	0.4867
80	溶蚀	0.002763	0.0010	2.8381
