Rank	Word	TF-IDF	TF	IDF
1	溶洞	0.048218	0.0264	1.8265
2	充填	0.033163	0.0212	1.5618
3	岩溶	0.028742	0.0207	1.3912
4	水玻璃	0.025594	0.0126	2.0272
5	塑性	0.024515	0.0132	1.8573
6	水下	0.022961	0.0149	1.5388
7	粉煤灰	0.019028	0.0075	2.5504
8	地基	0.018457	0.0161	1.1486
9	水灰比	0.017916	0.0063	2.8381
10	次序	0.017443	0.0052	3.3771
11	抗压强度	0.015476	0.0092	1.6854
12	掺量	0.014892	0.0046	3.2436
13	试验	0.014611	0.0149	0.9792
14	掺入	0.014186	0.0040	3.5313
15	极限	0.011634	0.0057	2.0272
16	正交	0.011431	0.0046	2.4898
17	云图	0.010981	0.0063	1.7395
18	浓度	0.010685	0.0046	2.3273
19	凝胶	0.010656	0.0029	3.7136
20	止浆	0.010133	0.0029	3.5313
21	孔隙	0.008937	0.0069	1.2977
22	贯通	0.008782	0.0063	1.3912
23	配比	0.008440	0.0052	1.6341
24	改性	0.008106	0.0023	3.5313
25	丁庆军	0.007971	0.0017	4.6299
26	岩帽	0.007971	0.0017	4.6299
27	地基承载	0.007752	0.0023	3.3771
28	浆液	0.007730	0.0103	0.7483
29	水泥	0.007652	0.0063	1.2121
30	结石	0.007446	0.0023	3.2436
31	加固	0.007382	0.0247	0.2991
32	对比	0.007160	0.0092	0.7797
33	承载力	0.006861	0.0046	1.4944
34	顶板	0.006855	0.0034	1.9908
35	等效	0.006715	0.0023	2.9251
36	最优	0.006665	0.0046	1.4518
37	增刊	0.006538	0.0029	2.2785
38	土洞	0.006394	0.0017	3.7136
39	速率	0.006087	0.0034	1.7677
40	正上方	0.005855	0.0023	2.5504
41	野三关	0.005314	0.0011	4.6299
42	溃口	0.005314	0.0011	4.6299
43	岩壳	0.005314	0.0011	4.6299
44	沿轴	0.005314	0.0011	4.6299
45	前后	0.005072	0.0034	1.4729
46	注浆	0.004987	0.0304	0.1640
47	材料	0.004902	0.0086	0.5694
48	梯度	0.004886	0.0017	2.8381
49	梁山	0.004849	0.0011	4.2244
50	宜万	0.004849	0.0011	4.2244
51	岩壁	0.004849	0.0011	4.2244
52	排孔	0.004849	0.0011	4.2244
53	发育	0.004790	0.0034	1.3912
54	中央	0.004748	0.0017	2.7581
55	扩散	0.004740	0.0023	2.0649
56	组合	0.004678	0.0046	1.0189
57	静水	0.004518	0.0011	3.9367
58	极差	0.004502	0.0017	2.6150
59	屈服	0.004391	0.0017	2.5504
60	竖向	0.004374	0.0040	1.0889
61	金山	0.004262	0.0011	3.7136
62	终凝	0.004053	0.0011	3.5313
63	特征	0.004006	0.0057	0.6980
64	施做	0.003876	0.0011	3.3771
65	边界	0.003869	0.0023	1.6854
66	变化规律	0.003843	0.0017	2.2320
67	张民庆	0.003636	0.0009	4.2244
68	李术	0.003588	0.0011	3.1258
69	控制性	0.003588	0.0011	3.1258
70	回弹	0.003467	0.0011	3.0204
71	塑性变形	0.003467	0.0011	3.0204
72	有限元法	0.003258	0.0011	2.8381
73	初凝	0.003081	0.0011	2.6840
74	下伏	0.003081	0.0011	2.6840
75	位移	0.002951	0.0034	0.8571
76	选取	0.002884	0.0040	0.7178
77	顶部	0.002873	0.0034	0.8344
78	后期	0.002820	0.0023	1.2287
79	袖阀	0.002792	0.0011	2.4326
80	最佳	0.002771	0.0017	1.6094
