Rank	Word	TF-IDF	TF	IDF
1	凸起	0.030568	0.0094	3.2436
2	基岩	0.025522	0.0197	1.2977
3	基建	0.015916	0.0045	3.5313
4	抽检	0.015216	0.0041	3.7136
5	更换	0.015122	0.0135	1.1183
6	刀具	0.014459	0.0213	0.6786
7	珠海	0.012454	0.0037	3.3771
8	滚刀	0.011226	0.0061	1.8265
9	切刀	0.010652	0.0029	3.7136
10	花岗岩	0.010605	0.0053	1.9908
11	声音	0.010129	0.0029	3.5313
12	波动	0.009829	0.0070	1.4110
13	侵入	0.009603	0.0043	2.2320
14	环流	0.009303	0.0033	2.8381
15	刀圈	0.008663	0.0029	3.0204
16	PROJECT	0.008655	0.0020	4.2244
17	温度	0.008098	0.0045	1.7966
18	液位	0.007974	0.0025	3.2436
19	质土	0.007911	0.0029	2.7581
20	高校	0.007476	0.0037	2.0272
21	刀位	0.006924	0.0016	4.2244
22	岩块	0.006919	0.0020	3.3771
23	淤泥	0.006890	0.0055	1.2455
24	冲刷	0.006535	0.0029	2.2785
25	常压	0.006402	0.0029	2.2320
26	旋转	0.006192	0.0033	1.8890
27	MANAGEMENT	0.006188	0.0020	3.0204
28	泥水	0.006154	0.0078	0.7904
29	环数	0.006121	0.0025	2.4898
30	磨岩	0.005691	0.0012	4.6299
31	风化	0.005591	0.0064	0.8804
32	仓内	0.005418	0.0029	1.8890
33	研判	0.005357	0.0020	2.6150
34	渣样	0.005316	0.0016	3.2436
35	崩角	0.005193	0.0012	4.2244
36	弧区	0.005193	0.0012	4.2244
37	突起	0.005123	0.0016	3.1258
38	超大	0.004911	0.0029	1.7121
39	镶齿	0.004839	0.0012	3.9367
40	交流	0.004768	0.0020	2.3273
41	bar	0.004668	0.0020	2.2785
42	北线	0.004565	0.0012	3.7136
43	新刀	0.004565	0.0012	3.7136
44	合算	0.004565	0.0012	3.7136
45	cm	0.004399	0.0016	2.6840
46	碎石机	0.004151	0.0012	3.3771
47	岩面	0.003987	0.0012	3.2436
48	异常	0.003963	0.0037	1.0745
49	水土	0.003957	0.0025	1.6094
50	压力	0.003956	0.0205	0.1931
51	岩石	0.003863	0.0045	0.8571
52	滞排	0.003842	0.0012	3.1258
53	段时	0.003842	0.0012	3.1258
54	孤石	0.003814	0.0016	2.3273
55	陈建福	0.003794	0.0008	4.6299
56	以北	0.003794	0.0008	4.6299
57	光刃	0.003794	0.0008	4.6299
58	岩量	0.003794	0.0008	4.6299
59	低刀位	0.003794	0.0008	4.6299
60	高刀位	0.003794	0.0008	4.6299
61	如液	0.003794	0.0008	4.6299
62	基本建设	0.003794	0.0008	4.6299
63	循环	0.003524	0.0029	1.2287
64	磨损	0.003467	0.0045	0.7691
65	廖文江	0.003462	0.0008	4.2244
66	磨刀	0.003462	0.0008	4.2244
67	建压	0.003462	0.0008	4.2244
68	当环	0.003462	0.0008	4.2244
69	环为例	0.003462	0.0008	4.2244
70	覆水	0.003462	0.0008	4.2244
71	逃逸	0.003462	0.0008	4.2244
72	自管	0.003462	0.0008	4.2244
73	轨迹	0.003449	0.0016	2.1041
74	下来	0.003384	0.0016	2.0649
75	静止	0.003384	0.0016	2.0649
76	大桥	0.003263	0.0016	1.9908
77	东岸	0.003226	0.0008	3.9367
78	第一段	0.003226	0.0008	3.9367
79	石英岩	0.003226	0.0008	3.9367
80	环段	0.003226	0.0008	3.9367
