Rank	Word	TF-IDF	TF	IDF
1	拆解	0.084285	0.0346	2.4326
2	廖韶军	0.016594	0.0036	4.6299
3	西站	0.016239	0.0054	3.0204
4	组装	0.015341	0.0090	1.7121
5	吊装	0.015172	0.0108	1.4110
6	兴宁	0.013829	0.0030	4.6299
7	过站	0.011758	0.0030	3.9367
8	顶升	0.011758	0.0030	3.9367
9	行吊	0.011063	0.0024	4.6299
10	宁波	0.010411	0.0042	2.4898
11	李发勇	0.008297	0.0018	4.6299
12	潘建明	0.008297	0.0018	4.6299
13	董毓庆	0.007571	0.0018	4.2244
14	失圆	0.007571	0.0018	4.2244
15	拆卸	0.006806	0.0030	2.2785
16	防控	0.006288	0.0048	1.3157
17	椭圆	0.006248	0.0024	2.6150
18	验算	0.006248	0.0024	2.6150
19	主机	0.006055	0.0030	2.0272
20	拖车	0.005813	0.0018	3.2436
21	盾尾	0.005811	0.0078	0.7483
22	损坏	0.005632	0.0066	0.8571
23	各顶	0.005531	0.0012	4.6299
24	徐震	0.005531	0.0012	4.6299
25	纠正	0.005444	0.0024	2.2785
26	斜井	0.005413	0.0018	3.0204
27	开仓换	0.005227	0.0024	2.1875
28	李广	0.005047	0.0012	4.2244
29	姚燕明	0.004703	0.0012	3.9367
30	楔子	0.004437	0.0012	3.7136
31	解体	0.004360	0.0018	2.4326
32	拼装	0.004272	0.0066	0.6502
33	型钢	0.004263	0.0018	2.3786
34	装备	0.004224	0.0024	1.7677
35	构件	0.004224	0.0024	1.7677
36	火车	0.004219	0.0012	3.5313
37	卷扬机	0.004219	0.0012	3.5313
38	磕碰	0.004035	0.0012	3.3771
39	大块	0.003875	0.0012	3.2436
40	密封圈	0.003735	0.0012	3.1258
41	间隙	0.003652	0.0036	1.0189
42	狭窄	0.003495	0.0012	2.9251
43	火车站	0.003495	0.0012	2.9251
44	下行	0.003495	0.0012	2.9251
45	浙江	0.003391	0.0012	2.8381
46	还原	0.003391	0.0012	2.8381
47	钢丝绳	0.003391	0.0012	2.8381
48	低温	0.003391	0.0012	2.8381
49	量测	0.003385	0.0018	1.8890
50	投入使用	0.003295	0.0012	2.7581
51	二次	0.003243	0.0048	0.6786
52	补偿	0.003207	0.0012	2.6840
53	平移	0.003207	0.0012	2.6840
54	倾覆	0.003047	0.0012	2.5504
55	盾体	0.003020	0.0018	1.6854
56	测量	0.003002	0.0042	0.7178
57	半径	0.002925	0.0030	0.9792
58	车站	0.002886	0.0030	0.9663
59	杭州	0.002799	0.0018	1.5618
60	曲线	0.002795	0.0036	0.7797
61	流程	0.002795	0.0036	0.7797
62	预留	0.002782	0.0024	1.1641
63	陈乐华	0.002766	0.0006	4.6299
64	柳西	0.002766	0.0006	4.6299
65	一难	0.002766	0.0006	4.6299
66	切割成	0.002766	0.0006	4.6299
67	拆式	0.002766	0.0006	4.6299
68	李勇发	0.002766	0.0006	4.6299
69	伦等	0.002766	0.0006	4.6299
70	柳汀	0.002766	0.0006	4.6299
71	烧桥	0.002766	0.0006	4.6299
72	萧甬	0.002766	0.0006	4.6299
73	桁架	0.002766	0.0006	4.6299
74	警界	0.002766	0.0006	4.6299
75	多道盾	0.002766	0.0006	4.6299
76	跳轨	0.002766	0.0006	4.6299
77	涌浆	0.002766	0.0006	4.6299
78	过上	0.002766	0.0006	4.6299
79	差来	0.002766	0.0006	4.6299
80	障了	0.002766	0.0006	4.6299
