Rank	Word	TF-IDF	TF	IDF
1	监控	0.019572	0.0339	0.5781
2	模块	0.019558	0.0086	2.2785
3	远程	0.014595	0.0057	2.5504
4	功能	0.009942	0.0114	0.8687
5	客户端	0.008854	0.0024	3.7136
6	预警	0.008526	0.0091	0.9410
7	Equipment	0.008369	0.0029	2.9251
8	界面	0.007839	0.0043	1.8265
9	跟踪	0.007507	0.0052	1.4312
10	提示	0.007124	0.0029	2.4898
11	推送	0.006187	0.0019	3.2436
12	Project	0.005807	0.0033	1.7395
13	视频	0.005800	0.0024	2.4326
14	信息	0.005662	0.0086	0.6596
15	用户	0.005549	0.0024	2.3273
16	实时	0.005206	0.0067	0.7797
17	MECHANIZATION	0.004831	0.0014	3.3771
18	功能模块	0.004640	0.0014	3.2436
19	统计图	0.004472	0.0014	3.1258
20	信息化	0.004453	0.0033	1.3340
21	系统监控	0.004416	0.0010	4.6299
22	移动	0.004403	0.0029	1.5388
23	技术人员	0.004339	0.0029	1.5163
24	南京	0.004273	0.0033	1.2800
25	江苏	0.004091	0.0019	2.1450
26	机界面	0.004029	0.0010	4.2244
27	超限	0.003867	0.0019	2.0272
28	数据	0.003798	0.0110	0.3463
29	土仓	0.003786	0.0038	0.9923
30	姿态	0.003765	0.0052	0.7178
31	江苏省	0.003368	0.0010	3.5313
32	总览	0.003368	0.0010	3.5313
33	CONSTRUCTION	0.003329	0.0014	2.3273
34	处置	0.003317	0.0024	1.3912
35	需求	0.003157	0.0029	1.1035
36	参数信息	0.003094	0.0010	3.2436
37	录入	0.003094	0.0010	3.2436
38	异常	0.003074	0.0029	1.0745
39	施工进度	0.002970	0.0024	1.2455
40	Shield	0.002939	0.0033	0.8804
41	所以	0.002915	0.0029	1.0189
42	互联	0.002881	0.0010	3.0204
43	示例	0.002881	0.0010	3.0204
44	管理系统	0.002848	0.0014	1.9908
45	都市	0.002798	0.0014	1.9557
46	监测数据	0.002765	0.0029	0.9663
47	保障	0.002751	0.0043	0.6409
48	快轨	0.002749	0.0014	1.9218
49	图表	0.002707	0.0010	2.8381
50	权限	0.002560	0.0010	2.6840
51	管控	0.002498	0.0033	0.7483
52	技术支持	0.002494	0.0010	2.6150
53	滚动	0.002494	0.0010	2.6150
54	环号	0.002432	0.0010	2.5504
55	预控	0.002432	0.0010	2.5504
56	变化趋势	0.002375	0.0010	2.4898
57	智慧	0.002220	0.0010	2.3273
58	总量	0.002220	0.0010	2.3273
59	Remote	0.002208	0.0005	4.6299
60	张二强	0.002208	0.0005	4.6299
61	张利强	0.002208	0.0005	4.6299
62	正光	0.002208	0.0005	4.6299
63	Liqiang	0.002208	0.0005	4.6299
64	Zhengguang	0.002208	0.0005	4.6299
65	地质矿产	0.002208	0.0005	4.6299
66	大队	0.002208	0.0005	4.6299
67	坤拓	0.002208	0.0005	4.6299
68	加增	0.002208	0.0005	4.6299
69	维护性	0.002208	0.0005	4.6299
70	可移植性	0.002208	0.0005	4.6299
71	个部	0.002208	0.0005	4.6299
72	界面显示	0.002208	0.0005	4.6299
73	勤纠	0.002208	0.0005	4.6299
74	缓纠	0.002208	0.0005	4.6299
75	指工	0.002208	0.0005	4.6299
76	个界	0.002208	0.0005	4.6299
77	发展期	0.002208	0.0005	4.6299
78	条形图	0.002208	0.0005	4.6299
79	书面材料	0.002208	0.0005	4.6299
80	变等	0.002208	0.0005	4.6299
