Rank	Word	TF-IDF	TF	IDF
1	中山站	0.038377	0.0083	4.6299
2	钢管	0.029198	0.0160	1.8265
3	广珠	0.027412	0.0059	4.6299
4	城际	0.022804	0.0112	2.0272
5	铁路	0.015084	0.0207	0.7279
6	边站	0.013706	0.0030	4.6299
7	桥墩	0.012401	0.0053	2.3273
8	放线	0.010993	0.0030	3.7136
9	既有	0.010689	0.0172	0.6225
10	平整	0.010570	0.0041	2.5504
11	张家	0.010454	0.0030	3.5313
12	钻机	0.009443	0.0041	2.2785
13	桥下	0.009323	0.0024	3.9367
14	中山	0.008363	0.0024	3.5313
15	中山市	0.008224	0.0018	4.6299
16	浆料	0.007998	0.0024	3.3771
17	承台	0.007682	0.0024	3.2436
18	充分准备	0.006992	0.0018	3.9367
19	钻孔	0.006906	0.0065	1.0603
20	位移	0.006090	0.0071	0.8571
21	花岗岩	0.005893	0.0030	1.9908
22	铁路桥梁	0.005761	0.0018	3.2436
23	车站	0.005721	0.0059	0.9663
24	整根	0.005482	0.0012	4.6299
25	运营	0.005218	0.0065	0.8012
26	路桥	0.005196	0.0018	2.9251
27	漏浆	0.005181	0.0024	2.1875
28	桥桩	0.005080	0.0024	2.1450
29	铁轨	0.005002	0.0012	4.2244
30	岩屑	0.005002	0.0012	4.2244
31	预计	0.004983	0.0024	2.1041
32	净空	0.004767	0.0018	2.6840
33	净距仅	0.004662	0.0012	3.9367
34	单节	0.004662	0.0012	3.9367
35	风亭	0.004662	0.0012	3.9367
36	灌注	0.004645	0.0018	2.6150
37	基坑	0.004424	0.0036	1.2455
38	扭曲	0.004397	0.0012	3.7136
39	一排	0.004397	0.0012	3.7136
40	就位	0.004134	0.0018	2.3273
41	单根	0.003999	0.0012	3.3771
42	附属	0.003964	0.0018	2.2320
43	部门	0.003895	0.0030	1.3157
44	一路	0.003841	0.0012	3.2436
45	钻杆	0.003841	0.0012	3.2436
46	残积土	0.003701	0.0012	3.1258
47	下放	0.003701	0.0012	3.1258
48	俊杰	0.003577	0.0012	3.0204
49	站台	0.003577	0.0012	3.0204
50	孔内	0.003577	0.0012	3.0204
51	高铁	0.003536	0.0018	1.9908
52	制作	0.003536	0.0018	1.9908
53	铁路桥	0.003464	0.0012	2.9251
54	科学合理	0.003438	0.0024	1.4518
55	保护措施	0.003414	0.0018	1.9218
56	数为	0.003266	0.0012	2.7581
57	激活	0.003178	0.0012	2.6840
58	模型	0.003171	0.0059	0.5355
59	换乘	0.002948	0.0012	2.4898
60	场地	0.002749	0.0030	0.9286
61	以南	0.002741	0.0006	4.6299
62	化带	0.002741	0.0006	4.6299
63	层易	0.002741	0.0006	4.6299
64	滑脱	0.002741	0.0006	4.6299
65	万顷	0.002741	0.0006	4.6299
66	沙兴	0.002741	0.0006	4.6299
67	广中珠	0.002741	0.0006	4.6299
68	深茂	0.002741	0.0006	4.6299
69	岐江	0.002741	0.0006	4.6299
70	冷却塔	0.002741	0.0006	4.6299
71	中张	0.002741	0.0006	4.6299
72	山站	0.002741	0.0006	4.6299
73	MidasGTSNX	0.002741	0.0006	4.6299
74	站特	0.002741	0.0006	4.6299
75	桥身	0.002741	0.0006	4.6299
76	护墙	0.002741	0.0006	4.6299
77	外轮	0.002741	0.0006	4.6299
78	廓为	0.002741	0.0006	4.6299
79	即除	0.002741	0.0006	4.6299
80	台桩	0.002741	0.0006	4.6299
