Rank	Word	TF-IDF	TF	IDF
1	团队	0.045092	0.0231	1.9557
2	以雄安	0.013686	0.0030	4.6299
3	监测技术	0.013195	0.0059	2.2320
4	成员	0.012681	0.0059	2.1450
5	站台	0.012500	0.0041	3.0204
6	演练	0.010067	0.0041	2.4326
7	大兴	0.009983	0.0030	3.3771
8	先进	0.009718	0.0053	1.8265
9	风险管理	0.009662	0.0183	0.5272
10	交流	0.009631	0.0041	2.3273
11	铁路线	0.009588	0.0030	3.2436
12	合作	0.008877	0.0041	2.1450
13	预案	0.008599	0.0071	1.2121
14	新区	0.008389	0.0030	2.8381
15	主动性	0.007492	0.0018	4.2244
16	机场	0.007031	0.0030	2.3786
17	应急	0.006914	0.0089	0.7797
18	沟通	0.006817	0.0035	1.9218
19	应对	0.006733	0.0118	0.5694
20	协作	0.006522	0.0024	2.7581
21	预防性	0.006263	0.0018	3.5313
22	培训	0.005811	0.0047	1.2287
23	他们	0.005681	0.0030	1.9218
24	设立	0.005625	0.0024	2.3786
25	张凤伟	0.005474	0.0012	4.6299
26	地铁站	0.005357	0.0018	3.0204
27	最新	0.005034	0.0018	2.8381
28	突发事件	0.004976	0.0024	2.1041
29	机构	0.004830	0.0030	1.6341
30	细致	0.004708	0.0024	1.9908
31	国际	0.004417	0.0030	1.4944
32	第七	0.004391	0.0012	3.7136
33	实时性	0.004391	0.0012	3.7136
34	法在	0.004354	0.0030	1.4729
35	紧密	0.004319	0.0024	1.8265
36	组织	0.004303	0.0059	0.7279
37	能够	0.004246	0.0089	0.4788
38	地质勘探	0.004219	0.0018	2.3786
39	机状态	0.004175	0.0012	3.5313
40	高效	0.004161	0.0041	1.0055
41	岛站	0.004106	0.0009	4.6299
42	组团	0.004106	0.0009	4.6299
43	能力	0.003955	0.0059	0.6690
44	地质灾害	0.003880	0.0018	2.1875
45	此外	0.003841	0.0047	0.8122
46	潜在	0.003761	0.0035	1.0603
47	人员配备	0.003696	0.0012	3.1258
48	执行	0.003639	0.0024	1.5388
49	全面	0.003592	0.0065	0.5523
50	圆弧	0.003571	0.0012	3.0204
51	教训	0.003571	0.0012	3.0204
52	引入	0.003567	0.0035	1.0055
53	交通运输	0.003469	0.0018	1.9557
54	审视	0.003459	0.0012	2.9251
55	合理安排	0.003459	0.0012	2.9251
56	快速	0.003395	0.0047	0.7178
57	原则	0.003395	0.0047	0.7178
58	工程局	0.003356	0.0012	2.8381
59	风险意识	0.003356	0.0012	2.8381
60	可靠性	0.003155	0.0024	1.3340
61	金融	0.003131	0.0009	3.5313
62	技术培训	0.003092	0.0012	2.6150
63	向东	0.003016	0.0012	2.5504
64	我们	0.002989	0.0018	1.6854
65	定期	0.002986	0.0024	1.2626
66	过渡	0.002876	0.0012	2.4326
67	共享	0.002876	0.0012	2.4326
68	分工	0.002812	0.0012	2.3786
69	主动	0.002812	0.0018	1.5853
70	熟悉	0.002752	0.0012	2.3273
71	于城	0.002737	0.0006	4.6299
72	设明	0.002737	0.0006	4.6299
73	EPDM	0.002737	0.0006	4.6299
74	它利	0.002737	0.0006	4.6299
75	因遗	0.002737	0.0006	4.6299
76	预见性	0.002737	0.0006	4.6299
77	共享资源	0.002737	0.0006	4.6299
78	采取行动	0.002737	0.0006	4.6299
79	集中精力	0.002737	0.0006	4.6299
80	运行状况	0.002737	0.0006	4.6299
