Rank	Word	TF-IDF	TF	IDF
1	输水管线	0.079555	0.0172	4.6299
2	评价	0.017761	0.0337	0.5272
3	指标	0.017321	0.0362	0.4788
4	权重	0.015318	0.0163	0.9410
5	赋权	0.014709	0.0086	1.7121
6	模糊	0.014533	0.0167	0.8687
7	第个	0.009920	0.0034	2.9251
8	第卷	0.009226	0.0036	2.5504
9	张勇	0.009162	0.0027	3.3771
10	第期	0.008604	0.0036	2.3786
11	高风险	0.007549	0.0054	1.3912
12	隶属	0.007119	0.0050	1.4312
13	输水	0.006829	0.0023	3.0204
14	归一法	0.006281	0.0014	4.6299
15	二级	0.006280	0.0050	1.2626
16	组合	0.005529	0.0054	1.0189
17	项目管理	0.005252	0.0036	1.4518
18	施工人员	0.005175	0.0059	0.8804
19	公式	0.005136	0.0050	1.0326
20	乘法	0.005133	0.0018	2.8381
21	定量化	0.004730	0.0018	2.6150
22	等级	0.004444	0.0077	0.5781
23	如下	0.004398	0.0095	0.4632
24	客观	0.004385	0.0036	1.2121
25	冲突性	0.004240	0.0014	3.1258
26	综合	0.003871	0.0127	0.3057
27	牟艳祥	0.003820	0.0009	4.2244
28	操作步骤	0.003820	0.0009	4.2244
29	评语	0.003806	0.0018	2.1041
30	指标体系	0.003686	0.0036	1.0189
31	一级	0.003686	0.0036	1.0189
32	构建	0.003682	0.0054	0.6786
33	勘测	0.003639	0.0023	1.6094
34	机械设备	0.003636	0.0032	1.1486
35	模型	0.003632	0.0068	0.5355
36	主观	0.003570	0.0027	1.3157
37	刘琛	0.003560	0.0009	3.9367
38	黄萍	0.003560	0.0009	3.9367
39	专家	0.003554	0.0059	0.6045
40	黄震	0.003460	0.0014	2.5504
41	某个	0.003417	0.0018	1.8890
42	由高到	0.003358	0.0009	3.7136
43	高风	0.003358	0.0009	3.7136
44	疲惫	0.003358	0.0009	3.7136
45	基于	0.003257	0.0090	0.3602
46	工人员	0.003227	0.0014	2.3786
47	周前国	0.003194	0.0009	3.5313
48	计算结果	0.003183	0.0032	1.0055
49	十分	0.003097	0.0018	1.7121
50	求取	0.003054	0.0009	3.3771
51	管廊	0.003028	0.0014	2.2320
52	稍微	0.003028	0.0014	2.2320
53	长距离	0.003016	0.0023	1.3340
54	最大值	0.002975	0.0023	1.3157
55	流程图	0.002956	0.0018	1.6341
56	计算	0.002875	0.0081	0.3532
57	西北	0.002732	0.0009	3.0204
58	赋值	0.002653	0.0014	1.9557
59	无量	0.002645	0.0009	2.9251
60	评估	0.002606	0.0072	0.3602
61	隶属于	0.002567	0.0009	2.8381
62	信息量	0.002494	0.0009	2.7581
63	南水北调	0.002494	0.0009	2.7581
64	张加兵	0.002427	0.0009	2.6840
65	管理者	0.002360	0.0014	1.7395
66	不强	0.002291	0.0007	3.3771
67	符合实际	0.002151	0.0009	2.3786
68	运用	0.002115	0.0027	0.7797
69	傅鹤林	0.002105	0.0009	2.3273
70	比见式	0.002094	0.0005	4.6299
71	从属	0.002094	0.0005	4.6299
72	均型	0.002094	0.0005	4.6299
73	年计	0.002094	0.0005	4.6299
74	不湿	0.002094	0.0005	4.6299
75	工为例	0.002094	0.0005	4.6299
76	心理压力	0.002094	0.0005	4.6299
77	轮换	0.002094	0.0005	4.6299
78	心理健康	0.002094	0.0005	4.6299
79	姜龙	0.002094	0.0005	4.6299
80	雷晓辉	0.002094	0.0005	4.6299
