Rank	Word	TF-IDF	TF	IDF
1	输水	0.054518	0.0180	3.0204
2	隧洞	0.045913	0.0247	1.8573
3	湿陷性	0.033091	0.0102	3.2436
4	黄土	0.030466	0.0153	1.9908
5	二维	0.020143	0.0090	2.2320
6	陷性	0.014718	0.0047	3.1258
7	灰数	0.011603	0.0027	4.2244
8	相近	0.010300	0.0047	2.1875
9	雷达	0.009835	0.0043	2.2785
10	俯视图	0.009268	0.0024	3.9367
11	矩阵	0.007702	0.0086	0.8922
12	权重	0.007385	0.0078	0.9410
13	概率	0.006909	0.0078	0.8804
14	数字	0.006733	0.0041	1.6341
15	语义	0.006493	0.0024	2.7581
16	评估	0.006360	0.0177	0.3602
17	如表所列	0.006358	0.0014	4.6299
18	水工	0.006319	0.0024	2.6840
19	引汉济	0.006179	0.0016	3.9367
20	损失	0.005633	0.0078	0.7178
21	量表	0.005301	0.0016	3.3771
22	等级	0.005217	0.0090	0.5781
23	模型	0.005043	0.0094	0.5355
24	清晰化	0.004973	0.0012	4.2244
25	图法	0.004906	0.0016	3.1258
26	灰色	0.004623	0.0031	1.4729
27	水害	0.004371	0.0012	3.7136
28	确知	0.004157	0.0012	3.5313
29	维度	0.004128	0.0020	2.1041
30	二级	0.003963	0.0031	1.2626
31	危害	0.003821	0.0027	1.3912
32	专家	0.003795	0.0063	0.6045
33	其评	0.003633	0.0008	4.6299
34	蒋英礼	0.003633	0.0008	4.6299
35	达图	0.003633	0.0008	4.6299
36	区输	0.003633	0.0008	4.6299
37	评价	0.003517	0.0067	0.5272
38	博士	0.003413	0.0020	1.7395
39	中心	0.003364	0.0051	0.6596
40	险云	0.003315	0.0008	4.2244
41	指标	0.003194	0.0067	0.4788
42	综合	0.003179	0.0104	0.3057
43	程度	0.003169	0.0106	0.2991
44	期望	0.003125	0.0016	1.9908
45	接受	0.003098	0.0024	1.3157
46	量化	0.003092	0.0026	1.2121
47	祁英弟	0.003089	0.0008	3.9367
48	整体素质	0.003089	0.0008	3.9367
49	水资源	0.003078	0.0012	2.6150
50	原因	0.003038	0.0051	0.5956
51	绘制	0.002975	0.0020	1.5163
52	长江	0.002932	0.0024	1.2455
53	打分	0.002932	0.0024	1.2455
54	测度	0.002931	0.0012	2.4898
55	调水	0.002914	0.0008	3.7136
56	英杰	0.002914	0.0008	3.7136
57	特征	0.002876	0.0041	0.6980
58	机械	0.002868	0.0035	0.8122
59	人民	0.002854	0.0024	1.2121
60	一级	0.002799	0.0027	1.0189
61	每位	0.002771	0.0008	3.5313
62	期望值	0.002740	0.0012	2.3273
63	第位	0.002725	0.0006	4.6299
64	标准	0.002703	0.0077	0.3532
65	张勇	0.002650	0.0008	3.3771
66	主观因素	0.002575	0.0012	2.1875
67	坐标	0.002575	0.0012	2.1875
68	牟艳祥	0.002486	0.0006	4.2244
69	高得	0.002486	0.0006	4.2244
70	两组	0.002453	0.0008	3.1258
71	变量	0.002451	0.0016	1.5618
72	邀请	0.002415	0.0016	1.5388
73	得到	0.002350	0.0063	0.3743
74	直接	0.002348	0.0043	0.5439
75	第期	0.002333	0.0010	2.3786
76	危险性	0.002302	0.0012	1.9557
77	年限	0.002302	0.0012	1.9557
78	第个	0.002296	0.0008	2.9251
79	面积	0.002279	0.0016	1.4518
80	如图所示	0.002235	0.0010	2.2785
