Rank	Word	TF-IDF	TF	IDF
1	第四系	0.010951	0.0063	1.7395
2	不良	0.008987	0.0101	0.8922
3	宁波市	0.008892	0.0025	3.5313
4	卵石	0.008677	0.0076	1.1486
5	开凿	0.007978	0.0019	4.2244
6	砂土	0.007201	0.0044	1.6341
7	出水	0.007013	0.0019	3.7136
8	冻结	0.006752	0.0031	2.1450
9	孔隙率	0.006378	0.0019	3.3771
10	涌水段	0.005829	0.0013	4.6299
11	土层	0.004731	0.0082	0.5781
12	天然	0.004524	0.0025	1.7966
13	富水	0.004258	0.0044	0.9663
14	了解	0.004168	0.0038	1.1035
15	砂粒	0.004084	0.0013	3.2436
16	涌砂	0.003974	0.0019	2.1041
17	高且	0.003936	0.0013	3.1258
18	河南	0.003900	0.0019	2.0649
19	土地	0.003815	0.0031	1.2121
20	固结	0.003553	0.0025	1.4110
21	充分	0.003507	0.0038	0.9286
22	通常	0.003507	0.0038	0.9286
23	断层	0.003449	0.0019	1.8265
24	孔隙	0.003268	0.0025	1.2977
25	文明	0.003211	0.0013	2.5504
26	宁波	0.003135	0.0013	2.4898
27	北京市	0.002995	0.0013	2.3786
28	研究者	0.002995	0.0013	2.3786
29	青岛	0.002994	0.0019	1.5853
30	差距	0.002930	0.0013	2.3273
31	毋遥	0.002915	0.0006	4.6299
32	科技攻关	0.002915	0.0006	4.6299
33	下即	0.002915	0.0006	4.6299
34	挖会	0.002915	0.0006	4.6299
35	段存	0.002915	0.0006	4.6299
36	其软	0.002915	0.0006	4.6299
37	且层	0.002915	0.0006	4.6299
38	最容	0.002915	0.0006	4.6299
39	同行业	0.002915	0.0006	4.6299
40	受气	0.002915	0.0006	4.6299
41	闹市	0.002915	0.0006	4.6299
42	时不应	0.002915	0.0006	4.6299
43	黑土	0.002915	0.0006	4.6299
44	能满	0.002915	0.0006	4.6299
45	可少	0.002915	0.0006	4.6299
46	管力	0.002915	0.0006	4.6299
47	支条	0.002915	0.0006	4.6299
48	可减	0.002915	0.0006	4.6299
49	其导	0.002915	0.0006	4.6299
50	望能	0.002915	0.0006	4.6299
51	毗连	0.002915	0.0006	4.6299
52	溃砂	0.002915	0.0006	4.6299
53	身开	0.002915	0.0006	4.6299
54	中涌	0.002915	0.0006	4.6299
55	王卫秀	0.002915	0.0006	4.6299
56	蔡盼	0.002915	0.0006	4.6299
57	崔巍	0.002915	0.0006	4.6299
58	董路	0.002915	0.0006	4.6299
59	混合体	0.002915	0.0006	4.6299
60	将注	0.002915	0.0006	4.6299
61	上必	0.002915	0.0006	4.6299
62	当砂	0.002915	0.0006	4.6299
63	龚力	0.002915	0.0006	4.6299
64	挖后	0.002915	0.0006	4.6299
65	张艳书	0.002915	0.0006	4.6299
66	薛栩超	0.002915	0.0006	4.6299
67	可挽回	0.002915	0.0006	4.6299
68	郝亭宇	0.002915	0.0006	4.6299
69	董小卫	0.002915	0.0006	4.6299
70	南开	0.002915	0.0006	4.6299
71	位低	0.002915	0.0006	4.6299
72	加上	0.002869	0.0013	2.2785
73	另外	0.002854	0.0025	1.1334
74	法在	0.002782	0.0019	1.4729
75	表面	0.002665	0.0019	1.4110
76	焦作	0.002659	0.0006	4.2244
77	焦作人	0.002659	0.0006	4.2244
78	度差	0.002659	0.0006	4.2244
79	险会	0.002659	0.0006	4.2244
80	越大其	0.002659	0.0006	4.2244
