Rank	Word	TF-IDF	TF	IDF
1	跨段	0.016204	0.0038	4.2244
2	既有线	0.015049	0.0073	2.0649
3	Shi	0.014249	0.0042	3.3771
4	Figure	0.014249	0.0042	3.3771
5	RAPID	0.012432	0.0027	4.6299
6	RAIL	0.012432	0.0027	4.6299
7	近距离	0.011730	0.0073	1.6094
8	TRANSIT	0.011343	0.0027	4.2244
9	凝灰岩	0.010836	0.0031	3.5313
10	URBAN	0.010570	0.0027	3.9367
11	超浅	0.010427	0.0035	3.0204
12	跨峨	0.008880	0.0019	4.6299
13	section	0.008419	0.0061	1.3718
14	of	0.007963	0.0153	0.5190
15	位移	0.007890	0.0092	0.8571
16	跨前	0.007104	0.0015	4.6299
17	跨后	0.007104	0.0015	4.6299
18	transit	0.006998	0.0035	2.0272
19	rail	0.006306	0.0035	1.8265
20	软下	0.006215	0.0042	1.4729
21	都市	0.006001	0.0031	1.9557
22	crossing	0.005911	0.0035	1.7121
23	快轨	0.005897	0.0031	1.9218
24	existing	0.005729	0.0035	1.6594
25	中峨	0.005328	0.0012	4.6299
26	the	0.005297	0.0096	0.5523
27	既有	0.005253	0.0084	0.6225
28	mm	0.005053	0.0054	0.9410
29	路站	0.004937	0.0023	2.1450
30	displacement	0.004891	0.0019	2.5504
31	张强	0.004861	0.0012	4.2244
32	Fu	0.004634	0.0015	3.0204
33	close	0.004634	0.0015	3.0204
34	二衬	0.004634	0.0015	3.0204
35	Urban	0.004582	0.0023	1.9908
36	峨眉山	0.004530	0.0012	3.9367
37	bar	0.004370	0.0019	2.2785
38	值约	0.004273	0.0012	3.7136
39	tunnel	0.004217	0.0050	0.8457
40	shield	0.004119	0.0065	0.6317
41	rapid	0.003913	0.0015	2.5504
42	deformation	0.003888	0.0019	2.0272
43	横截面	0.003597	0.0012	3.1258
44	保伟	0.003552	0.0008	4.6299
45	王术明	0.003552	0.0008	4.6299
46	对峨	0.003552	0.0008	4.6299
47	张宏伟	0.003552	0.0008	4.6299
48	石区	0.003552	0.0008	4.6299
49	up	0.003476	0.0012	3.0204
50	刚度	0.003439	0.0023	1.4944
51	试验段	0.003336	0.0019	1.7395
52	右线	0.003290	0.0042	0.7797
53	shallow	0.003266	0.0012	2.8381
54	formation	0.003266	0.0012	2.8381
55	proximity	0.003241	0.0008	4.2244
56	赵宇鹏	0.003241	0.0008	4.2244
57	邢慧堂	0.003241	0.0008	4.2244
58	有效率	0.003241	0.0008	4.2244
59	鸭蛋	0.003241	0.0008	4.2244
60	Peiyin	0.003241	0.0008	4.2244
61	激活	0.003089	0.0012	2.6840
62	盾壳	0.003055	0.0015	1.9908
63	风化	0.003039	0.0035	0.8804
64	ultra	0.003020	0.0008	3.9367
65	富春江	0.003020	0.0008	3.9367
66	竖向	0.002924	0.0027	1.0889
67	变形	0.002918	0.0100	0.2926
68	construction	0.002908	0.0046	0.6317
69	先行	0.002898	0.0015	1.8890
70	有限元	0.002866	0.0019	1.4944
71	弹性	0.002850	0.0015	1.8573
72	Yusheng	0.002849	0.0008	3.7136
73	urban	0.002825	0.0019	1.4729
74	对策	0.002810	0.0027	1.0463
75	structure	0.002802	0.0015	1.8265
76	JIANG	0.002799	0.0012	2.4326
77	range	0.002737	0.0012	2.3786
78	粗砾	0.002709	0.0008	3.5313
79	Shenzhen	0.002709	0.0008	3.5313
80	吕培印	0.002709	0.0008	3.5313
