Rank	Word	TF-IDF	TF	IDF
1	可拓	0.010953	0.0053	2.0649
2	评价	0.010215	0.0194	0.5272
3	北京地铁	0.008848	0.0054	1.6341
4	大连	0.005469	0.0031	1.7677
5	锁扣	0.005457	0.0012	4.6299
6	硕士学位	0.004982	0.0029	1.7121
7	滑落	0.004979	0.0012	4.2244
8	关联度	0.004943	0.0018	2.6840
9	特种设备	0.004478	0.0013	3.3771
10	德尔菲	0.004425	0.0021	2.1450
11	外泄	0.004377	0.0012	3.7136
12	层次	0.004241	0.0046	0.9286
13	论文	0.004177	0.0031	1.3340
14	Table	0.004175	0.0022	1.8890
15	问卷	0.003968	0.0021	1.8573
16	指标	0.003916	0.0082	0.4788
17	专家	0.003875	0.0064	0.6045
18	调查	0.003632	0.0041	0.8804
19	权重	0.003397	0.0036	0.9410
20	分析法	0.003286	0.0043	0.7691
21	节域	0.003234	0.0010	3.3771
22	失控	0.003232	0.0011	2.9251
23	质量标准	0.003136	0.0011	2.8381
24	排渣	0.003136	0.0011	2.8381
25	矩阵	0.002958	0.0033	0.8922
26	经典	0.002890	0.0011	2.6150
27	非正常	0.002890	0.0011	2.6150
28	机械设备	0.002877	0.0025	1.1486
29	号线	0.002849	0.0062	0.4632
30	打分	0.002844	0.0023	1.2455
31	识别	0.002789	0.0041	0.6883
32	多变	0.002740	0.0013	2.1875
33	东四十条	0.002729	0.0006	4.6299
34	等级	0.002726	0.0047	0.5781
35	调研	0.002654	0.0020	1.3340
36	of	0.002638	0.0051	0.5190
37	专业	0.002638	0.0032	0.8232
38	table	0.002443	0.0010	2.5504
39	调查结果	0.002390	0.0007	3.2436
40	系统故障	0.002370	0.0011	2.1450
41	标度	0.002359	0.0014	1.6854
42	因素	0.002356	0.0115	0.2050
43	UP	0.002334	0.0006	4.2244
44	判断	0.002307	0.0041	0.5694
45	ik	0.002274	0.0008	2.6840
46	砂浆	0.002265	0.0012	1.9218
47	型号	0.002265	0.0012	1.9218
48	回复	0.002239	0.0007	3.3771
49	大学	0.002130	0.0040	0.5355
50	沟通	0.002124	0.0011	1.9218
51	模糊	0.002112	0.0024	0.8687
52	第五章	0.002091	0.0010	2.0272
53	受损	0.002091	0.0010	2.0272
54	第二轮	0.002081	0.0006	3.5313
55	人类	0.002057	0.0009	2.3273
56	表二	0.002046	0.0004	4.6299
57	CR	0.002014	0.0009	2.2785
58	洞口	0.002011	0.0013	1.5163
59	可拓学	0.001990	0.0006	3.3771
60	断裂	0.001985	0.0013	1.5853
61	规划	0.001978	0.0019	1.0326
62	螺栓	0.001966	0.0015	1.3340
63	risk	0.001957	0.0027	0.7380
64	北京市	0.001928	0.0008	2.3786
65	the	0.001912	0.0035	0.5523
66	排水	0.001872	0.0013	1.4944
67	第三轮	0.001867	0.0004	4.2244
68	表在	0.001867	0.0004	4.2244
69	问卷调查	0.001860	0.0009	2.1041
70	不足	0.001849	0.0025	0.7380
71	附录	0.001841	0.0010	1.9218
72	偏移	0.001834	0.0011	1.6594
73	第一轮	0.001821	0.0005	3.5313
74	批复	0.001821	0.0005	3.5313
75	运营	0.001712	0.0021	0.8012
76	evaluation	0.001694	0.0013	1.3527
77	材料	0.001678	0.0029	0.5694
78	作业	0.001656	0.0032	0.5108
79	多级	0.001644	0.0007	2.2320
80	机刀盘	0.001640	0.0012	1.3912
