Rank	Word	TF-IDF	TF	IDF
1	上浮	0.009481	0.0074	1.2800
2	富水	0.008947	0.0093	0.9663
3	京哈铁路	0.008574	0.0019	4.6299
4	成因	0.008102	0.0037	2.1875
5	气动工具	0.007823	0.0019	4.2244
6	Intercity	0.007823	0.0019	4.2244
7	Tangshan	0.007823	0.0019	4.2244
8	城际	0.007508	0.0037	2.0272
9	凿岩	0.007290	0.0019	3.9367
10	环节	0.007283	0.0062	1.1799
11	初凝	0.006627	0.0025	2.6840
12	总第	0.005788	0.0019	3.1258
13	张旭	0.005716	0.0012	4.6299
14	运潮	0.005716	0.0012	4.6299
15	减河	0.005716	0.0012	4.6299
16	京津冀	0.005215	0.0012	4.2244
17	盾尾刷	0.004970	0.0019	2.6840
18	浅覆土	0.004843	0.0019	2.6150
19	浆液	0.004619	0.0062	0.7483
20	推力	0.004619	0.0062	0.7483
21	砂层	0.004521	0.0043	1.0463
22	栽头	0.004505	0.0019	2.4326
23	浮力	0.004405	0.0019	2.3786
24	Railway	0.004365	0.0025	1.7677
25	覆土	0.004345	0.0043	1.0055
26	diameter	0.004310	0.0019	2.3273
27	凝固	0.004310	0.0019	2.3273
28	油脂	0.003914	0.0025	1.5853
29	Beijing	0.003897	0.0019	2.1041
30	密封	0.003695	0.0049	0.7483
31	焊接	0.003690	0.0025	1.4944
32	警戒	0.003611	0.0012	2.9251
33	堵塞	0.003498	0.0019	1.8890
34	点位	0.003327	0.0019	1.7966
35	水压	0.003294	0.0025	1.3340
36	超大	0.003171	0.0019	1.7121
37	注入	0.003103	0.0031	1.0055
38	密封性	0.003074	0.0012	2.4898
39	状况	0.003049	0.0037	0.8232
40	配比	0.003026	0.0019	1.6341
41	同步	0.003004	0.0062	0.4867
42	缝隙	0.003003	0.0012	2.4326
43	管片	0.002980	0.0154	0.1931
44	rich	0.002937	0.0012	2.3786
45	对接	0.002937	0.0012	2.3786
46	Ltd	0.002936	0.0019	1.5853
47	二次	0.002932	0.0043	0.6786
48	需要	0.002861	0.0148	0.1931
49	安晏鹏	0.002858	0.0006	4.6299
50	京唐	0.002858	0.0006	4.6299
51	以京唐	0.002858	0.0006	4.6299
52	潞城	0.002858	0.0006	4.6299
53	胡路	0.002858	0.0006	4.6299
54	故县	0.002858	0.0006	4.6299
55	跨过	0.002858	0.0006	4.6299
56	路堑	0.002858	0.0006	4.6299
57	宋梁路	0.002858	0.0006	4.6299
58	Yunchaojian	0.002858	0.0006	4.6299
59	覆土深	0.002858	0.0006	4.6299
60	当会	0.002858	0.0006	4.6299
61	浅覆土区	0.002858	0.0006	4.6299
62	握裹力	0.002858	0.0006	4.6299
63	或卡滞	0.002858	0.0006	4.6299
64	行驶路线	0.002858	0.0006	4.6299
65	注及	0.002858	0.0006	4.6299
66	果不佳	0.002858	0.0006	4.6299
67	浮量	0.002858	0.0006	4.6299
68	推中	0.002858	0.0006	4.6299
69	过慢	0.002858	0.0006	4.6299
70	推土	0.002858	0.0006	4.6299
71	盘区	0.002858	0.0006	4.6299
72	盾尾刷底	0.002858	0.0006	4.6299
73	应满	0.002858	0.0006	4.6299
74	构造物	0.002858	0.0006	4.6299
75	江浩	0.002858	0.0006	4.6299
76	刘武	0.002858	0.0006	4.6299
77	程锦	0.002858	0.0006	4.6299
78	曾红波	0.002858	0.0006	4.6299
79	石州	0.002858	0.0006	4.6299
80	金光	0.002858	0.0006	4.6299
