Rank	Word	TF-IDF	TF	IDF
1	过渡	0.020773	0.0085	2.4326
2	软下	0.016170	0.0110	1.4729
3	竖向	0.011955	0.0110	1.0889
4	岩石	0.011501	0.0134	0.8571
5	位移	0.010978	0.0128	0.8571
6	岩层	0.009941	0.0085	1.1641
7	地表	0.009414	0.0238	0.3958
8	张贺	0.008472	0.0018	4.6299
9	温永凯	0.008472	0.0018	4.6299
10	中浅	0.007730	0.0018	4.2244
11	Xm	0.007730	0.0018	4.2244
12	趋于稳定	0.007254	0.0030	2.3786
13	减小	0.006478	0.0085	0.7587
14	较软	0.006462	0.0018	3.5313
15	逐渐	0.006444	0.0073	0.8804
16	surface	0.006297	0.0030	2.0649
17	监测点	0.005995	0.0049	1.2287
18	NX	0.005720	0.0018	3.1258
19	the	0.005559	0.0101	0.5523
20	GTS	0.005352	0.0018	2.9251
21	规律	0.005228	0.0061	0.8571
22	沉降	0.005200	0.0317	0.1640
23	断面	0.005181	0.0073	0.7079
24	比例	0.005175	0.0043	1.2121
25	英超	0.005153	0.0012	4.2244
26	土舱	0.005134	0.0024	2.1041
27	掌子面	0.004898	0.0055	0.8922
28	引起	0.004740	0.0122	0.3885
29	upper	0.004606	0.0015	3.0204
30	有限元	0.004557	0.0030	1.4944
31	lower	0.004460	0.0015	2.9251
32	soft	0.004456	0.0024	1.8265
33	hard	0.004451	0.0018	2.4326
34	地层	0.004329	0.0348	0.1245
35	宽度	0.004204	0.0037	1.1486
36	表现	0.004148	0.0037	1.1334
37	最大值	0.004012	0.0030	1.3157
38	subsidence	0.003889	0.0015	2.5504
39	decreases	0.003865	0.0009	4.2244
40	MIDAS	0.003813	0.0012	3.1258
41	均匀	0.003778	0.0055	0.6883
42	市政道路	0.003685	0.0012	3.0204
43	砾岩	0.003685	0.0012	3.0204
44	磕头	0.003685	0.0012	3.0204
45	盾壳	0.003643	0.0018	1.9908
46	strata	0.003627	0.0015	2.3786
47	助理	0.003568	0.0012	2.9251
48	law	0.003462	0.0012	2.8381
49	buried	0.003365	0.0012	2.7581
50	管片	0.003121	0.0162	0.1931
51	边界	0.003084	0.0018	1.6854
52	横向	0.003080	0.0024	1.2626
53	改良	0.003039	0.0024	1.2455
54	粘聚力	0.003037	0.0012	2.4898
55	可知	0.003013	0.0037	0.8232
56	模型	0.002940	0.0055	0.5355
57	and	0.002913	0.0058	0.5027
58	shield	0.002890	0.0046	0.6317
59	转速	0.002840	0.0024	1.1641
60	中国矿业大学	0.002839	0.0012	2.3273
61	MaterialTechnology	0.002824	0.0006	4.6299
62	DAS	0.002824	0.0006	4.6299
63	隧掌	0.002824	0.0006	4.6299
64	istics	0.002824	0.0006	4.6299
65	非浅	0.002824	0.0006	4.6299
66	ob	0.002824	0.0006	4.6299
67	nite	0.002824	0.0006	4.6299
68	汉市	0.002824	0.0006	4.6299
69	tical	0.002824	0.0006	4.6299
70	creasing	0.002824	0.0006	4.6299
71	管顶	0.002824	0.0006	4.6299
72	土向	0.002824	0.0006	4.6299
73	周口	0.002824	0.0006	4.6299
74	巢湖	0.002824	0.0006	4.6299
75	过流段	0.002824	0.0006	4.6299
76	渡段	0.002824	0.0006	4.6299
77	刀盘形	0.002824	0.0006	4.6299
78	对砂	0.002824	0.0006	4.6299
79	孙海霞	0.002824	0.0006	4.6299
80	孔志鹏	0.002824	0.0006	4.6299
