Rank	Word	TF-IDF	TF	IDF
1	洞圈	0.020545	0.0063	3.2436
2	接收	0.019639	0.0255	0.7691
3	段线	0.019112	0.0051	3.7136
4	校场	0.018329	0.0040	4.6299
5	压板	0.013896	0.0048	2.9251
6	内衬	0.013369	0.0040	3.3771
7	出段	0.012830	0.0028	4.6299
8	岔大	0.012830	0.0028	4.6299
9	抗浮	0.011557	0.0036	3.2436
10	增开	0.010997	0.0024	4.6299
11	通信工程	0.010997	0.0024	4.6299
12	割线	0.010909	0.0028	3.9367
13	mm	0.010431	0.0111	0.9410
14	出入	0.010190	0.0048	2.1450
15	PROJECT	0.010034	0.0024	4.2244
16	灌注桩	0.009720	0.0044	2.2320
17	半径	0.009110	0.0093	0.9792
18	招标	0.008662	0.0028	3.1258
19	一站式	0.008362	0.0020	4.2244
20	坡度	0.007963	0.0061	1.2977
21	采购	0.007885	0.0032	2.4898
22	洞门	0.007627	0.0067	1.1334
23	建科	0.007332	0.0016	4.6299
24	MANAGEMENT	0.007174	0.0024	3.0204
25	曲线图	0.006948	0.0024	2.9251
26	漏浆	0.006928	0.0032	2.1875
27	弧形	0.006741	0.0024	2.8381
28	一体化	0.006741	0.0028	2.4326
29	协同	0.006449	0.0028	2.3273
30	近距离	0.006371	0.0040	1.6094
31	每孔	0.006234	0.0016	3.9367
32	壳体	0.006185	0.0028	2.2320
33	第一次	0.005914	0.0024	2.4898
34	基座	0.005598	0.0032	1.7677
35	纠偏	0.005350	0.0044	1.2287
36	环箍	0.005348	0.0016	3.3771
37	全过程	0.005279	0.0044	1.2121
38	正线	0.005176	0.0020	2.6150
39	第二次	0.005136	0.0016	3.2436
40	双液	0.004946	0.0032	1.5618
41	盾壳	0.004729	0.0024	1.9908
42	入段	0.004675	0.0012	3.9367
43	cmmin	0.004675	0.0012	3.9367
44	满仓	0.004675	0.0012	3.9367
45	审计	0.004675	0.0012	3.9367
46	切削	0.004671	0.0040	1.1799
47	累计	0.004378	0.0036	1.2287
48	cm	0.004250	0.0016	2.6840
49	钢板	0.004199	0.0024	1.7677
50	理念	0.004199	0.0024	1.7677
51	切口	0.004087	0.0020	2.0649
52	变更	0.004039	0.0016	2.5504
53	万元	0.003943	0.0016	2.4898
54	推进	0.003740	0.0115	0.3258
55	姿态	0.003694	0.0051	0.7178
56	张锦栋	0.003666	0.0008	4.6299
57	大校	0.003666	0.0008	4.6299
58	力差	0.003666	0.0008	4.6299
59	回土	0.003666	0.0008	4.6299
60	尾环	0.003666	0.0008	4.6299
61	外封	0.003666	0.0008	4.6299
62	钢洞	0.003666	0.0008	4.6299
63	中移	0.003666	0.0008	4.6299
64	铁通	0.003666	0.0008	4.6299
65	破损	0.003638	0.0032	1.1486
66	上浮	0.003547	0.0028	1.2800
67	体现	0.003499	0.0028	1.2626
68	内侧	0.003464	0.0016	2.1875
69	车辆	0.003389	0.0020	1.7121
70	距离	0.003372	0.0069	0.4867
71	优越性	0.003371	0.0012	2.8381
72	小样	0.003345	0.0008	4.2244
73	无渗漏	0.003345	0.0008	4.2244
74	上坡	0.003276	0.0012	2.7581
75	收敛	0.003270	0.0016	2.0649
76	投资	0.003235	0.0020	1.6341
77	拱底	0.003188	0.0012	2.6840
78	注入	0.003185	0.0032	1.0055
79	筋板	0.003117	0.0008	3.9367
80	机房	0.003117	0.0008	3.9367
