Rank	Word	TF-IDF	TF	IDF
1	冻结	0.031585	0.0147	2.1450
2	拔管	0.019995	0.0047	4.2244
3	盐水	0.017577	0.0047	3.7136
4	洞门	0.014901	0.0131	1.1334
5	拔除	0.013671	0.0037	3.7136
6	破除	0.010859	0.0053	2.0649
7	解冻	0.008281	0.0021	3.9367
8	教学楼	0.007305	0.0016	4.6299
9	接收	0.007281	0.0095	0.7691
10	桩基础	0.006768	0.0032	2.1450
11	冷冻管	0.006665	0.0016	4.2244
12	主墩	0.006665	0.0016	4.2244
13	粉土	0.006287	0.0042	1.4944
14	黏质	0.006153	0.0021	2.9251
15	连墙	0.005859	0.0016	3.7136
16	分隔	0.005859	0.0016	3.7136
17	始发	0.005732	0.0110	0.5190
18	回路	0.005328	0.0016	3.3771
19	小学	0.005328	0.0016	3.3771
20	孔径	0.005117	0.0016	3.2436
21	重难点	0.004967	0.0026	1.8890
22	地连墙	0.004932	0.0016	3.1258
23	强金帝	0.004870	0.0011	4.6299
24	坡段	0.004870	0.0011	4.6299
25	冻管	0.004870	0.0011	4.6299
26	水泥柱	0.004870	0.0011	4.6299
27	可先用	0.004870	0.0011	4.6299
28	外顶	0.004870	0.0011	4.6299
29	冻死	0.004870	0.0011	4.6299
30	整体式	0.004870	0.0011	4.6299
31	钢护筒	0.004870	0.0011	4.6299
32	玉兰	0.004870	0.0011	4.6299
33	民房	0.004765	0.0016	3.0204
34	黏土	0.004762	0.0058	0.8232
35	承压水	0.004724	0.0026	1.7966
36	温度	0.004724	0.0026	1.7966
37	源多	0.004443	0.0011	4.2244
38	始发站	0.004443	0.0011	4.2244
39	水钻	0.004443	0.0011	4.2244
40	钢箱	0.004443	0.0011	4.2244
41	半部	0.004443	0.0011	4.2244
42	涌砂	0.004426	0.0021	2.1041
43	海域	0.004351	0.0016	2.7581
44	粉砂	0.004268	0.0032	1.3527
45	造浆	0.004141	0.0011	3.9367
46	天津	0.004046	0.0026	1.5388
47	接收站	0.003906	0.0011	3.7136
48	加热	0.003906	0.0011	3.7136
49	立杆	0.003906	0.0011	3.7136
50	反循环	0.003906	0.0011	3.7136
51	多孔	0.003906	0.0011	3.7136
52	过渡	0.003838	0.0016	2.4326
53	区时	0.003714	0.0011	3.5313
54	风镐	0.003714	0.0011	3.5313
55	葫芦	0.003714	0.0011	3.5313
56	卷扬机	0.003714	0.0011	3.5313
57	水箱	0.003714	0.0011	3.5313
58	ICHUANSHUINI	0.003652	0.0008	4.6299
59	ICHUAN	0.003652	0.0008	4.6299
60	SHUINI	0.003652	0.0008	4.6299
61	补浆	0.003521	0.0016	2.2320
62	孔洞	0.003412	0.0011	3.2436
63	油脂	0.003335	0.0021	1.5853
64	条形	0.003288	0.0011	3.1258
65	冻土	0.003288	0.0011	3.1258
66	架设	0.003288	0.0011	3.1258
67	段时	0.003288	0.0011	3.1258
68	钢环	0.003288	0.0011	3.1258
69	不良	0.003284	0.0037	0.8922
70	粉质	0.003241	0.0037	0.8804
71	桩基	0.003237	0.0021	1.5388
72	水泥	0.003187	0.0026	1.2121
73	两段	0.003177	0.0011	3.0204
74	外层	0.003177	0.0011	3.0204
75	低速	0.003177	0.0011	3.0204
76	永久	0.003177	0.0011	3.0204
77	责任编辑	0.003177	0.0011	3.0204
78	注入	0.003173	0.0032	1.0055
79	盾尾	0.003148	0.0042	0.7483
80	回填	0.003098	0.0021	1.4729
