Rank	Word	TF-IDF	TF	IDF
1	致因	0.006861	0.0034	1.9908
2	环境因素	0.005995	0.0034	1.7395
3	近些年来	0.005386	0.0017	3.1258
4	施工方	0.005334	0.0029	1.8573
5	孕险	0.005205	0.0017	3.0204
6	机理	0.004940	0.0040	1.2287
7	事故	0.004758	0.0132	0.3602
8	载体	0.004753	0.0017	2.7581
9	施工人员	0.004551	0.0052	0.8804
10	监管	0.004340	0.0023	1.8890
11	涌泉	0.004057	0.0011	3.5313
12	ScienceandTechnologyInnovation	0.003989	0.0009	4.6299
13	生态	0.003846	0.0017	2.2320
14	电线	0.003726	0.0011	3.2436
15	致险	0.003696	0.0017	2.1450
16	材料	0.003598	0.0063	0.5694
17	新华	0.003591	0.0011	3.1258
18	因素	0.003533	0.0172	0.2050
19	公共交通	0.003260	0.0011	2.8381
20	因子	0.003196	0.0023	1.3912
21	设备	0.003122	0.0109	0.2861
22	控制措施	0.003028	0.0057	0.5272
23	责任	0.002950	0.0017	1.7121
24	托架	0.002930	0.0011	2.5504
25	损失	0.002886	0.0040	0.7178
26	Innovation	0.002795	0.0009	3.2436
27	周期长	0.002795	0.0011	2.4326
28	分工	0.002732	0.0011	2.3786
29	城市交通	0.002691	0.0017	1.5618
30	kjycx	0.002659	0.0006	4.6299
31	于明	0.002659	0.0006	4.6299
32	运力	0.002659	0.0006	4.6299
33	比较突出	0.002659	0.0006	4.6299
34	网点	0.002659	0.0006	4.6299
35	成倍增加	0.002659	0.0006	4.6299
36	土运	0.002659	0.0006	4.6299
37	力区	0.002659	0.0006	4.6299
38	长期性	0.002659	0.0006	4.6299
39	始末	0.002659	0.0006	4.6299
40	果链	0.002659	0.0006	4.6299
41	杂及	0.002659	0.0006	4.6299
42	错定	0.002659	0.0006	4.6299
43	高抗	0.002659	0.0006	4.6299
44	查好	0.002659	0.0006	4.6299
45	中国政府	0.002659	0.0006	4.6299
46	大对	0.002659	0.0006	4.6299
47	梅建萍	0.002659	0.0006	4.6299
48	穿着	0.002659	0.0006	4.6299
49	刘能	0.002659	0.0006	4.6299
50	台大	0.002659	0.0006	4.6299
51	王贺昆	0.002659	0.0006	4.6299
52	天津人	0.002659	0.0006	4.6299
53	娄底	0.002659	0.0006	4.6299
54	上要	0.002659	0.0006	4.6299
55	丁琳	0.002659	0.0006	4.6299
56	企业	0.002575	0.0017	1.4944
57	老化	0.002564	0.0011	2.2320
58	水文	0.002535	0.0023	1.1035
59	健全	0.002513	0.0011	2.1875
60	人员伤亡	0.002502	0.0017	1.4518
61	安全事故	0.002495	0.0029	0.8687
62	配套	0.002466	0.0017	1.4312
63	不当	0.002462	0.0029	0.8571
64	暖通	0.002426	0.0006	4.2244
65	土渣	0.002426	0.0006	4.2244
66	偏角	0.002426	0.0006	4.2244
67	凿出	0.002426	0.0006	4.2244
68	社会群体	0.002426	0.0006	4.2244
69	严寒	0.002426	0.0006	4.2244
70	前到	0.002426	0.0006	4.2244
71	根除	0.002426	0.0006	4.2244
72	侯秀芳	0.002426	0.0006	4.2244
73	左超	0.002426	0.0006	4.2244
74	生命线	0.002426	0.0006	4.2244
75	素质	0.002372	0.0011	2.0649
76	进场	0.002372	0.0011	2.0649
77	运营	0.002301	0.0029	0.8012
78	日益	0.002287	0.0011	1.9908
79	力度	0.002287	0.0011	1.9908
80	教育	0.002267	0.0017	1.3157
