Rank	Word	TF-IDF	TF	IDF
1	废渣	0.040025	0.0113	3.5313
2	掺量	0.033493	0.0103	3.2436
3	溶洞	0.031887	0.0175	1.8265
4	岩溶	0.031670	0.0228	1.3912
5	结石	0.019395	0.0060	3.2436
6	速凝剂	0.016449	0.0042	3.9367
7	充填	0.015827	0.0101	1.5618
8	发育	0.012962	0.0093	1.3912
9	膨胀剂	0.012841	0.0035	3.7136
10	浆液	0.011824	0.0158	0.7483
11	水灰比	0.011450	0.0040	2.8381
12	预处理	0.010910	0.0046	2.3786
13	GTC	0.008005	0.0017	4.6299
14	中南大学	0.007983	0.0044	1.8265
15	水泥	0.007684	0.0063	1.2121
16	硕士学位	0.007400	0.0043	1.7121
17	水率	0.007134	0.0019	3.7136
18	收缩率	0.006543	0.0020	3.2436
19	南宁	0.006523	0.0032	2.0272
20	抗压强度	0.006273	0.0037	1.6854
21	论文	0.005830	0.0044	1.3340
22	研制	0.005589	0.0020	2.8381
23	塑性	0.005530	0.0030	1.8573
24	机场	0.005369	0.0023	2.3786
25	弃渣	0.005275	0.0012	4.2244
26	试验	0.004962	0.0051	0.9792
27	正交	0.004066	0.0016	2.4898
28	处治	0.004055	0.0012	3.3771
29	侧方	0.003970	0.0010	3.9367
30	洞径	0.003800	0.0016	2.3273
31	距离	0.003693	0.0076	0.4867
32	流动	0.003676	0.0021	1.7395
33	浆材	0.003558	0.0008	4.6299
34	围岩	0.003523	0.0038	0.9286
35	karst	0.003391	0.0013	2.6150
36	灰岩	0.003372	0.0016	2.0649
37	比重	0.003357	0.0018	1.8890
38	性能	0.003314	0.0045	0.7380
39	资源化	0.003246	0.0008	4.2244
40	组分	0.003222	0.0009	3.5313
41	测试	0.003188	0.0019	1.6594
42	贯通	0.003140	0.0023	1.3912
43	制备	0.003053	0.0009	3.5313
44	极差	0.003014	0.0012	2.6150
45	最小	0.002959	0.0050	0.5868
46	特征	0.002917	0.0042	0.6980
47	注浆	0.002913	0.0178	0.1640
48	岩柱	0.002891	0.0006	4.6299
49	凝结	0.002884	0.0013	2.1450
50	材料	0.002830	0.0050	0.5694
51	waste	0.002638	0.0006	4.2244
52	尺寸	0.002585	0.0022	1.1959
53	Karst	0.002408	0.0006	3.7136
54	溶蚀	0.002317	0.0008	2.8381
55	显著	0.002212	0.0018	1.2121
56	微观	0.002181	0.0007	3.2436
57	grouting	0.002170	0.0009	2.3786
58	配制	0.002102	0.0007	3.1258
59	模型	0.002083	0.0039	0.5355
60	渣土	0.002060	0.0020	1.0463
61	配比	0.002001	0.0012	1.6341
62	扫描电镜	0.002001	0.0004	4.6299
63	场区	0.001960	0.0008	2.5504
64	此基础	0.001950	0.0012	1.5618
65	方差分析	0.001946	0.0006	3.3771
66	原材料	0.001908	0.0007	2.8381
67	电磁波	0.001891	0.0005	3.9367
68	溶岩	0.001869	0.0006	3.2436
69	工况	0.001863	0.0015	1.2121
70	接触面	0.001854	0.0007	2.7581
71	底板	0.001838	0.0011	1.7395
72	室内	0.001819	0.0009	2.1041
73	下方	0.001789	0.0015	1.1641
74	白云质	0.001784	0.0005	3.7136
75	pretreatment	0.001779	0.0004	4.6299
76	上方	0.001742	0.0015	1.1334
77	本章	0.001725	0.0011	1.5618
78	隐伏	0.001696	0.0005	3.5313
79	of	0.001633	0.0031	0.5190
80	多元回归	0.001623	0.0004	4.2244
