Rank	Word	TF-IDF	TF	IDF
1	RBS	0.024316	0.0127	1.9218
2	WBS	0.023110	0.0127	1.8265
3	矩阵	0.013707	0.0154	0.8922
4	FAHP	0.013501	0.0054	2.4898
5	再空	0.012553	0.0027	4.6299
6	模糊	0.010206	0.0117	0.8687
7	瓦屋	0.008368	0.0018	4.6299
8	Practical	0.007636	0.0018	4.2244
9	庄站	0.007636	0.0018	4.2244
10	分解	0.007037	0.0054	1.2977
11	层次	0.006713	0.0072	0.9286
12	Exploration	0.006712	0.0018	3.7136
13	逻辑	0.006495	0.0036	1.7966
14	因素	0.005929	0.0289	0.2050
15	潜在	0.005750	0.0054	1.0603
16	耦合	0.005628	0.0045	1.2455
17	细致	0.005398	0.0027	1.9908
18	评价	0.005241	0.0099	0.5272
19	专家	0.004917	0.0081	0.6045
20	评估	0.004882	0.0136	0.3602
21	系统性	0.004716	0.0027	1.7395
22	识别	0.004354	0.0063	0.6883
23	薛瓦	0.004184	0.0009	4.6299
24	薛瓦区	0.004184	0.0009	4.6299
25	至暗	0.004184	0.0009	4.6299
26	机卡顿	0.004184	0.0009	4.6299
27	以青	0.004184	0.0009	4.6299
28	这一过	0.004184	0.0009	4.6299
29	结果实	0.004184	0.0009	4.6299
30	郸城	0.004184	0.0009	4.6299
31	RPL	0.004184	0.0009	4.6299
32	决策制定	0.004184	0.0009	4.6299
33	Shaojun	0.004184	0.0009	4.6299
34	Cooperation	0.004184	0.0009	4.6299
35	Commerce	0.004184	0.0009	4.6299
36	Third	0.004184	0.0009	4.6299
37	Party	0.004184	0.0009	4.6299
38	Logistics	0.004184	0.0009	4.6299
39	EnterpriseC	0.004184	0.0009	4.6299
40	ICSSE	0.004184	0.0009	4.6299
41	何永智	0.004184	0.0009	4.6299
42	娱瑛	0.004184	0.0009	4.6299
43	分析法	0.004171	0.0054	0.7691
44	Transportation	0.004118	0.0018	2.2785
45	风井	0.003954	0.0018	2.1875
46	分级	0.003936	0.0027	1.4518
47	挖段	0.003818	0.0009	4.2244
48	徐磊	0.003818	0.0009	4.2244
49	解构	0.003818	0.0009	4.2244
50	UpdateJ	0.003818	0.0009	4.2244
51	Record	0.003818	0.0009	4.2244
52	Board	0.003818	0.0009	4.2244
53	构建	0.003680	0.0054	0.6786
54	上个世纪	0.003558	0.0009	3.9367
55	公正性	0.003558	0.0009	3.9367
56	团队	0.003535	0.0018	1.9557
57	层次结构	0.003414	0.0018	1.8890
58	黄岛	0.003356	0.0009	3.7136
59	目的地	0.003356	0.0009	3.7136
60	严谨性	0.003356	0.0009	3.7136
61	甄别	0.003356	0.0009	3.7136
62	精心	0.003356	0.0009	3.7136
63	研讨	0.003356	0.0009	3.7136
64	稳健	0.003356	0.0009	3.7136
65	逻辑运算	0.003356	0.0009	3.7136
66	Aids	0.003356	0.0009	3.7136
67	居舍	0.003356	0.0009	3.7136
68	经过	0.003335	0.0045	0.7380
69	深入	0.003331	0.0027	1.2287
70	黄岛区	0.003191	0.0009	3.5313
71	滨海	0.003191	0.0009	3.5313
72	气候	0.003144	0.0018	1.7395
73	出洞	0.003095	0.0018	1.7121
74	南端	0.003052	0.0009	3.3771
75	碎带	0.003052	0.0009	3.3771
76	指引	0.003052	0.0009	3.3771
77	Social	0.003052	0.0009	3.3771
78	Education	0.003052	0.0009	3.3771
79	LEC	0.003052	0.0009	3.3771
80	清单	0.002999	0.0018	1.6594
