Rank	Word	TF-IDF	TF	IDF
1	热点	0.017905	0.0070	2.5504
2	发文	0.014446	0.0031	4.6299
3	学科	0.014222	0.0066	2.1450
4	省会	0.012283	0.0031	3.9367
5	词频	0.012283	0.0031	3.9367
6	PPP	0.011833	0.0043	2.7581
7	地域	0.009220	0.0027	3.3771
8	节点	0.007386	0.0059	1.2626
9	踩踏	0.006886	0.0020	3.5313
10	数量	0.006875	0.0086	0.8012
11	西北部	0.006590	0.0016	4.2244
12	机构	0.006373	0.0039	1.6341
13	趋势	0.006286	0.0059	1.0745
14	运营	0.006250	0.0078	0.8012
15	高频	0.006096	0.0020	3.1258
16	有关	0.005595	0.0051	1.1035
17	模式	0.005432	0.0059	0.9286
18	各学科	0.005417	0.0012	4.6299
19	数占	0.005417	0.0012	4.6299
20	中心	0.005402	0.0082	0.6596
21	一大	0.005378	0.0020	2.7581
22	范围广	0.005268	0.0016	3.3771
23	领域	0.005070	0.0055	0.9286
24	年份	0.005060	0.0016	3.2436
25	频数	0.005060	0.0016	3.2436
26	风险管理	0.004935	0.0094	0.5272
27	分界点	0.004606	0.0012	3.9367
28	文献	0.004580	0.0230	0.1990
29	分析法	0.004500	0.0059	0.7691
30	设计阶段	0.004370	0.0018	2.4898
31	评价	0.004318	0.0082	0.5272
32	一线	0.004187	0.0016	2.6840
33	论述	0.004027	0.0020	2.0649
34	往往	0.003978	0.0035	1.1334
35	统计	0.003750	0.0047	0.8012
36	阶段	0.003649	0.0098	0.3743
37	申琪玉	0.003611	0.0008	4.6299
38	计量法	0.003611	0.0008	4.6299
39	provincial	0.003611	0.0008	4.6299
40	capital	0.003611	0.0008	4.6299
41	共词	0.003611	0.0008	4.6299
42	UCINET	0.003611	0.0008	4.6299
43	心度	0.003611	0.0008	4.6299
44	三篇	0.003611	0.0008	4.6299
45	尹贻林	0.003611	0.0008	4.6299
46	科研机构	0.003611	0.0008	4.6299
47	科研	0.003482	0.0016	2.2320
48	发表	0.003346	0.0016	2.1450
49	火灾	0.003339	0.0020	1.7121
50	主题	0.003321	0.0012	2.8381
51	共现	0.003295	0.0008	4.2244
52	五年	0.003071	0.0008	3.9367
53	我国	0.003065	0.0051	0.6045
54	所在	0.003051	0.0016	1.9557
55	交通运输	0.003051	0.0016	1.9557
56	分析方法	0.002995	0.0023	1.2800
57	规模	0.002955	0.0023	1.2626
58	预警	0.002936	0.0031	0.9410
59	围绕	0.002913	0.0012	2.4898
60	BT	0.002897	0.0008	3.7136
61	投标	0.002897	0.0008	3.7136
62	院校	0.002897	0.0008	3.7136
63	相对	0.002847	0.0059	0.4867
64	research	0.002837	0.0023	1.2121
65	IN	0.002754	0.0008	3.5313
66	张立茂	0.002723	0.0012	2.3273
67	贡献	0.002723	0.0012	2.3273
68	将会	0.002714	0.0016	1.7395
69	been	0.002666	0.0012	2.2785
70	归类	0.002666	0.0012	2.2785
71	高低	0.002666	0.0012	2.2785
72	qualitative	0.002634	0.0008	3.3771
73	智能化	0.002559	0.0012	2.1875
74	发展趋势	0.002510	0.0012	2.1450
75	联系	0.002496	0.0020	1.2800
76	点及	0.002438	0.0008	3.1258
77	高峰	0.002438	0.0008	3.1258
78	招标	0.002438	0.0008	3.1258
79	高校	0.002372	0.0012	2.0272
80	作者	0.002364	0.0020	1.2121
