Rank	Word	TF-IDF	TF	IDF
1	隧道口	0.008706	0.0022	3.9367
2	一些	0.007714	0.0074	1.0463
3	勘查	0.007342	0.0029	2.4898
4	人为因素	0.006719	0.0029	2.2785
5	项目	0.006577	0.0265	0.2478
6	规避	0.006427	0.0052	1.2455
7	某种程度	0.005804	0.0015	3.9367
8	全方位	0.005570	0.0029	1.8890
9	人身安全	0.005506	0.0022	2.4898
10	极容易	0.005475	0.0015	3.7136
11	比较复杂	0.005380	0.0022	2.4326
12	实施	0.004886	0.0088	0.5523
13	许多	0.004783	0.0037	1.2977
14	还要	0.004746	0.0029	1.6094
15	管理控制	0.004609	0.0015	3.1258
16	因而	0.004483	0.0022	2.0272
17	安全事故	0.004483	0.0052	0.8687
18	洞口	0.004471	0.0029	1.5163
19	公司	0.004408	0.0037	1.1959
20	外力	0.004313	0.0015	2.9251
21	而且	0.004291	0.0037	1.1641
22	人员	0.004217	0.0111	0.3814
23	挖掘	0.004161	0.0029	1.4110
24	密闭	0.003957	0.0015	2.6840
25	这样	0.003673	0.0029	1.2455
26	人身	0.003587	0.0015	2.4326
27	除了	0.003454	0.0022	1.5618
28	之外	0.003431	0.0015	2.3273
29	研成	0.003413	0.0007	4.6299
30	扩增	0.003413	0.0007	4.6299
31	会面	0.003413	0.0007	4.6299
32	道会	0.003413	0.0007	4.6299
33	密切合作	0.003413	0.0007	4.6299
34	工都会	0.003413	0.0007	4.6299
35	由工	0.003413	0.0007	4.6299
36	机受	0.003413	0.0007	4.6299
37	深来	0.003413	0.0007	4.6299
38	生洞	0.003413	0.0007	4.6299
39	任心	0.003413	0.0007	4.6299
40	测仪	0.003413	0.0007	4.6299
41	事业部	0.003413	0.0007	4.6299
42	水土流失	0.003291	0.0015	2.2320
43	塌方	0.003211	0.0022	1.4518
44	事故	0.003186	0.0088	0.3602
45	能够	0.003177	0.0066	0.4788
46	容易	0.003119	0.0052	0.6045
47	JIAN	0.003114	0.0007	4.2244
48	SHE	0.003114	0.0007	4.2244
49	JIU	0.003114	0.0007	4.2244
50	加以分析	0.003114	0.0007	4.2244
51	消极影响	0.003114	0.0007	4.2244
52	思想意识	0.003114	0.0007	4.2244
53	高端	0.003114	0.0007	4.2244
54	逐步	0.003077	0.0022	1.3912
55	国内	0.003045	0.0029	1.0326
56	策略	0.003034	0.0022	1.3718
57	产生	0.003002	0.0088	0.3394
58	能会	0.002902	0.0007	3.9367
59	延续	0.002902	0.0007	3.9367
60	机刚	0.002902	0.0007	3.9367
61	那么	0.002833	0.0015	1.9218
62	进度	0.002831	0.0022	1.2800
63	效益	0.002738	0.0015	1.8573
64	阻力	0.002738	0.0015	1.8573
65	设是	0.002738	0.0007	3.7136
66	受到破坏	0.002738	0.0007	3.7136
67	交界	0.002738	0.0007	3.7136
68	严格监督	0.002738	0.0007	3.7136
69	地理信息	0.002738	0.0007	3.7136
70	超声	0.002738	0.0007	3.7136
71	回波	0.002738	0.0007	3.7136
72	高压电	0.002738	0.0007	3.7136
73	稳健	0.002738	0.0007	3.7136
74	工程项目	0.002702	0.0029	0.9163
75	带来	0.002635	0.0044	0.5956
76	掌子面	0.002631	0.0029	0.8922
77	环节	0.002609	0.0022	1.1799
78	之一	0.002609	0.0022	1.1799
79	安全隐患	0.002609	0.0022	1.1799
80	居民	0.002606	0.0015	1.7677
