Rank	Word	TF-IDF	TF	IDF
1	既有线	0.028818	0.0140	2.0649
2	机场	0.024142	0.0101	2.3786
3	JCL	0.021146	0.0046	4.6299
4	补浆	0.016990	0.0076	2.2320
5	mm	0.016953	0.0180	0.9410
6	三元	0.016461	0.0051	3.2436
7	即时	0.011987	0.0030	3.9367
8	西坝河	0.011748	0.0025	4.6299
9	新建	0.011649	0.0084	1.3912
10	号线	0.009638	0.0208	0.4632
11	既有	0.009636	0.0155	0.6225
12	克泥效	0.009534	0.0036	2.6840
13	轨顶	0.009398	0.0020	4.6299
14	桥站	0.008960	0.0025	3.5313
15	径向	0.008483	0.0046	1.8573
16	钱佳亘	0.008224	0.0018	4.6299
17	增量	0.007664	0.0025	3.0204
18	lines	0.006299	0.0023	2.7581
19	脱出	0.006082	0.0036	1.7121
20	左线	0.005808	0.0066	0.8804
21	精细化	0.005663	0.0025	2.2320
22	fine	0.005654	0.0015	3.7136
23	累计	0.005612	0.0046	1.2287
24	沉降	0.004992	0.0304	0.1640
25	标高	0.004485	0.0030	1.4729
26	模拟	0.004468	0.0051	0.8804
27	北三环	0.004288	0.0010	4.2244
28	西桥	0.004288	0.0010	4.2244
29	线右线	0.004288	0.0010	4.2244
30	圆砾层	0.004199	0.0015	2.7581
31	穿越	0.004190	0.0188	0.2231
32	北京地铁	0.004146	0.0025	1.6341
33	近距离	0.004084	0.0025	1.6094
34	中线	0.004041	0.0020	1.9908
35	杨广武	0.003996	0.0010	3.9367
36	高速路	0.003996	0.0010	3.9367
37	隆起	0.003844	0.0030	1.2626
38	左右	0.003811	0.0046	0.8344
39	正交	0.003791	0.0015	2.4898
40	线路图	0.003769	0.0010	3.7136
41	北京市	0.003621	0.0015	2.3786
42	布设	0.003580	0.0025	1.4110
43	监测点	0.003429	0.0028	1.2287
44	泥效	0.003428	0.0010	3.3771
45	existing	0.003369	0.0020	1.6594
46	黏土	0.003342	0.0041	0.8232
47	控制技术	0.003268	0.0023	1.4312
48	凝结	0.003266	0.0015	2.1450
49	运营	0.003253	0.0041	0.8012
50	夹角	0.003203	0.0015	2.1041
51	Beijing	0.003203	0.0015	2.1041
52	匝道	0.003173	0.0010	3.1258
53	右线	0.003166	0.0041	0.7797
54	粉质	0.003127	0.0036	0.8804
55	线路	0.003100	0.0091	0.3394
56	层间	0.003066	0.0010	3.0204
57	control	0.003021	0.0030	0.9923
58	课题	0.002977	0.0015	1.9557
59	张开	0.002969	0.0010	2.9251
60	卵石	0.002915	0.0025	1.1486
61	间隔	0.002903	0.0018	1.6341
62	station	0.002799	0.0010	2.7581
63	二次	0.002755	0.0041	0.6786
64	见图	0.002620	0.0025	1.0326
65	潜水	0.002607	0.0015	1.7121
66	区间	0.002605	0.0254	0.1027
67	换乘	0.002527	0.0010	2.4898
68	experience	0.002527	0.0010	2.4898
69	涉及	0.002473	0.0030	0.8122
70	视频	0.002469	0.0010	2.4326
71	变形	0.002450	0.0084	0.2926
72	北京	0.002446	0.0046	0.5355
73	模型	0.002446	0.0046	0.5355
74	采集	0.002414	0.0015	1.5853
75	平台	0.002363	0.0020	1.1641
76	模型试验	0.002362	0.0010	2.3273
77	昌八	0.002350	0.0005	4.6299
78	路中	0.002350	0.0005	4.6299
79	芍药居	0.002350	0.0005	4.6299
80	线南延	0.002350	0.0005	4.6299
