Rank	Word	TF-IDF	TF	IDF
1	过湖	0.041734	0.0090	4.6299
2	基坑	0.037890	0.0304	1.2455
3	石门	0.028692	0.0062	4.6299
4	吊装	0.019078	0.0135	1.4110
5	湖段	0.013307	0.0034	3.9367
6	支撑体系	0.011193	0.0039	2.8381
7	支撑	0.009151	0.0113	0.8122
8	进出	0.008997	0.0062	1.4518
9	高空作业	0.008871	0.0023	3.9367
10	狭窄	0.008240	0.0028	2.9251
11	挖掘机	0.007958	0.0023	3.5313
12	管过	0.007825	0.0017	4.6299
13	施工单位	0.007765	0.0068	1.1486
14	管控	0.007588	0.0101	0.7483
15	钢丝绳	0.006396	0.0023	2.8381
16	湖底	0.006276	0.0017	3.7136
17	起吊	0.005245	0.0023	2.3273
18	炮锤	0.005217	0.0011	4.6299
19	层前	0.005217	0.0011	4.6299
20	换刀	0.005145	0.0028	1.8265
21	拼接	0.005135	0.0023	2.2785
22	试吊	0.004974	0.0014	3.5313
23	脚手架	0.004930	0.0023	2.1875
24	冠梁	0.004760	0.0011	4.2244
25	围栏	0.004760	0.0011	4.2244
26	配齐	0.004760	0.0011	4.2244
27	增设	0.004742	0.0023	2.1041
28	坠落	0.004568	0.0023	2.0272
29	端头	0.004530	0.0039	1.1486
30	处约	0.004436	0.0011	3.9367
31	丰水期	0.004436	0.0011	3.9367
32	禁止	0.004208	0.0017	2.4898
33	搭设	0.004208	0.0017	2.4898
34	污水	0.004185	0.0023	1.8573
35	护栏	0.004184	0.0011	3.7136
36	后方	0.004149	0.0028	1.4729
37	人身	0.004112	0.0017	2.4326
38	专项	0.004032	0.0028	1.4312
39	悬空	0.003979	0.0011	3.5313
40	物品	0.003979	0.0011	3.5313
41	电缆	0.003851	0.0017	2.2785
42	膨胀	0.003851	0.0017	2.2785
43	开挖	0.003746	0.0163	0.2293
44	始发	0.003509	0.0068	0.5190
45	全过程	0.003414	0.0028	1.2121
46	航道	0.003403	0.0011	3.0204
47	砾岩	0.003403	0.0011	3.0204
48	变形缝	0.003403	0.0011	3.0204
49	无误	0.003403	0.0011	3.0204
50	焊接	0.003368	0.0023	1.4944
51	专人	0.003365	0.0017	1.9908
52	楔形	0.003296	0.0011	2.9251
53	消防	0.003198	0.0011	2.8381
54	接头	0.003193	0.0017	1.8890
55	物体	0.003139	0.0017	1.8573
56	编制	0.003135	0.0023	1.3912
57	帷幕	0.003108	0.0011	2.7581
58	杂物	0.003108	0.0011	2.7581
59	防火	0.003108	0.0011	2.7581
60	审核	0.003108	0.0011	2.7581
61	临时	0.003091	0.0023	1.3718
62	围护结构	0.003037	0.0017	1.7966
63	接收	0.003033	0.0039	0.7691
64	帘布	0.003024	0.0011	2.6840
65	确保	0.002992	0.0096	0.3124
66	风化	0.002976	0.0034	0.8804
67	段长度	0.002946	0.0011	2.6150
68	基岩	0.002924	0.0023	1.2977
69	防止	0.002924	0.0056	0.5190
70	难点	0.002884	0.0023	1.2800
71	违章	0.002874	0.0011	2.5504
72	顶部	0.002820	0.0034	0.8344
73	岩土	0.002753	0.0039	0.6980
74	防护	0.002695	0.0023	1.1959
75	型钢	0.002680	0.0011	2.3786
76	操作规程	0.002680	0.0011	2.3786
77	伤害	0.002679	0.0017	1.5853
78	交底	0.002679	0.0017	1.5853
79	分段	0.002622	0.0011	2.3273
80	方宗银	0.002608	0.0006	4.6299
