Rank	Word	TF-IDF	TF	IDF
1	桩体	0.095795	0.0317	3.0204
2	桩基	0.033187	0.0216	1.5388
3	廊桥	0.017621	0.0038	4.6299
4	弯道	0.015680	0.0044	3.5313
5	贯通	0.012354	0.0089	1.3912
6	泥质	0.011586	0.0063	1.8265
7	施加	0.010885	0.0051	2.1450
8	单元	0.010812	0.0086	1.2626
9	矿物	0.010497	0.0038	2.7581
10	磁浮	0.009988	0.0025	3.9367
11	机沿	0.009988	0.0025	3.9367
12	盾壳	0.009471	0.0048	1.9908
13	层厚	0.009277	0.0032	2.9251
14	曲线	0.008903	0.0114	0.7797
15	右线	0.008903	0.0114	0.7797
16	应力	0.008515	0.0082	1.0326
17	邓皇适	0.008039	0.0019	4.2244
18	内侧	0.007632	0.0035	2.1875
19	双线	0.007616	0.0057	1.3340
20	黑龙江	0.007201	0.0025	2.8381
21	该层	0.007201	0.0025	2.8381
22	表面	0.007160	0.0051	1.4110
23	外侧	0.006620	0.0038	1.7395
24	左线	0.006143	0.0070	0.8804
25	拟建	0.006035	0.0025	2.3786
26	地表	0.006025	0.0152	0.3958
27	砂岩	0.005944	0.0038	1.5618
28	抚州	0.005874	0.0013	4.6299
29	健美	0.005874	0.0013	4.6299
30	王馨霆	0.005874	0.0013	4.6299
31	路德	0.005874	0.0013	4.6299
32	褐红	0.005874	0.0013	4.6299
33	总第期	0.005874	0.0013	4.6299
34	移除	0.005748	0.0019	3.0204
35	这是	0.005606	0.0032	1.7677
36	桩基础	0.005442	0.0025	2.1450
37	数值	0.005368	0.0089	0.6045
38	周鑫	0.005359	0.0013	4.2244
39	中厚	0.005359	0.0013	4.2244
40	阻力	0.005301	0.0029	1.8573
41	两侧	0.005032	0.0044	1.1334
42	稍湿	0.004994	0.0013	3.9367
43	属极	0.004994	0.0013	3.9367
44	史越	0.004994	0.0013	3.9367
45	胶结	0.004976	0.0019	2.6150
46	软岩	0.004853	0.0019	2.5504
47	荷载	0.004771	0.0044	1.0745
48	模型	0.004756	0.0089	0.5355
49	推力	0.004747	0.0063	0.7483
50	紫红	0.004711	0.0013	3.7136
51	变质	0.004711	0.0013	3.7136
52	值约	0.004711	0.0013	3.7136
53	直线	0.004634	0.0025	1.8265
54	扰动	0.004625	0.0082	0.5608
55	开挖	0.004581	0.0200	0.2293
56	快线	0.004480	0.0013	3.5313
57	三维	0.004475	0.0032	1.4110
58	沉降	0.004472	0.0273	0.1640
59	模拟	0.004467	0.0051	0.8804
60	碎屑	0.004284	0.0013	3.3771
61	邻近	0.004089	0.0038	1.0745
62	最大	0.004016	0.0190	0.2110
63	总第	0.003965	0.0013	3.1258
64	风化	0.003909	0.0044	0.8804
65	正面	0.003904	0.0025	1.5388
66	受到	0.003864	0.0048	0.8122
67	越近	0.003832	0.0013	3.0204
68	摩擦阻力	0.003832	0.0013	3.0204
69	大小	0.003812	0.0048	0.8012
70	第一步	0.003722	0.0019	1.9557
71	线段	0.003711	0.0013	2.9251
72	岩体	0.003595	0.0019	1.8890
73	计算	0.003585	0.0101	0.3532
74	江西	0.003499	0.0013	2.7581
75	构建	0.003444	0.0051	0.6786
76	差分	0.003405	0.0013	2.6840
77	分布	0.003292	0.0063	0.5190
78	和盾	0.003236	0.0013	2.5504
79	填土	0.003203	0.0025	1.2626
80	一共	0.003159	0.0013	2.4898
