Rank	Word	TF-IDF	TF	IDF
1	重叠	0.016372	0.0075	2.1875
2	无锡	0.013385	0.0046	2.9251
3	研宄	0.012961	0.0035	3.7136
4	证据	0.012395	0.0068	1.8265
5	近距离	0.010548	0.0066	1.6094
6	标段	0.007519	0.0049	1.5388
7	评价	0.007401	0.0140	0.5272
8	模糊集	0.007044	0.0025	2.8381
9	命题	0.006880	0.0016	4.2244
10	长机	0.006104	0.0013	4.6299
11	函数	0.005063	0.0040	1.2800
12	合成	0.004733	0.0022	2.1041
13	硕士学位	0.004714	0.0028	1.7121
14	下洞	0.003969	0.0010	3.9367
15	论文	0.003932	0.0029	1.3340
16	出入	0.003909	0.0018	2.1450
17	段线	0.003888	0.0010	3.7136
18	分配	0.003732	0.0022	1.6594
19	风险管理	0.003271	0.0062	0.5272
20	识别	0.003203	0.0047	0.6883
21	我们	0.003203	0.0019	1.6854
22	常规	0.003199	0.0022	1.4729
23	长江路	0.003113	0.0007	4.2244
24	改进	0.003056	0.0033	0.9163
25	交叠	0.003053	0.0008	3.9367
26	上下	0.003042	0.0019	1.6341
27	理论	0.003017	0.0079	0.3814
28	焦元	0.002949	0.0007	4.2244
29	算子	0.002909	0.0014	2.0272
30	新梅路	0.002873	0.0006	4.6299
31	支架	0.002839	0.0011	2.6150
32	指标	0.002748	0.0057	0.4788
33	元素	0.002675	0.0020	1.3527
34	表示	0.002663	0.0030	0.8804
35	融合	0.002579	0.0013	1.9557
36	信任	0.002516	0.0008	3.2436
37	支持	0.002287	0.0019	1.2287
38	概率	0.002253	0.0026	0.8804
39	冲突	0.002166	0.0009	2.3273
40	上洞	0.002137	0.0005	3.9367
41	事件	0.002076	0.0023	0.8922
42	下雨	0.001985	0.0005	3.9367
43	指标体系	0.001976	0.0019	1.0189
44	新梅	0.001975	0.0004	4.6299
45	等等	0.001944	0.0009	2.2785
46	信度	0.001925	0.0007	2.7581
47	一个	0.001892	0.0036	0.5190
48	搅拌站	0.001833	0.0005	3.3771
49	險道	0.001832	0.0005	3.9367
50	分解	0.001812	0.0014	1.2977
51	第三章	0.001789	0.0009	1.9218
52	车辆段	0.001761	0.0005	3.2436
53	五个	0.001731	0.0011	1.5388
54	电力	0.001700	0.0009	1.8265
55	两条	0.001682	0.0008	2.0649
56	子集	0.001681	0.0007	2.5504
57	历史	0.001673	0.0010	1.6594
58	本项	0.001643	0.0005	3.5313
59	损失	0.001642	0.0023	0.7178
60	接受	0.001633	0.0012	1.3157
61	似真	0.001616	0.0003	4.6299
62	框架	0.001611	0.0010	1.5388
63	加权	0.001609	0.0010	1.6594
64	基于	0.001578	0.0044	0.3602
65	第五章	0.001572	0.0008	2.0272
66	因素	0.001542	0.0075	0.2050
67	右线	0.001542	0.0020	0.7797
68	平安	0.001527	0.0004	3.9367
69	信息	0.001484	0.0022	0.6596
70	二级	0.001469	0.0012	1.2626
71	定义	0.001464	0.0012	1.1799
72	模型	0.001454	0.0027	0.5355
73	下层	0.001444	0.0006	2.3273
74	第四章	0.001441	0.0007	1.9557
75	以往	0.001429	0.0011	1.3157
76	权重	0.001387	0.0015	0.9410
77	矩形	0.001385	0.0005	2.5504
78	集合	0.001383	0.0010	1.3718
79	材料	0.001369	0.0024	0.5694
80	构建	0.001368	0.0020	0.6786
