Rank	Word	TF-IDF	TF	IDF
1	东六环	0.035934	0.0078	4.6299
2	超大	0.021593	0.0126	1.7121
3	可变	0.018842	0.0053	3.5313
4	评价	0.013299	0.0252	0.5272
5	改造	0.011518	0.0063	1.8265
6	物资	0.010458	0.0058	1.7966
7	吸引	0.010246	0.0024	4.2244
8	直径	0.008906	0.0199	0.4478
9	隶属	0.006942	0.0049	1.4312
10	级别	0.006595	0.0046	1.4312
11	指标	0.006504	0.0136	0.4788
12	中级	0.006342	0.0024	2.6150
13	双液	0.006061	0.0039	1.5618
14	模糊	0.005899	0.0068	0.8687
15	第个	0.005676	0.0019	2.9251
16	矩阵	0.005626	0.0063	0.8922
17	分值	0.005593	0.0029	1.9218
18	上浮	0.005588	0.0044	1.2800
19	点检	0.005404	0.0015	3.7136
20	综合	0.005191	0.0170	0.3057
21	特征值	0.004497	0.0027	1.6854
22	潞苑	0.004492	0.0010	4.6299
23	样本	0.004358	0.0024	1.7966
24	机械设备	0.004179	0.0036	1.1486
25	模型	0.004156	0.0078	0.5355
26	排斥	0.004098	0.0010	4.2244
27	京哈	0.004098	0.0010	4.2244
28	扫描	0.004014	0.0015	2.7581
29	工艺	0.004007	0.0039	1.0326
30	集合	0.003993	0.0029	1.3718
31	郭隆彪	0.003819	0.0010	3.9367
32	北大街	0.003819	0.0010	3.9367
33	专家	0.003812	0.0063	0.6045
34	材料	0.003729	0.0065	0.5694
35	标准值	0.003712	0.0015	2.5504
36	权重	0.003652	0.0039	0.9410
37	调控	0.003623	0.0015	2.4898
38	李忠	0.003603	0.0010	3.7136
39	雷达	0.003316	0.0015	2.2785
40	低级	0.003276	0.0010	3.3771
41	浆料	0.003276	0.0010	3.3771
42	计算	0.003255	0.0092	0.3532
43	接受	0.003191	0.0024	1.3157
44	工程施工	0.003170	0.0063	0.5027
45	致密	0.003147	0.0010	3.2436
46	构建	0.003127	0.0046	0.6786
47	相对	0.003069	0.0063	0.4867
48	权法	0.002950	0.0015	2.0272
49	评分	0.002942	0.0019	1.5163
50	带入	0.002838	0.0010	2.9251
51	分级	0.002817	0.0019	1.4518
52	作业	0.002726	0.0053	0.5108
53	设备	0.002636	0.0092	0.2861
54	构件	0.002572	0.0015	1.7677
55	渗漏	0.002553	0.0019	1.3157
56	养护	0.002552	0.0012	2.1041
57	函数	0.002484	0.0019	1.2800
58	中交	0.002474	0.0010	2.5504
59	论域	0.002474	0.0010	2.5504
60	涉及	0.002364	0.0029	0.8122
61	同步	0.002361	0.0049	0.4867
62	全过程	0.002352	0.0019	1.2121
63	高度重视	0.002308	0.0010	2.3786
64	度为	0.002258	0.0010	2.3273
65	成晓青	0.002246	0.0005	4.6299
66	曾德成	0.002246	0.0005	4.6299
67	机而	0.002246	0.0005	4.6299
68	主城	0.002246	0.0005	4.6299
69	当不落	0.002246	0.0005	4.6299
70	跃迁	0.002246	0.0005	4.6299
71	级域	0.002246	0.0005	4.6299
72	域矩	0.002246	0.0005	4.6299
73	点桩	0.002246	0.0005	4.6299
74	重熵	0.002246	0.0005	4.6299
75	控浮	0.002246	0.0005	4.6299
76	不成	0.002246	0.0005	4.6299
77	渗不漏	0.002246	0.0005	4.6299
78	期病	0.002246	0.0005	4.6299
79	渗透深度	0.002246	0.0005	4.6299
80	马建	0.002246	0.0005	4.6299
