Rank	Word	TF-IDF	TF	IDF
1	轴承	0.008093	0.0040	2.0272
2	易国良	0.008037	0.0017	4.6299
3	technologies	0.006855	0.0023	2.9251
4	常压	0.005424	0.0024	2.2320
5	研制	0.005419	0.0019	2.8381
6	智能	0.005418	0.0037	1.4518
7	气垫	0.005276	0.0016	3.3771
8	制造	0.005092	0.0026	1.9557
9	of	0.005045	0.0097	0.5190
10	装备	0.004909	0.0028	1.7677
11	带压	0.004870	0.0019	2.5504
12	密封	0.004546	0.0061	0.7483
13	建造	0.004366	0.0024	1.7966
14	耐磨	0.004351	0.0019	2.2785
15	泥水	0.004253	0.0054	0.7904
16	刀具	0.004123	0.0061	0.6786
17	Kairong	0.004100	0.0010	3.9367
18	Fig	0.004074	0.0021	1.9557
19	中英文	0.004022	0.0036	1.1035
20	直排	0.004018	0.0009	4.6299
21	套筒	0.003955	0.0017	2.2785
22	超大	0.003863	0.0023	1.7121
23	历程	0.003798	0.0012	3.1258
24	shield	0.003673	0.0058	0.6317
25	阀组	0.003666	0.0009	4.2244
26	冲刷	0.003560	0.0016	2.2785
27	泥浆	0.003544	0.0033	1.0745
28	Tunnel	0.003405	0.0032	1.0603
29	and	0.003403	0.0068	0.5027
30	循环系统	0.003378	0.0010	3.2436
31	HONG	0.003378	0.0010	3.2436
32	损坏	0.003124	0.0036	0.8571
33	流量	0.003119	0.0017	1.7966
34	tunneling	0.003095	0.0030	1.0189
35	开发	0.003068	0.0024	1.2626
36	摆动	0.002931	0.0009	3.3771
37	渣土	0.002906	0.0028	1.0463
38	模式	0.002901	0.0031	0.9286
39	FENG	0.002884	0.0010	3.0204
40	成果	0.002873	0.0026	1.1035
41	自主	0.002872	0.0010	2.7581
42	洪开荣	0.002872	0.0010	2.7581
43	development	0.002868	0.0016	1.7395
44	intelligent	0.002815	0.0009	3.2436
45	陈馈	0.002733	0.0007	3.9367
46	circulation	0.002733	0.0007	3.9367
47	伸缩	0.002723	0.0010	2.6150
48	cutterhead	0.002713	0.0009	3.1258
49	in	0.002699	0.0046	0.5868
50	磨损	0.002670	0.0035	0.7691
51	接收	0.002670	0.0035	0.7691
52	异形	0.002578	0.0007	3.7136
53	prospects	0.002578	0.0007	3.7136
54	刀盘	0.002501	0.0069	0.3602
55	tunnels	0.002477	0.0016	1.5853
56	Construction	0.002467	0.0030	0.8122
57	环流	0.002463	0.0009	2.8381
58	承压	0.002455	0.0014	1.7677
59	drive	0.002452	0.0007	3.5313
60	检测	0.002429	0.0030	0.8232
61	自研	0.002411	0.0005	4.6299
62	可感	0.002411	0.0005	4.6299
63	Vd	0.002411	0.0005	4.6299
64	指形	0.002411	0.0005	4.6299
65	仓滞排	0.002411	0.0005	4.6299
66	洞门	0.002361	0.0021	1.1334
67	发展	0.002358	0.0064	0.3672
68	main	0.002304	0.0014	1.6594
69	发展趋势	0.002234	0.0010	2.1450
70	换刀	0.002219	0.0012	1.8265
71	泥饼	0.002219	0.0012	1.8265
72	Kui	0.002200	0.0005	4.2244
73	保护	0.002172	0.0026	0.8344
74	驱动	0.002169	0.0014	1.5618
75	Development	0.002168	0.0011	1.9218
76	CHEN	0.002151	0.0010	2.0649
77	土压	0.002142	0.0038	0.5608
78	水下	0.002137	0.0014	1.5388
79	输送机	0.002106	0.0014	1.5163
80	始发	0.002072	0.0040	0.5190
