Rank	Word	TF-IDF	TF	IDF
1	三十八	0.046638	0.0101	4.6299
2	细柳	0.029679	0.0064	4.6299
3	府君	0.025439	0.0055	4.6299
4	庙村	0.025439	0.0055	4.6299
5	搅拌站	0.024741	0.0073	3.3771
6	路站	0.015714	0.0073	2.1450
7	土坑	0.015474	0.0037	4.2244
8	站经	0.012719	0.0027	4.6299
9	粗砂	0.012264	0.0055	2.2320
10	古土壤	0.011605	0.0027	4.2244
11	杂填土	0.010975	0.0064	1.7121
12	控制技术	0.010485	0.0073	1.4312
13	给水管	0.009120	0.0037	2.4898
14	黄土	0.009115	0.0046	1.9908
15	风积	0.008480	0.0018	4.6299
16	冲湖积	0.008480	0.0018	4.6299
17	原为	0.008480	0.0018	4.6299
18	线明	0.008480	0.0018	4.6299
19	管旋	0.008480	0.0018	4.6299
20	改后	0.008480	0.0018	4.6299
21	滚刀	0.008363	0.0046	1.8265
22	Equipment	0.008036	0.0027	2.9251
23	残积	0.007737	0.0018	4.2244
24	四通	0.007737	0.0018	4.2244
25	盘形	0.007737	0.0018	4.2244
26	管底	0.006801	0.0018	3.7136
27	清淤	0.006801	0.0018	3.7136
28	袖阀	0.006683	0.0027	2.4326
29	绕行	0.006467	0.0018	3.5313
30	张海霞	0.006467	0.0018	3.5313
31	MECHANIZATION	0.006185	0.0018	3.3771
32	放坡	0.006185	0.0018	3.3771
33	拱顶	0.005781	0.0046	1.2626
34	压实	0.005725	0.0018	3.1258
35	回填	0.005395	0.0037	1.4729
36	五类	0.005357	0.0018	2.9251
37	端头	0.005259	0.0046	1.1486
38	洪积	0.005198	0.0018	2.8381
39	当盾	0.005198	0.0018	2.8381
40	洞门	0.005189	0.0046	1.1334
41	供水管	0.005051	0.0018	2.7581
42	喷桩	0.004789	0.0018	2.6150
43	Project	0.004779	0.0027	1.7395
44	严格控制	0.004665	0.0046	1.0189
45	填土	0.004625	0.0037	1.2626
46	地形	0.004559	0.0027	1.6594
47	水泥	0.004440	0.0037	1.2121
48	拟建	0.004356	0.0018	2.3786
49	深约	0.004356	0.0018	2.3786
50	更新	0.004355	0.0027	1.5853
51	到达	0.004343	0.0055	0.7904
52	CONSTRUCTION	0.004262	0.0018	2.3273
53	Miscellaneous	0.004240	0.0009	4.6299
54	Fill	0.004240	0.0009	4.6299
55	曹志伟	0.004240	0.0009	4.6299
56	由经	0.004240	0.0009	4.6299
57	站府	0.004240	0.0009	4.6299
58	君庙	0.004240	0.0009	4.6299
59	冲洪	0.004240	0.0009	4.6299
60	挖有	0.004240	0.0009	4.6299
61	纵长	0.004240	0.0009	4.6299
62	挡水	0.004240	0.0009	4.6299
63	经府	0.004240	0.0009	4.6299
64	体步	0.004240	0.0009	4.6299
65	环箍挡	0.004240	0.0009	4.6299
66	重型机械	0.004240	0.0009	4.6299
67	拉线	0.004240	0.0009	4.6299
68	改时	0.004240	0.0009	4.6299
69	何奖	0.004240	0.0009	4.6299
70	王玉玮	0.004240	0.0009	4.6299
71	张照	0.004240	0.0009	4.6299
72	王立辉	0.004240	0.0009	4.6299
73	刘进志	0.004240	0.0009	4.6299
74	黑色金属	0.004240	0.0009	4.6299
75	胡怡	0.004240	0.0009	4.6299
76	赵羽	0.004240	0.0009	4.6299
77	张宝刚	0.004240	0.0009	4.6299
78	赵海鸣	0.004240	0.0009	4.6299
79	舒标	0.004240	0.0009	4.6299
80	磨料	0.004240	0.0009	4.6299
