Rank	Word	TF-IDF	TF	IDF
1	评价	0.029500	0.0560	0.5272
2	滁州	0.012609	0.0027	4.6299
3	朱永祥	0.011463	0.0025	4.6299
4	模糊数学	0.010468	0.0054	1.9218
5	模糊	0.009463	0.0109	0.8687
6	因素	0.009340	0.0456	0.2050
7	安徽省教育厅	0.009170	0.0020	4.6299
8	权重	0.008853	0.0094	0.9410
9	矩阵	0.008836	0.0099	0.8922
10	职业	0.008643	0.0037	2.3273
11	数集	0.007797	0.0020	3.9367
12	中等	0.007711	0.0059	1.2977
13	二级	0.007502	0.0059	1.2626
14	各层次	0.007227	0.0030	2.4326
15	素养	0.006994	0.0020	3.5313
16	层次	0.006897	0.0074	0.9286
17	专家	0.006885	0.0114	0.6045
18	身体状况	0.006878	0.0015	4.6299
19	这里	0.006769	0.0030	2.2785
20	人数	0.006631	0.0030	2.2320
21	构建	0.006385	0.0094	0.6786
22	隶属	0.006378	0.0045	1.4312
23	判断	0.005639	0.0099	0.5694
24	一级	0.005550	0.0054	1.0189
25	人员	0.005476	0.0144	0.3814
26	指标	0.005216	0.0109	0.4788
27	评语	0.005210	0.0025	2.1041
28	等级	0.005152	0.0089	0.5781
29	征询	0.004818	0.0015	3.2436
30	集合	0.004755	0.0035	1.3718
31	细分	0.004610	0.0020	2.3273
32	语气	0.004585	0.0010	4.6299
33	分析法	0.004189	0.0054	0.7691
34	等次	0.004184	0.0010	4.2244
35	得分	0.004090	0.0020	2.0649
36	朱倩倩	0.003899	0.0010	3.9367
37	表及	0.003899	0.0010	3.9367
38	表达	0.003754	0.0025	1.5163
39	安徽省	0.003678	0.0010	3.7136
40	赵雅云	0.003678	0.0010	3.7136
41	无风险	0.003678	0.0010	3.7136
42	第期	0.003533	0.0015	2.3786
43	效率高	0.003533	0.0015	2.3786
44	珍妮	0.003497	0.0010	3.5313
45	语言表达	0.003497	0.0010	3.5313
46	语句	0.003497	0.0010	3.5313
47	信阳	0.003497	0.0010	3.5313
48	轻微	0.003316	0.0015	2.2320
49	赵辉	0.003212	0.0010	3.2436
50	计算	0.003148	0.0089	0.3532
51	于是	0.003096	0.0010	3.1258
52	法在	0.002917	0.0020	1.4729
53	案例	0.002883	0.0040	0.7279
54	归一化	0.002835	0.0020	1.4312
55	度值	0.002658	0.0010	2.6840
56	赋权	0.002543	0.0015	1.7121
57	法将	0.002526	0.0010	2.5504
58	管理制度	0.002465	0.0015	1.6594
59	机械	0.002413	0.0030	0.8122
60	有机	0.002409	0.0010	2.4326
61	这些	0.002380	0.0030	0.8012
62	聚类	0.002305	0.0010	2.3273
63	管红兵	0.002293	0.0005	4.6299
64	闫秀芳	0.002293	0.0005	4.6299
65	机械率	0.002293	0.0005	4.6299
66	教学研究	0.002293	0.0005	4.6299
67	高等职业	0.002293	0.0005	4.6299
68	大师	0.002293	0.0005	4.6299
69	工作室	0.002293	0.0005	4.6299
70	全椒	0.002293	0.0005	4.6299
71	用词	0.002293	0.0005	4.6299
72	如王胜	0.002293	0.0005	4.6299
73	美国国防部	0.002293	0.0005	4.6299
74	定型	0.002293	0.0005	4.6299
75	宁城	0.002293	0.0005	4.6299
76	凤阳	0.002293	0.0005	4.6299
77	花博园	0.002293	0.0005	4.6299
78	持某	0.002293	0.0005	4.6299
79	韩玉珍	0.002293	0.0005	4.6299
80	成其	0.002293	0.0005	4.6299
