Rank	Word	TF-IDF	TF	IDF
1	微动	0.093781	0.0238	3.9367
2	台阵	0.038831	0.0084	4.6299
3	HV	0.030021	0.0065	4.6299
4	频散	0.024800	0.0054	4.6299
5	探测	0.023572	0.0118	1.9908
6	SPAC	0.019742	0.0043	4.6299
7	信号	0.017461	0.0078	2.2320
8	面波	0.015010	0.0032	4.6299
9	无损	0.011887	0.0037	3.2436
10	反演	0.010308	0.0035	2.9251
11	频段	0.008932	0.0021	4.2244
12	曲线	0.008848	0.0113	0.7797
13	采集	0.008827	0.0056	1.5853
14	测点	0.008098	0.0046	1.7677
15	城站	0.008046	0.0020	3.9367
16	卵石	0.007529	0.0066	1.1486
17	Rm	0.007294	0.0017	4.2244
18	拟合	0.006803	0.0032	2.1450
19	不明	0.006397	0.0027	2.3273
20	节点	0.005962	0.0047	1.2626
21	misfit	0.005874	0.0013	4.6299
22	相关系数	0.005577	0.0024	2.3273
23	振幅	0.005547	0.0012	4.6299
24	频率	0.005453	0.0051	1.0745
25	兰州	0.005418	0.0028	1.9218
26	截取	0.005272	0.0013	3.9367
27	瑞利	0.005221	0.0011	4.6299
28	Hz	0.005058	0.0011	4.6299
29	分量	0.004918	0.0018	2.6840
30	硕士学位	0.004766	0.0028	1.7121
31	仪器	0.004429	0.0019	2.3273
32	勘探	0.004395	0.0026	1.6854
33	地勘	0.004317	0.0020	2.1875
34	世纪	0.004246	0.0027	1.5853
35	时钟	0.004242	0.0009	4.6299
36	时窗	0.004242	0.0009	4.6299
37	北段	0.004188	0.0011	3.7136
38	横波	0.004168	0.0010	4.2244
39	提取	0.004111	0.0023	1.7677
40	圆形	0.004063	0.0021	1.9218
41	富水	0.003950	0.0041	0.9663
42	震源	0.003926	0.0011	3.7136
43	波数	0.003916	0.0008	4.6299
44	论文	0.003808	0.0029	1.3340
45	数据处理	0.003784	0.0018	2.0649
46	频谱	0.003589	0.0008	4.6299
47	比法	0.003573	0.0008	4.2244
48	曲线拟合	0.003484	0.0010	3.5313
49	峰值	0.003415	0.0013	2.5504
50	成都	0.003334	0.0024	1.3912
51	触点	0.003275	0.0008	4.2244
52	雷达	0.003212	0.0014	2.2785
53	剖面	0.003062	0.0016	1.8890
54	观测	0.003017	0.0019	1.5853
55	地球	0.002987	0.0008	3.5313
56	波长	0.002937	0.0006	4.6299
57	浅层	0.002886	0.0010	2.9251
58	功率	0.002837	0.0011	2.6840
59	地震	0.002775	0.0016	1.7121
60	detection	0.002743	0.0008	3.2436
61	空洞	0.002685	0.0019	1.4110
62	傅里叶	0.002680	0.0006	4.2244
63	岩性	0.002620	0.0013	2.0649
64	钻孔	0.002616	0.0025	1.0603
65	抗干扰能力	0.002610	0.0006	4.6299
66	体波	0.002610	0.0006	4.6299
67	徐佩芬	0.002610	0.0006	4.6299
68	开窗	0.002610	0.0006	4.6299
69	exp	0.002596	0.0012	2.2320
70	数据	0.002538	0.0073	0.3463
71	形状	0.002521	0.0012	2.1041
72	底座	0.002515	0.0008	3.2436
73	波速	0.002497	0.0006	3.9367
74	the	0.002472	0.0045	0.5523
75	贝塞尔	0.002382	0.0006	4.2244
76	Lm	0.002382	0.0006	4.2244
77	机动车	0.002382	0.0006	4.2244
78	地震仪	0.002382	0.0006	4.2244
79	布设	0.002287	0.0016	1.4110
80	能谱	0.002284	0.0005	4.6299
