Rank	Word	TF-IDF	TF	IDF
1	超大	0.016149	0.0094	1.7121
2	耦合	0.008763	0.0070	1.2455
3	识别	0.006173	0.0090	0.6883
4	直径	0.004743	0.0106	0.4478
5	中度	0.004650	0.0018	2.6150
6	RBS	0.004606	0.0024	1.9218
7	评分表	0.004523	0.0015	2.9251
8	WBS	0.004307	0.0024	1.8265
9	CBL	0.004296	0.0009	4.6299
10	第二节	0.004246	0.0010	4.2244
11	基坑	0.004237	0.0034	1.2455
12	矩阵	0.004070	0.0046	0.8922
13	第一节	0.003957	0.0010	3.9367
14	评价	0.003954	0.0075	0.5272
15	七宝	0.003593	0.0009	4.2244
16	快速路	0.003445	0.0009	3.7136
17	合川	0.002940	0.0007	4.2244
18	权重	0.002910	0.0031	0.9410
19	分解	0.002910	0.0022	1.2977
20	准则	0.002862	0.0026	1.0889
21	接收	0.002854	0.0037	0.7691
22	不当	0.002849	0.0033	0.8571
23	附录	0.002823	0.0015	1.9218
24	第三节	0.002739	0.0007	3.9367
25	洞门	0.002716	0.0024	1.1334
26	模糊	0.002351	0.0027	0.8687
27	始发	0.002287	0.0044	0.5190
28	地墙	0.002286	0.0005	4.2244
29	因素	0.002235	0.0109	0.2050
30	支撑体系	0.002194	0.0008	2.8381
31	新建	0.002151	0.0015	1.3912
32	上覆土	0.002131	0.0005	3.9367
33	隶属	0.002102	0.0015	1.4312
34	高架	0.002075	0.0008	2.6840
35	蒲汇塘	0.001960	0.0005	4.2244
36	蒲汇	0.001960	0.0005	4.2244
37	承压水	0.001945	0.0011	1.7966
38	期间	0.001938	0.0029	0.6596
39	高度	0.001918	0.0019	0.9923
40	桩基	0.001904	0.0012	1.5388
41	the	0.001900	0.0034	0.5523
42	降水	0.001855	0.0015	1.2626
43	层次	0.001795	0.0019	0.9286
44	风险管理	0.001671	0.0032	0.5272
45	评估	0.001671	0.0046	0.3602
46	综合	0.001655	0.0054	0.3057
47	调试	0.001642	0.0010	1.6341
48	桥梁	0.001637	0.0013	1.2455
49	专家	0.001636	0.0027	0.6045
50	阶段	0.001620	0.0043	0.3743
51	支护	0.001611	0.0016	0.9923
52	指标	0.001592	0.0033	0.4788
53	地段	0.001515	0.0014	1.0889
54	筑物	0.001495	0.0014	1.0745
55	比较	0.001486	0.0023	0.6409
56	评语	0.001464	0.0007	2.1041
57	围护	0.001464	0.0007	2.1041
58	低度	0.001450	0.0005	3.1258
59	负环	0.001436	0.0008	1.8573
60	调查	0.001429	0.0016	0.8804
61	risk	0.001427	0.0019	0.7380
62	曲线	0.001387	0.0018	0.7797
63	河道	0.001385	0.0007	1.9908
64	不良	0.001380	0.0015	0.8922
65	三级	0.001369	0.0009	1.6094
66	基座	0.001367	0.0008	1.7677
67	坑内	0.001365	0.0004	3.5313
68	了解	0.001365	0.0012	1.1035
69	有害	0.001361	0.0007	1.9557
70	进出	0.001347	0.0009	1.4518
71	管片	0.001344	0.0070	0.1931
72	特殊	0.001325	0.0015	0.8571
73	止水	0.001309	0.0009	1.5388
74	分析法	0.001308	0.0017	0.7691
75	拼装	0.001307	0.0020	0.6502
76	第四节	0.001306	0.0003	4.2244
77	泾港	0.001306	0.0003	4.2244
78	古镇	0.001306	0.0003	4.2244
79	选项	0.001306	0.0004	3.3771
80	前期	0.001294	0.0012	1.0463
