Rank	Word	TF-IDF	TF	IDF
1	环城	0.023518	0.0060	3.9367
2	JGCLJ	0.022849	0.0049	4.6299
3	高速	0.022629	0.0136	1.6594
4	南环	0.019842	0.0043	4.6299
5	路基	0.016265	0.0094	1.7395
6	油脂	0.009471	0.0060	1.5853
7	泡沫	0.008621	0.0052	1.6594
8	填方路基	0.008418	0.0018	4.6299
9	Subgrade	0.008180	0.0021	3.9367
10	高速公路	0.008078	0.0038	2.1450
11	issn	0.007360	0.0039	1.8890
12	发泡	0.006740	0.0021	3.2436
13	李学创	0.006583	0.0016	4.2244
14	subgrade	0.006583	0.0016	4.2244
15	注入	0.006268	0.0062	1.0055
16	扭矩	0.005977	0.0061	0.9792
17	喷涌	0.005738	0.0039	1.4729
18	砂岩	0.005679	0.0036	1.5618
19	碎屑岩	0.005503	0.0016	3.5313
20	泥质	0.005219	0.0029	1.8265
21	双洞	0.005055	0.0016	3.2436
22	JGCQL	0.004810	0.0010	4.6299
23	路面	0.004658	0.0031	1.4944
24	渣土	0.004620	0.0044	1.0463
25	试验段	0.004518	0.0026	1.7395
26	加水	0.004423	0.0016	2.8381
27	转速	0.004384	0.0038	1.1641
28	盾体	0.004378	0.0026	1.6854
29	刀盘	0.004210	0.0117	0.3602
30	混合液	0.004090	0.0010	3.9367
31	损耗	0.004075	0.0016	2.6150
32	DOI	0.003954	0.0047	0.8457
33	of	0.003909	0.0075	0.5190
34	黏粒	0.003858	0.0010	3.7136
35	发泡剂	0.003858	0.0010	3.7136
36	kNm	0.003744	0.0019	1.9218
37	覆南环	0.003608	0.0008	4.6299
38	LG	0.003292	0.0008	4.2244
39	总第	0.003248	0.0010	3.1258
40	改良	0.003235	0.0026	1.2455
41	mm	0.003177	0.0034	0.9410
42	螺旋	0.003176	0.0031	1.0189
43	土仓	0.003093	0.0031	0.9923
44	盘结	0.003089	0.0013	2.3786
45	undercrossing	0.003039	0.0010	2.9251
46	边坡	0.002959	0.0013	2.2785
47	kg	0.002949	0.0010	2.8381
48	闸门	0.002949	0.0010	2.8381
49	运营	0.002914	0.0036	0.8012
50	淤泥	0.002911	0.0023	1.2455
51	里程	0.002809	0.0035	0.8012
52	盾尾刷	0.002789	0.0010	2.6840
53	风化	0.002744	0.0031	0.8804
54	shield	0.002625	0.0042	0.6317
55	环数	0.002587	0.0010	2.4898
56	Guangzhou	0.002587	0.0010	2.4898
57	the	0.002582	0.0047	0.5523
58	袋装	0.002556	0.0006	3.9367
59	LI	0.002547	0.0016	1.6341
60	盾尾	0.002527	0.0034	0.7483
61	Engineering	0.002497	0.0031	0.8012
62	土压	0.002476	0.0044	0.5608
63	打开	0.002471	0.0010	2.3786
64	透水	0.002434	0.0016	1.5618
65	推力	0.002430	0.0032	0.7483
66	李士	0.002405	0.0005	4.6299
67	砂井	0.002405	0.0005	4.6299
68	管阻	0.002405	0.0005	4.6299
69	注脂量	0.002405	0.0005	4.6299
70	逐路	0.002405	0.0005	4.6299
71	流淌	0.002405	0.0005	4.6299
72	泥饼	0.002372	0.0013	1.8265
73	严禁	0.002367	0.0010	2.2785
74	块状	0.002279	0.0008	2.9251
75	以内	0.002263	0.0016	1.4518
76	on	0.002259	0.0034	0.6690
77	裂隙水	0.002259	0.0013	1.7395
78	状粉质	0.002194	0.0005	4.2244
79	ZH	0.002194	0.0005	4.2244
80	分散型	0.002194	0.0005	4.2244
