Rank	Word	TF-IDF	TF	IDF
1	隧洞	0.030262	0.0163	1.8573
2	of	0.011485	0.0221	0.5190
3	Chinese	0.009834	0.0041	2.3786
4	路径	0.009772	0.0054	1.8265
5	暗井	0.009246	0.0022	4.2244
6	the	0.009134	0.0165	0.5523
7	网络拓扑	0.008814	0.0029	3.0204
8	贝叶斯	0.008627	0.0062	1.3912
9	事件	0.008353	0.0094	0.8922
10	输水	0.008080	0.0027	3.0204
11	南水北调	0.008049	0.0029	2.7581
12	引水	0.008049	0.0029	2.7581
13	Water	0.007395	0.0036	2.0272
14	Bayesian	0.007011	0.0036	1.9218
15	risk	0.007000	0.0095	0.7380
16	topology	0.006702	0.0017	3.9367
17	North	0.006402	0.0022	2.9251
18	LI	0.006358	0.0039	1.6341
19	and	0.006113	0.0122	0.5027
20	概率	0.005995	0.0068	0.8804
21	path	0.005876	0.0019	3.0204
22	网络	0.005869	0.0058	1.0055
23	李强	0.005691	0.0019	2.9251
24	River	0.005691	0.0019	2.9251
25	in	0.005566	0.0095	0.5868
26	construction	0.005377	0.0085	0.6317
27	shield	0.005223	0.0083	0.6317
28	DOI	0.005141	0.0061	0.8457
29	tunnel	0.005141	0.0061	0.8457
30	conveyance	0.005137	0.0012	4.2244
31	Chuanqin	0.005137	0.0012	4.2244
32	水利	0.004788	0.0022	2.1875
33	network	0.004756	0.0024	1.9557
34	water	0.004697	0.0029	1.6094
35	人为	0.004641	0.0028	1.6594
36	South	0.004628	0.0019	2.3786
37	预测	0.004602	0.0063	0.7279
38	headrace	0.004504	0.0010	4.6299
39	model	0.004482	0.0036	1.2287
40	致因	0.004357	0.0022	1.9908
41	长距离	0.004217	0.0032	1.3340
42	events	0.004024	0.0015	2.7581
43	factors	0.003948	0.0029	1.3527
44	distance	0.003916	0.0015	2.6840
45	ISM	0.003916	0.0015	2.6840
46	TBM	0.003884	0.0027	1.4518
47	卡护盾	0.003829	0.0010	3.9367
48	Yellow	0.003829	0.0010	3.9367
49	long	0.003816	0.0015	2.6150
50	Fig	0.003805	0.0019	1.9557
51	Tab	0.003801	0.0012	3.1258
52	模型	0.003777	0.0071	0.5355
53	et	0.003658	0.0034	1.0745
54	al	0.003610	0.0034	1.0603
55	learning	0.003451	0.0012	2.8381
56	Diversion	0.003435	0.0010	3.5313
57	Transfers	0.003378	0.0007	4.6299
58	cnki	0.003332	0.0027	1.2455
59	WANG	0.003279	0.0019	1.6854
60	tunneling	0.003221	0.0032	1.0189
61	to	0.003136	0.0046	0.6786
62	based	0.003114	0.0027	1.1641
63	Network	0.003070	0.0015	2.1041
64	人身	0.002958	0.0012	2.4326
65	机械设备	0.002933	0.0026	1.1486
66	on	0.002929	0.0044	0.6690
67	西霞院	0.002872	0.0007	3.9367
68	灌区	0.002872	0.0007	3.9367
69	概率分布	0.002830	0.0012	2.3273
70	塌方	0.002825	0.0019	1.4518
71	节点	0.002763	0.0022	1.2626
72	interpretative	0.002709	0.0007	3.7136
73	hydraulic	0.002709	0.0007	3.7136
74	diversion	0.002709	0.0007	3.7136
75	解释	0.002706	0.0016	1.7121
76	材料	0.002700	0.0047	0.5694
77	structural	0.002660	0.0012	2.1875
78	为级	0.002622	0.0015	1.7966
79	水利工程	0.002611	0.0010	2.6840
80	progress	0.002611	0.0010	2.6840
