Rank	Word	TF-IDF	TF	IDF
1	隧洞	0.039433	0.0212	1.8573
2	WBSBS	0.035876	0.0085	4.2244
3	BS	0.011946	0.0038	3.1258
4	输水	0.010260	0.0034	3.0204
5	西霞院	0.008358	0.0021	3.9367
6	灌区	0.008358	0.0021	3.9367
7	河南省	0.007497	0.0021	3.5313
8	水利枢纽	0.007175	0.0017	4.2244
9	沁河	0.007175	0.0017	4.2244
10	引水	0.007027	0.0025	2.7581
11	WBS	0.006980	0.0038	1.8265
12	权重	0.006793	0.0072	0.9410
13	分解	0.006612	0.0051	1.2977
14	黄河	0.006138	0.0030	2.0649
15	水土保持	0.005898	0.0013	4.6299
16	耦合	0.005817	0.0047	1.2455
17	一致性	0.005817	0.0047	1.2455
18	辨识	0.005700	0.0055	1.0326
19	水利工程	0.005698	0.0021	2.6840
20	水利科学	0.005381	0.0013	4.2244
21	暗井	0.005381	0.0013	4.2244
22	责任编辑	0.005130	0.0017	3.0204
23	层次	0.004732	0.0051	0.9286
24	危险源	0.004644	0.0021	2.1875
25	管理局	0.004498	0.0013	3.5313
26	AHP	0.004254	0.0030	1.4312
27	撤换	0.004179	0.0011	3.9367
28	机尾	0.004132	0.0013	3.2436
29	堤防	0.003982	0.0013	3.1258
30	diversion	0.003942	0.0011	3.7136
31	冬小麦	0.003932	0.0008	4.6299
32	氮量	0.003932	0.0008	4.6299
33	矩阵	0.003789	0.0042	0.8922
34	CI	0.003716	0.0017	2.1875
35	系统故障	0.003643	0.0017	2.1450
36	人民	0.003603	0.0030	1.2121
37	杨建斌	0.003588	0.0008	4.2244
38	贾俊峰	0.003588	0.0008	4.2244
39	the	0.003518	0.0064	0.5523
40	水工	0.003419	0.0013	2.6840
41	树如图	0.003343	0.0008	3.9367
42	土地利用	0.003343	0.0008	3.9367
43	分析法	0.003266	0.0042	0.7691
44	图像	0.003172	0.0013	2.4898
45	产量	0.003154	0.0008	3.7136
46	塌方	0.003082	0.0021	1.4518
47	tunnel	0.003052	0.0036	0.8457
48	许林军	0.002999	0.0008	3.5313
49	卡刀盘	0.002999	0.0008	3.5313
50	of	0.002975	0.0057	0.5190
51	检验	0.002912	0.0034	0.8571
52	国务院	0.002868	0.0008	3.3771
53	河海大学	0.002868	0.0008	3.3771
54	Breakdown	0.002868	0.0008	3.3771
55	故障	0.002834	0.0034	0.8344
56	max	0.002832	0.0021	1.3340
57	isk	0.002755	0.0008	3.2436
58	搬运	0.002755	0.0008	3.2436
59	评价	0.002686	0.0051	0.5272
60	risk	0.002664	0.0036	0.7380
61	控制性	0.002655	0.0008	3.1258
62	李子	0.002655	0.0008	3.1258
63	洞顶	0.002655	0.0008	3.1258
64	指标	0.002643	0.0055	0.4788
65	Process	0.002630	0.0013	2.0649
66	返工	0.002507	0.0006	3.9367
67	卡护盾	0.002507	0.0006	3.9367
68	李强	0.002484	0.0008	2.9251
69	品质	0.002484	0.0008	2.9251
70	sources	0.002410	0.0008	2.8381
71	载体	0.002342	0.0008	2.7581
72	周红波	0.002342	0.0008	2.7581
73	识别	0.002338	0.0034	0.6883
74	准则	0.002312	0.0021	1.0889
75	南京	0.002174	0.0017	1.2800
76	徐州	0.002166	0.0008	2.5504
77	Hierarchy	0.002166	0.0008	2.5504
78	Structure	0.002166	0.0008	2.5504
79	指标体系	0.002163	0.0021	1.0189
80	Water	0.002152	0.0011	2.0272
