Rank	Word	TF-IDF	TF	IDF
1	三阳	0.015596	0.0042	3.7136
2	间距	0.013613	0.0177	0.7691
3	指标	0.009911	0.0207	0.4788
4	发生器	0.008416	0.0033	2.5504
5	高风险	0.008347	0.0060	1.3912
6	数字	0.007353	0.0045	1.6341
7	En	0.006981	0.0030	2.3273
8	李文杰	0.006944	0.0015	4.6299
9	某近	0.006336	0.0015	4.2244
10	spaced	0.006336	0.0015	4.2244
11	云图	0.006262	0.0036	1.7395
12	He	0.005791	0.0027	2.1450
13	Ex	0.005602	0.0022	2.4898
14	汉口	0.005556	0.0012	4.6299
15	超近	0.005556	0.0012	4.6299
16	评价	0.005536	0.0105	0.5272
17	耦合	0.005231	0.0042	1.2455
18	双线	0.005202	0.0039	1.3340
19	二级	0.004924	0.0039	1.2626
20	RBS	0.004900	0.0025	1.9218
21	路过	0.004865	0.0015	3.2436
22	故此	0.004724	0.0012	3.9367
23	评估	0.004538	0.0126	0.3602
24	WBS	0.004383	0.0024	1.8265
25	模型	0.004337	0.0081	0.5355
26	数位	0.004167	0.0009	4.6299
27	分解	0.004087	0.0031	1.2977
28	近距离	0.003862	0.0024	1.6094
29	随机性	0.003773	0.0021	1.7966
30	正向	0.003773	0.0021	1.7966
31	相似	0.003756	0.0027	1.3912
32	the	0.003728	0.0067	0.5523
33	一级	0.003668	0.0036	1.0189
34	模糊性	0.003432	0.0021	1.6341
35	某市	0.003406	0.0012	2.8381
36	不佳	0.003348	0.0015	2.2320
37	先建	0.003342	0.0009	3.7136
38	of	0.003269	0.0063	0.5190
39	等级	0.003121	0.0054	0.5781
40	权重	0.003105	0.0033	0.9410
41	权法	0.003041	0.0015	2.0272
42	七号	0.003039	0.0009	3.3771
43	打分	0.002989	0.0024	1.2455
44	定性	0.002977	0.0030	0.9923
45	特征	0.002932	0.0042	0.6980
46	逆向	0.002854	0.0012	2.3786
47	概念	0.002841	0.0021	1.3527
48	离散性	0.002813	0.0009	3.1258
49	ij	0.002801	0.0021	1.3340
50	运输	0.002788	0.0027	1.0326
51	张倬豪	0.002778	0.0006	4.6299
52	谢丹妮	0.002778	0.0006	4.6299
53	路大	0.002778	0.0006	4.6299
54	刘志坚	0.002778	0.0006	4.6299
55	杨万精	0.002778	0.0006	4.6299
56	施红应	0.002778	0.0006	4.6299
57	Md	0.002778	0.0006	4.6299
58	Shariful	0.002778	0.0006	4.6299
59	云云	0.002778	0.0006	4.6299
60	兼顾	0.002734	0.0012	2.2785
61	违规操作	0.002734	0.0012	2.2785
62	壁后	0.002729	0.0018	1.5163
63	close	0.002718	0.0009	3.0204
64	上浮	0.002688	0.0021	1.2800
65	掌子面	0.002676	0.0030	0.8922
66	对本	0.002625	0.0012	2.1875
67	既有	0.002614	0.0042	0.6225
68	失稳	0.002609	0.0027	0.9663
69	超大	0.002568	0.0015	1.7121
70	yang	0.002535	0.0006	4.2244
71	华龙	0.002535	0.0006	4.2244
72	刘颖彬	0.002535	0.0006	4.2244
73	Ngoc	0.002535	0.0006	4.2244
74	Anh	0.002535	0.0006	4.2244
75	邢慧堂	0.002535	0.0006	4.2244
76	杨成	0.002535	0.0006	4.2244
77	可分解	0.002535	0.0006	4.2244
78	个评	0.002535	0.0006	4.2244
79	评语	0.002525	0.0012	2.1041
80	接受	0.002368	0.0018	1.3157
