Rank	Word	TF-IDF	TF	IDF
1	托架	0.032372	0.0127	2.5504
2	洞口	0.013747	0.0091	1.5163
3	洞门	0.009761	0.0086	1.1334
4	做好	0.008425	0.0131	0.6409
5	始发	0.008234	0.0159	0.5190
6	密封性	0.007901	0.0032	2.4898
7	工作人员	0.007673	0.0050	1.5388
8	质量保证	0.007654	0.0023	3.3771
9	密封圈	0.007085	0.0023	3.1258
10	文物	0.006403	0.0018	3.5313
11	吊装	0.006396	0.0045	1.4110
12	应当	0.006018	0.0036	1.6594
13	Innovation	0.005881	0.0018	3.2436
14	承受力	0.005745	0.0014	4.2244
15	树木	0.005745	0.0014	4.2244
16	第二	0.005419	0.0036	1.4944
17	第三	0.005319	0.0027	1.9557
18	例如	0.005207	0.0045	1.1486
19	施工人员	0.005188	0.0059	0.8804
20	油缸	0.005045	0.0036	1.3912
21	构件	0.004808	0.0027	1.7677
22	居民	0.004808	0.0027	1.7677
23	封门	0.004593	0.0014	3.3771
24	环缝	0.004593	0.0014	3.3771
25	洞圈	0.004411	0.0014	3.2436
26	螺栓	0.004233	0.0032	1.3340
27	第四	0.004220	0.0018	2.3273
28	西溪	0.004198	0.0009	4.6299
29	机棚	0.004198	0.0009	4.6299
30	排入	0.004198	0.0009	4.6299
31	现象	0.004193	0.0073	0.5781
32	创新	0.004165	0.0036	1.1486
33	达标	0.004131	0.0018	2.2785
34	进而	0.004127	0.0054	0.7587
35	刚度	0.004064	0.0027	1.4944
36	指定	0.004047	0.0018	2.2320
37	弧形	0.003860	0.0014	2.8381
38	支撑体系	0.003860	0.0014	2.8381
39	李济灵	0.003830	0.0009	4.2244
40	湿地	0.003830	0.0009	4.2244
41	图标	0.003830	0.0009	4.2244
42	要确	0.003830	0.0009	4.2244
43	大气污染	0.003830	0.0009	4.2244
44	清运	0.003830	0.0009	4.2244
45	土体	0.003767	0.0109	0.3463
46	垃圾	0.003751	0.0014	2.7581
47	第一	0.003745	0.0036	1.0326
48	外加	0.003569	0.0009	3.9367
49	速凝剂	0.003569	0.0009	3.9367
50	垫平	0.003569	0.0009	3.9367
51	私自	0.003569	0.0009	3.9367
52	噪声污染	0.003569	0.0009	3.9367
53	排放	0.003386	0.0014	2.4898
54	Application	0.003368	0.0018	1.8573
55	扇形	0.003367	0.0009	3.7136
56	松开	0.003367	0.0009	3.7136
57	一是	0.003312	0.0018	1.8265
58	止水条	0.003308	0.0014	2.4326
59	二是	0.003258	0.0018	1.7966
60	加固	0.003254	0.0109	0.2991
61	管片	0.003239	0.0168	0.1931
62	钢板	0.003205	0.0018	1.7677
63	快线	0.003201	0.0009	3.5313
64	站位	0.003201	0.0009	3.5313
65	声音	0.003201	0.0009	3.5313
66	强度	0.003156	0.0059	0.5355
67	安装	0.003145	0.0054	0.5781
68	严禁	0.003099	0.0014	2.2785
69	大家	0.003062	0.0009	3.3771
70	涌土	0.003062	0.0009	3.3771
71	涌泥	0.003062	0.0009	3.3771
72	必须	0.003059	0.0050	0.6135
73	流失	0.003056	0.0018	1.6854
74	并且	0.002946	0.0032	0.9286
75	支撑	0.002945	0.0036	0.8122
76	核算	0.002941	0.0009	3.2436
77	纵缝	0.002941	0.0009	3.2436
78	回收	0.002917	0.0014	2.1450
79	或者	0.002906	0.0036	0.8012
80	编组	0.002834	0.0009	3.1258
