Rank	Word	TF-IDF	TF	IDF
1	评价	0.015828	0.0300	0.5272
2	保障	0.014670	0.0229	0.6409
3	能力	0.012768	0.0191	0.6690
4	关联度	0.008429	0.0031	2.6840
5	指标	0.008351	0.0174	0.4788
6	专业学位	0.005797	0.0022	2.6150
7	水利	0.005092	0.0023	2.1875
8	河南	0.005036	0.0024	2.0649
9	可拓云	0.004520	0.0015	3.0204
10	Figure	0.004367	0.0013	3.3771
11	模型	0.004323	0.0081	0.5355
12	等级	0.004293	0.0074	0.5781
13	Table	0.004188	0.0022	1.8890
14	物元	0.004041	0.0018	2.1875
15	guarantee	0.003979	0.0011	3.7136
16	可拓	0.003891	0.0019	2.0649
17	Ex	0.003818	0.0015	2.4898
18	高水平	0.003784	0.0011	3.5313
19	En	0.003784	0.0016	2.3273
20	土木	0.003744	0.0023	1.6341
21	理工大学	0.003699	0.0025	1.4944
22	致因	0.003604	0.0018	1.9908
23	论文	0.003598	0.0027	1.3340
24	ability	0.003568	0.0010	3.7136
25	低水平	0.003568	0.0010	3.7136
26	权重	0.003512	0.0037	0.9410
27	作业	0.003435	0.0067	0.5108
28	cloud	0.003408	0.0016	2.1450
29	问卷	0.003294	0.0018	1.8573
30	保障体系	0.003156	0.0008	3.7136
31	evaluation	0.003149	0.0023	1.3527
32	特征值	0.003114	0.0018	1.6854
33	指标体系	0.003087	0.0030	1.0189
34	中等	0.003069	0.0024	1.2977
35	ij	0.002982	0.0022	1.3340
36	He	0.002932	0.0014	2.1450
37	发生器	0.002921	0.0011	2.5504
38	赋权	0.002910	0.0017	1.7121
39	一级	0.002899	0.0028	1.0189
40	数字	0.002838	0.0017	1.6341
41	硕士	0.002824	0.0028	1.0055
42	险情	0.002786	0.0011	2.4326
43	应急	0.002766	0.0035	0.7797
44	of	0.002742	0.0053	0.5190
45	物需	0.002737	0.0006	4.6299
46	云图	0.002635	0.0015	1.7395
47	二级	0.002612	0.0021	1.2626
48	概念	0.002599	0.0019	1.3527
49	DEMATEL	0.002548	0.0009	2.7581
50	展望	0.002519	0.0020	1.2626
51	构建	0.002507	0.0037	0.6786
52	专家	0.002435	0.0040	0.6045
53	防护	0.002430	0.0020	1.1959
54	薄弱环节	0.002349	0.0007	3.5313
55	信度	0.002344	0.0008	2.7581
56	待评	0.002333	0.0006	3.7136
57	人员	0.002297	0.0060	0.3814
58	物资	0.002191	0.0012	1.7966
59	评分	0.002185	0.0014	1.5163
60	危险源	0.002102	0.0010	2.1875
61	事故	0.002089	0.0058	0.3602
62	齐全	0.002083	0.0008	2.6840
63	index	0.002081	0.0013	1.6094
64	生产	0.002033	0.0020	1.0189
65	经典	0.002029	0.0008	2.6150
66	综合	0.001977	0.0065	0.3057
67	博弈论	0.001963	0.0006	3.1258
68	云滴	0.001932	0.0007	2.6150
69	中等水平	0.001921	0.0005	3.7136
70	界限	0.001892	0.0008	2.3273
71	Guarantee	0.001882	0.0004	4.6299
72	水平	0.001808	0.0065	0.2796
73	演练	0.001798	0.0007	2.4326
74	技术支持	0.001739	0.0007	2.6150
75	Ability	0.001717	0.0004	4.2244
76	Cronbach	0.001711	0.0004	4.6299
77	计算	0.001684	0.0048	0.3532
78	附表	0.001678	0.0005	3.2436
79	组合	0.001657	0.0016	1.0189
80	警示	0.001656	0.0007	2.4898
