Rank	Word	TF-IDF	TF	IDF
1	CloudBIM	0.029261	0.0063	4.6299
2	平台	0.020734	0.0178	1.1641
3	BIM	0.015024	0.0057	2.6150
4	电网	0.011309	0.0029	3.9367
5	架构	0.006545	0.0029	2.2785
6	仿真	0.006473	0.0040	1.6094
7	评估	0.006001	0.0167	0.3602
8	实验	0.005902	0.0034	1.7121
9	Applications	0.005722	0.0023	2.4898
10	表示	0.005564	0.0063	0.8804
11	交流	0.005349	0.0023	2.3273
12	IndustrialApplicationsandCommunications	0.005320	0.0011	4.6299
13	杨醒宇	0.005320	0.0011	4.6299
14	TechniquesofAutomationApplications	0.005320	0.0011	4.6299
15	指标	0.004952	0.0103	0.4788
16	模型	0.004923	0.0092	0.5355
17	红外	0.004854	0.0011	4.2244
18	designed	0.004851	0.0014	3.3771
19	指标体系	0.004683	0.0046	1.0189
20	GIS	0.004626	0.0017	2.6840
21	Techniques	0.004524	0.0011	3.9367
22	platform	0.004490	0.0014	3.1258
23	监测	0.004365	0.0207	0.2110
24	相依	0.004267	0.0011	3.7136
25	智慧	0.004011	0.0017	2.3273
26	模糊	0.003993	0.0046	0.8687
27	基于	0.003932	0.0109	0.3602
28	纲化	0.003881	0.0011	3.3771
29	技术性	0.003881	0.0011	3.3771
30	信息	0.003790	0.0057	0.6596
31	海量	0.003727	0.0011	3.2436
32	Copula	0.003727	0.0011	3.2436
33	频数	0.003727	0.0011	3.2436
34	电力系统	0.003727	0.0011	3.2436
35	Industrial	0.003727	0.0011	3.2436
36	the	0.003649	0.0066	0.5523
37	采集	0.003643	0.0023	1.5853
38	管理信息系统	0.003592	0.0011	3.1258
39	Communications	0.003592	0.0011	3.1258
40	概率	0.003541	0.0040	0.8804
41	互联	0.003471	0.0011	3.0204
42	形变	0.003471	0.0011	3.0204
43	得到	0.003440	0.0092	0.3743
44	li	0.003393	0.0009	3.9367
45	联网	0.003361	0.0011	2.9251
46	无量	0.003361	0.0011	2.9251
47	自动化	0.003337	0.0023	1.4518
48	行业	0.003337	0.0023	1.4518
49	化工	0.003261	0.0011	2.8381
50	Cloud	0.003169	0.0011	2.7581
51	传输	0.003005	0.0011	2.6150
52	有效性	0.002982	0.0023	1.2977
53	hi	0.002910	0.0009	3.3771
54	monitoring	0.002860	0.0017	1.6594
55	预警	0.002703	0.0029	0.9410
56	结果	0.002692	0.0086	0.3124
57	of	0.002684	0.0052	0.5190
58	用户	0.002674	0.0011	2.3273
59	设对	0.002660	0.0006	4.6299
60	结合物	0.002660	0.0006	4.6299
61	构如图	0.002660	0.0006	4.6299
62	户层	0.002660	0.0006	4.6299
63	核验	0.002660	0.0006	4.6299
64	用该	0.002660	0.0006	4.6299
65	族库	0.002660	0.0006	4.6299
66	测试环境	0.002660	0.0006	4.6299
67	色谱法	0.002660	0.0006	4.6299
68	理化	0.002660	0.0006	4.6299
69	周松霖	0.002660	0.0006	4.6299
70	杨芮	0.002660	0.0006	4.6299
71	赵建勇	0.002660	0.0006	4.6299
72	高压电器	0.002660	0.0006	4.6299
73	魏昕	0.002660	0.0006	4.6299
74	安俊军	0.002660	0.0006	4.6299
75	郦和生	0.002660	0.0006	4.6299
76	炼化	0.002660	0.0006	4.6299
77	薛明	0.002660	0.0006	4.6299
78	范俊欣	0.002660	0.0006	4.6299
79	李兴春	0.002660	0.0006	4.6299
80	赵正杰	0.002660	0.0006	4.6299
