Rank	Word	TF-IDF	TF	IDF
1	灰类	0.047894	0.0129	3.7136
2	改进型	0.026232	0.0062	4.2244
3	得分	0.023672	0.0115	2.0649
4	聚类	0.023345	0.0100	2.3273
5	中心点	0.022396	0.0072	3.1258
6	钢箱梁	0.021286	0.0057	3.7136
7	函数	0.015896	0.0124	1.2800
8	权重	0.011462	0.0122	0.9410
9	东方红	0.011058	0.0024	4.6299
10	指标	0.010979	0.0229	0.4788
11	卵石	0.009327	0.0081	1.1486
12	灰色	0.009146	0.0062	1.4729
13	评价	0.008814	0.0167	0.5272
14	鹏飞	0.007692	0.0029	2.6840
15	富水	0.007385	0.0076	0.9663
16	倾覆	0.007310	0.0029	2.5504
17	兰州	0.006885	0.0036	1.9218
18	个灰类	0.006635	0.0014	4.6299
19	雁北	0.006635	0.0014	4.6299
20	简支钢	0.006635	0.0014	4.6299
21	混合	0.006615	0.0043	1.5388
22	二次破碎	0.006054	0.0014	4.2244
23	出当	0.006054	0.0014	4.2244
24	支座	0.005972	0.0019	3.1258
25	换乘	0.005946	0.0024	2.4898
26	广场	0.005558	0.0024	2.3273
27	三角	0.005508	0.0029	1.9218
28	高风险	0.005316	0.0038	1.3912
29	曲线	0.005214	0.0067	0.7797
30	矩阵	0.005114	0.0057	0.8922
31	令为	0.005045	0.0012	4.2244
32	停车场	0.004839	0.0014	3.3771
33	箱梁	0.004648	0.0014	3.2436
34	层次	0.004435	0.0048	0.9286
35	邮电	0.004423	0.0010	4.6299
36	计算	0.004218	0.0119	0.3532
37	准则	0.004161	0.0038	1.0889
38	抛物线	0.004036	0.0010	4.2244
39	孙艳云	0.004036	0.0010	4.2244
40	赋分	0.004036	0.0010	4.2244
41	大楼	0.004036	0.0010	4.2244
42	五里	0.004036	0.0010	4.2244
43	桥面	0.004036	0.0010	4.2244
44	可能	0.004006	0.0143	0.2796
45	咨询	0.003903	0.0024	1.6341
46	一线	0.003846	0.0014	2.6840
47	公交	0.003761	0.0010	3.9367
48	赋值	0.003737	0.0019	1.9557
49	构造	0.003596	0.0038	0.9410
50	测度	0.003568	0.0014	2.4898
51	南路	0.003568	0.0014	2.4898
52	问卷	0.003549	0.0019	1.8573
53	关于	0.003427	0.0029	1.1959
54	防洪	0.003409	0.0014	2.3786
55	穿河	0.003374	0.0010	3.5313
56	系数	0.003217	0.0043	0.7483
57	中等	0.003099	0.0024	1.2977
58	划分	0.003061	0.0048	0.6409
59	阶段	0.003039	0.0081	0.3743
60	山西	0.003015	0.0014	2.1041
61	判断	0.002992	0.0053	0.5694
62	分析法	0.002939	0.0038	0.7691
63	指标体系	0.002920	0.0029	1.0189
64	剧烈	0.002886	0.0010	3.0204
65	道桥	0.002886	0.0010	3.0204
66	樊燕燕	0.002794	0.0010	2.9251
67	火车站	0.002794	0.0010	2.9251
68	级别	0.002735	0.0019	1.4312
69	贝叶斯	0.002658	0.0019	1.3912
70	可拓法	0.002635	0.0010	2.7581
71	线型	0.002635	0.0010	2.7581
72	评估	0.002581	0.0072	0.3602
73	间距	0.002572	0.0033	0.7691
74	遭受	0.002564	0.0010	2.6840
75	设计院	0.002564	0.0010	2.6840
76	模型	0.002558	0.0048	0.5355
77	平缓	0.002498	0.0010	2.6150
78	正线	0.002498	0.0010	2.6150
79	机组	0.002437	0.0010	2.5504
80	中交	0.002437	0.0010	2.5504
