Rank	Word	TF-IDF	TF	IDF
1	图书馆	0.036869	0.0109	3.3771
2	乡村	0.029755	0.0070	4.2244
3	住宅楼	0.021141	0.0060	3.5313
4	排洪	0.020796	0.0053	3.9367
5	Asu	0.019566	0.0042	4.6299
6	高职	0.019566	0.0042	4.6299
7	鉴定	0.016512	0.0053	3.1258
8	号楼	0.016305	0.0035	4.6299
9	安装公司	0.014877	0.0035	4.2244
10	机械制造	0.014877	0.0035	4.2244
11	服务	0.014419	0.0095	1.5163
12	院校	0.014386	0.0039	3.7136
13	甘肃	0.012659	0.0041	3.1258
14	红砂岩	0.011902	0.0028	4.2244
15	建工	0.011423	0.0035	3.2436
16	砂岩	0.010451	0.0067	1.5618
17	Bsu	0.009783	0.0021	4.6299
18	略低于	0.009783	0.0021	4.6299
19	Csu	0.009783	0.0021	4.6299
20	框架结构	0.009713	0.0035	2.7581
21	花园	0.009705	0.0025	3.9367
22	评级	0.009629	0.0042	2.2785
23	公司	0.009476	0.0079	1.1959
24	承载	0.009245	0.0042	2.1875
25	净距	0.008800	0.0056	1.5618
26	小区	0.008742	0.0032	2.7581
27	振兴	0.008325	0.0025	3.3771
28	金信	0.008153	0.0018	4.6299
29	甘南	0.008153	0.0018	4.6299
30	为井	0.008153	0.0018	4.6299
31	地上	0.007445	0.0039	1.9218
32	公定	0.006522	0.0014	4.6299
33	建七	0.006522	0.0014	4.6299
34	民房	0.006382	0.0021	3.0204
35	现况	0.005951	0.0014	4.2244
36	暗挖	0.005740	0.0049	1.1641
37	风化	0.005581	0.0063	0.8804
38	显著	0.005549	0.0046	1.2121
39	安全性	0.005339	0.0085	0.6317
40	出入	0.005288	0.0025	2.1450
41	棚户区	0.005231	0.0014	3.7136
42	深约	0.005026	0.0021	2.3786
43	农村	0.004974	0.0014	3.5313
44	商贸	0.004892	0.0011	4.6299
45	建机厂	0.004892	0.0011	4.6299
46	公交	0.004852	0.0012	3.9367
47	环箍	0.004757	0.0014	3.3771
48	砖混	0.004726	0.0018	2.6840
49	危房	0.004463	0.0011	4.2244
50	卵石	0.004450	0.0039	1.1486
51	建筑物	0.004313	0.0092	0.4710
52	黄色	0.004284	0.0018	2.4326
53	公共	0.004188	0.0018	2.3786
54	成岩	0.004159	0.0011	3.9367
55	老旧	0.004121	0.0014	2.9251
56	海兰	0.004076	0.0009	4.6299
57	天龙	0.004076	0.0009	4.6299
58	状土	0.003923	0.0011	3.7136
59	长石	0.003923	0.0011	3.7136
60	办公	0.003923	0.0011	3.7136
61	经费	0.003923	0.0011	3.7136
62	竖向	0.003835	0.0035	1.0889
63	桩基础	0.003777	0.0018	2.1450
64	钢筋	0.003641	0.0032	1.1486
65	岩性	0.003636	0.0018	2.0649
66	零星	0.003568	0.0011	3.3771
67	碎屑	0.003568	0.0011	3.3771
68	停车场	0.003568	0.0011	3.3771
69	南路	0.003507	0.0014	2.4898
70	透镜	0.003427	0.0011	3.2436
71	租赁	0.003427	0.0011	3.2436
72	兰州	0.003384	0.0018	1.9218
73	预警	0.003314	0.0035	0.9410
74	右线	0.003295	0.0042	0.7797
75	第一	0.003273	0.0032	1.0326
76	大孔	0.003261	0.0007	4.6299
77	橘红色	0.003261	0.0007	4.6299
78	质弱	0.003261	0.0007	4.6299
79	七建	0.003261	0.0007	4.6299
80	广播电视	0.003261	0.0007	4.6299
