Rank	Word	TF-IDF	TF	IDF
1	修理	0.027868	0.0083	3.3771
2	机械设备	0.022404	0.0195	1.1486
3	刀具	0.016800	0.0248	0.6786
4	维护	0.014549	0.0120	1.2121
5	甄精莲	0.010420	0.0023	4.6299
6	故障	0.009389	0.0113	0.8344
7	失效	0.007954	0.0075	1.0603
8	挖掘机	0.007947	0.0023	3.5313
9	布置	0.007820	0.0090	0.8687
10	运行	0.007716	0.0090	0.8571
11	轴承	0.007604	0.0038	2.0272
12	漏油	0.007600	0.0023	3.3771
13	偏磨	0.007471	0.0030	2.4898
14	档案	0.007300	0.0023	3.2436
15	选型	0.007168	0.0083	0.8687
16	贾瑞晨	0.006947	0.0015	4.6299
17	超磨	0.006947	0.0015	4.6299
18	环境中工作	0.006947	0.0015	4.6299
19	砾岩	0.006798	0.0023	3.0204
20	应该	0.006452	0.0053	1.2287
21	保养	0.006130	0.0038	1.6341
22	维修	0.006113	0.0053	1.1641
23	机械	0.006093	0.0075	0.8122
24	磨损	0.005770	0.0075	0.7691
25	检查和	0.005740	0.0023	2.5504
26	拆装	0.005572	0.0015	3.7136
27	齿刀	0.005572	0.0015	3.7136
28	切刀	0.005572	0.0015	3.7136
29	安全控制	0.005391	0.0030	1.7966
30	周期	0.005138	0.0030	1.7121
31	湖南	0.004923	0.0023	2.1875
32	电机车	0.004867	0.0015	3.2436
33	设备	0.004721	0.0165	0.2861
34	Hunan	0.004690	0.0015	3.1258
35	零件	0.004690	0.0015	3.1258
36	渗透系数	0.004618	0.0030	1.5388
37	课题	0.004401	0.0023	1.9557
38	双刃	0.004389	0.0015	2.9251
39	边缘	0.004325	0.0023	1.9218
40	金属	0.004258	0.0015	2.8381
41	岩溶	0.004175	0.0030	1.3912
42	江西	0.004138	0.0015	2.7581
43	泥质	0.004111	0.0023	1.8265
44	转动	0.004111	0.0023	1.8265
45	加以	0.004111	0.0023	1.8265
46	依照	0.004027	0.0015	2.6840
47	检查	0.003958	0.0060	0.6596
48	查明	0.003923	0.0015	2.6150
49	工作效率	0.003923	0.0015	2.6150
50	覆盖	0.003915	0.0023	1.7395
51	砂岩	0.003515	0.0023	1.5618
52	Jinglian	0.003473	0.0008	4.6299
53	Ruichen	0.003473	0.0008	4.6299
54	Vocational	0.003473	0.0008	4.6299
55	Hengyang	0.003473	0.0008	4.6299
56	止动	0.003473	0.0008	4.6299
57	组派	0.003473	0.0008	4.6299
58	内多为	0.003473	0.0008	4.6299
59	易溶	0.003473	0.0008	4.6299
60	盐渍	0.003473	0.0008	4.6299
61	表土	0.003473	0.0008	4.6299
62	有微	0.003473	0.0008	4.6299
63	常年性	0.003473	0.0008	4.6299
64	大坡	0.003473	0.0008	4.6299
65	齐齐哈尔	0.003473	0.0008	4.6299
66	衡阳市	0.003473	0.0008	4.6299
67	划破	0.003473	0.0008	4.6299
68	密封面	0.003473	0.0008	4.6299
69	记录下来	0.003473	0.0008	4.6299
70	表来	0.003473	0.0008	4.6299
71	陆平	0.003473	0.0008	4.6299
72	磨成	0.003473	0.0008	4.6299
73	罗小杰	0.003473	0.0008	4.6299
74	院平	0.003473	0.0008	4.6299
75	做以	0.003473	0.0008	4.6299
76	诱发故障	0.003473	0.0008	4.6299
77	另一方	0.003473	0.0008	4.6299
78	轮休	0.003473	0.0008	4.6299
79	辛富兵	0.003473	0.0008	4.6299
80	浩博	0.003473	0.0008	4.6299
