Rank	Word	TF-IDF	TF	IDF
1	跨海	0.032477	0.0114	2.8381
2	海域	0.026471	0.0096	2.7581
3	疏散	0.021477	0.0092	2.3273
4	会展中心	0.016946	0.0048	3.5313
5	陆域	0.015642	0.0044	3.5313
6	系杆	0.015382	0.0033	4.6299
7	推荐	0.015266	0.0063	2.4326
8	拱桥	0.014959	0.0044	3.3771
9	排烟	0.013708	0.0037	3.7136
10	三洞	0.013673	0.0030	4.6299
11	双洞	0.013171	0.0041	3.2436
12	造价	0.012995	0.0066	1.9557
13	通风	0.011929	0.0078	1.5388
14	翔安	0.011626	0.0030	3.9367
15	矿山	0.010417	0.0074	1.4110
16	厦门	0.010288	0.0052	1.9908
17	大洞	0.010254	0.0022	4.6299
18	风井处	0.010254	0.0022	4.6299
19	方案	0.009496	0.0317	0.2991
20	断面	0.009407	0.0133	0.7079
21	王林辉	0.008545	0.0018	4.6299
22	五缘湾	0.008545	0.0018	4.6299
23	联络	0.008155	0.0055	1.4729
24	排烟道	0.007797	0.0018	4.2244
25	工法	0.007740	0.0070	1.1035
26	救援	0.007349	0.0037	1.9908
27	风道	0.006518	0.0018	3.5313
28	总工期	0.006518	0.0018	3.5313
29	通道	0.006507	0.0081	0.8012
30	风井	0.006460	0.0030	2.1875
31	中洞	0.006238	0.0015	4.2244
32	吊杆	0.006238	0.0015	4.2244
33	总体方案	0.006233	0.0018	3.3771
34	单洞	0.006214	0.0030	2.1041
35	工期	0.005996	0.0074	0.8122
36	泵站	0.005575	0.0018	3.0204
37	岛内	0.005127	0.0011	4.6299
38	防火门	0.005127	0.0011	4.6299
39	下承式	0.005127	0.0011	4.6299
40	服务	0.005038	0.0033	1.5163
41	the	0.004893	0.0089	0.5523
42	sea	0.004789	0.0015	3.2436
43	硬岩	0.004753	0.0030	1.6094
44	rescue	0.004678	0.0011	4.2244
45	净高	0.004678	0.0011	4.2244
46	单线	0.004643	0.0026	1.7966
47	段长	0.004460	0.0015	3.0204
48	面积	0.004287	0.0030	1.4518
49	recommended	0.004273	0.0009	4.6299
50	小洞	0.004273	0.0009	4.6299
51	km	0.004159	0.0026	1.6094
52	组合	0.004137	0.0041	1.0189
53	项目前期	0.004112	0.0011	3.7136
54	设计方案	0.004036	0.0026	1.5618
55	总体	0.003976	0.0041	0.9792
56	method	0.003952	0.0044	0.8922
57	马蹄形	0.003911	0.0011	3.5313
58	纵向	0.003816	0.0033	1.1486
59	boring	0.003766	0.0015	2.5504
60	防灾	0.003676	0.0015	2.4898
61	岩面	0.003592	0.0011	3.2436
62	超长	0.003462	0.0011	3.1258
63	隔墙	0.003462	0.0011	3.1258
64	双线	0.003447	0.0026	1.3340
65	evacuation	0.003418	0.0007	4.6299
66	plus	0.003418	0.0007	4.6299
67	域段	0.003418	0.0007	4.6299
68	水密门	0.003418	0.0007	4.6299
69	旅客	0.003418	0.0007	4.6299
70	厦门市	0.003418	0.0007	4.6299
71	全桥	0.003418	0.0007	4.6299
72	系梁	0.003418	0.0007	4.6299
73	钢系杆	0.003418	0.0007	4.6299
74	张拉后	0.003418	0.0007	4.6299
75	索力	0.003418	0.0007	4.6299
76	基岩	0.003353	0.0026	1.2977
77	海底	0.003230	0.0015	2.1875
78	亿元	0.003143	0.0011	2.8381
79	堵头	0.003119	0.0007	4.2244
80	长风	0.003119	0.0007	4.2244
