Rank	Word	TF-IDF	TF	IDF
1	合同	0.024425	0.0114	2.1450
2	策略	0.011360	0.0083	1.3718
3	监理	0.009938	0.0078	1.2800
4	生态系统	0.007689	0.0021	3.7136
5	应对	0.007368	0.0129	0.5694
6	预警系统	0.007138	0.0026	2.7581
7	履行	0.006472	0.0021	3.1258
8	评估	0.006152	0.0171	0.3602
9	可能	0.005933	0.0212	0.2796
10	争议	0.005766	0.0016	3.7136
11	模型	0.005266	0.0098	0.5355
12	排放	0.005155	0.0021	2.4898
13	管理系统	0.005152	0.0026	1.9908
14	争端	0.004793	0.0010	4.6299
15	故障	0.004751	0.0057	0.8344
16	雷达	0.004717	0.0021	2.2785
17	识别	0.004631	0.0067	0.6883
18	建立健全	0.004542	0.0016	2.9251
19	及时发现	0.004431	0.0026	1.7121
20	跨海	0.004407	0.0016	2.8381
21	潜在	0.004391	0.0041	1.0603
22	动物	0.004373	0.0010	4.2244
23	合同条款	0.004373	0.0010	4.2244
24	违约	0.004373	0.0010	4.2244
25	虚拟现实	0.004373	0.0010	4.2244
26	设备	0.004294	0.0150	0.2861
27	数字化	0.004168	0.0016	2.6840
28	有助于	0.004103	0.0026	1.5853
29	CAD	0.004075	0.0010	3.9367
30	妈湾	0.004075	0.0010	3.9367
31	纠纷	0.004075	0.0010	3.9367
32	污染	0.003979	0.0021	1.9218
33	支付	0.003844	0.0010	3.7136
34	双方	0.003844	0.0010	3.7136
35	财务	0.003656	0.0010	3.5313
36	仿真技术	0.003656	0.0010	3.5313
37	疏散	0.003614	0.0016	2.3273
38	限度	0.003601	0.0021	1.7395
39	运行	0.003549	0.0041	0.8571
40	责任	0.003545	0.0021	1.7121
41	扬尘	0.003496	0.0010	3.3771
42	工程质量	0.003489	0.0021	1.6854
43	我们	0.003489	0.0021	1.6854
44	信息化	0.003452	0.0026	1.3340
45	地质灾害	0.003397	0.0016	2.1875
46	事件	0.003233	0.0036	0.8922
47	应急	0.003229	0.0041	0.7797
48	制定	0.003123	0.0062	0.5027
49	防护	0.003095	0.0026	1.1959
50	水质	0.003028	0.0010	2.9251
51	备用	0.003028	0.0010	2.9251
52	机制	0.003013	0.0026	1.1641
53	效率	0.002972	0.0041	0.7178
54	中华	0.002938	0.0010	2.8381
55	机器	0.002884	0.0016	1.8573
56	顺利进行	0.002880	0.0021	1.3912
57	法律	0.002778	0.0010	2.6840
58	发现异常	0.002778	0.0010	2.6840
59	生态环境	0.002778	0.0010	2.6840
60	包括	0.002712	0.0067	0.4030
61	成本	0.002662	0.0031	0.8571
62	地震	0.002659	0.0016	1.7121
63	历史数据	0.002640	0.0010	2.5504
64	变更	0.002640	0.0010	2.5504
65	预测	0.002637	0.0036	0.7279
66	勘探	0.002617	0.0016	1.6854
67	周围环境	0.002577	0.0016	1.6594
68	分配	0.002577	0.0016	1.6594
69	维护	0.002510	0.0021	1.2121
70	响应	0.002499	0.0016	1.6094
71	这些	0.002488	0.0031	0.8012
72	实时	0.002421	0.0031	0.7797
73	樊孝军	0.002396	0.0005	4.6299
74	障也会	0.002396	0.0005	4.6299
75	尾气	0.002396	0.0005	4.6299
76	栖息地	0.002396	0.0005	4.6299
77	生态区	0.002396	0.0005	4.6299
78	光污染	0.002396	0.0005	4.6299
79	损刀	0.002396	0.0005	4.6299
80	突和	0.002396	0.0005	4.6299
