Rank	Word	TF-IDF	TF	IDF
1	桥梁	0.035947	0.0289	1.2455
2	临近	0.024454	0.0178	1.3718
3	诱发	0.013996	0.0091	1.5388
4	bridges	0.013105	0.0039	3.3771
5	人行天桥	0.012847	0.0036	3.5313
6	变权	0.012587	0.0039	3.2436
7	可拓云	0.012088	0.0040	3.0204
8	评价	0.010166	0.0193	0.5272
9	adjacent	0.009885	0.0046	2.1450
10	CRITIC	0.009829	0.0029	3.3771
11	过街天桥	0.009548	0.0024	3.9367
12	指标	0.009291	0.0194	0.4788
13	人行	0.008654	0.0027	3.2436
14	总院	0.008106	0.0022	3.7136
15	立交桥	0.006977	0.0027	2.6150
16	bridge	0.006884	0.0024	2.8381
17	覆跨	0.006852	0.0019	3.5313
18	of	0.006797	0.0131	0.5190
19	桥桩	0.006763	0.0032	2.1450
20	权重	0.006390	0.0068	0.9410
21	界限	0.006209	0.0027	2.3273
22	等级	0.006169	0.0107	0.5781
23	indicator	0.006065	0.0019	3.1258
24	模型	0.005780	0.0108	0.5355
25	induced	0.005498	0.0029	1.8890
26	埋置	0.005307	0.0017	3.1258
27	商贸城	0.005123	0.0012	4.2244
28	樊燕燕	0.004966	0.0017	2.9251
29	桩基	0.004852	0.0032	1.5388
30	ij	0.004692	0.0035	1.3340
31	risk	0.004654	0.0063	0.7380
32	关联度	0.004557	0.0017	2.6840
33	variable	0.004549	0.0015	3.1258
34	孕险	0.004395	0.0015	3.0204
35	承险体	0.004395	0.0015	3.0204
36	公路桥	0.004282	0.0012	3.5313
37	weight	0.004269	0.0022	1.9557
38	assessment	0.004229	0.0034	1.2455
39	惩罚	0.003934	0.0012	3.2436
40	JTG	0.003819	0.0010	3.9367
41	kPa	0.003665	0.0019	1.8890
42	性能参数	0.003663	0.0012	3.0204
43	西站	0.003663	0.0012	3.0204
44	致险	0.003642	0.0017	2.1450
45	天桥	0.003603	0.0010	3.7136
46	safety	0.003506	0.0034	1.0326
47	xij	0.003442	0.0012	2.8381
48	was	0.003430	0.0019	1.7677
49	相关系数	0.003387	0.0015	2.3273
50	shield	0.003370	0.0053	0.6317
51	zij	0.003342	0.0008	3.9367
52	赋权	0.003322	0.0019	1.7121
53	and	0.003292	0.0065	0.5027
54	Table	0.003207	0.0017	1.8890
55	cloud	0.003121	0.0015	2.1450
56	桩基础	0.003121	0.0015	2.1450
57	级评	0.003074	0.0007	4.2244
58	基尼系数	0.003074	0.0007	4.2244
59	各待	0.003074	0.0007	4.2244
60	People	0.003074	0.0007	4.2244
61	construction	0.003064	0.0049	0.6317
62	Beijing	0.003062	0.0015	2.1041
63	冲突性	0.003033	0.0010	3.1258
64	依据	0.002869	0.0046	0.6225
65	Republic	0.002864	0.0007	3.9367
66	based	0.002823	0.0024	1.1641
67	the	0.002813	0.0051	0.5523
68	桥体	0.002702	0.0007	3.7136
69	缺损	0.002702	0.0007	3.7136
70	by	0.002667	0.0029	0.9163
71	extension	0.002604	0.0010	2.6840
72	on	0.002596	0.0039	0.6690
73	Railway	0.002572	0.0015	1.7677
74	CHEN	0.002504	0.0012	2.0649
75	列为	0.002457	0.0007	3.3771
76	等级分类	0.002457	0.0007	3.3771
77	WANG	0.002453	0.0015	1.6854
78	评判	0.002430	0.0017	1.4312
79	正态	0.002416	0.0010	2.4898
80	客观	0.002352	0.0019	1.2121
