Rank	Word	TF-IDF	TF	IDF
1	耦合	0.047565	0.0382	1.2455
2	上调	0.009226	0.0022	4.2244
3	同质	0.008847	0.0019	4.6299
4	异质	0.008649	0.0020	4.2244
5	硕士学位	0.008600	0.0050	1.7121
6	仿真	0.007733	0.0048	1.6094
7	风险系数	0.006894	0.0019	3.7136
8	论文	0.006774	0.0051	1.3340
9	因子	0.006608	0.0047	1.3912
10	武汉	0.006542	0.0062	1.0603
11	耦合度	0.005170	0.0014	3.7136
12	系统	0.004639	0.0162	0.2861
13	因素	0.004567	0.0223	0.2050
14	身体素质	0.004299	0.0011	3.9367
15	LW	0.004152	0.0010	4.2244
16	道具	0.004055	0.0011	3.7136
17	临场	0.004044	0.0009	4.6299
18	动力学	0.003899	0.0015	2.5504
19	风险意识	0.003874	0.0014	2.8381
20	操作失误	0.003812	0.0016	2.3273
21	防御	0.003780	0.0011	3.3771
22	coupling	0.003673	0.0013	2.9251
23	变量	0.003581	0.0023	1.5618
24	RW	0.003539	0.0008	4.6299
25	模型	0.003494	0.0065	0.5355
26	该值	0.003463	0.0011	3.0204
27	组装	0.003459	0.0020	1.7121
28	增加值	0.003439	0.0009	3.9367
29	无量	0.003354	0.0011	2.9251
30	指标	0.003346	0.0070	0.4788
31	姿势	0.003286	0.0007	4.6299
32	LR	0.003229	0.0008	4.2244
33	应变能力	0.003224	0.0008	3.9367
34	SD	0.003133	0.0010	3.0204
35	权法	0.003044	0.0015	2.0272
36	水平	0.003038	0.0109	0.2796
37	技术水平	0.002945	0.0017	1.6854
38	大学	0.002924	0.0055	0.5355
39	权重	0.002903	0.0031	0.9410
40	心理	0.002855	0.0011	2.6150
41	RR	0.002839	0.0008	3.7136
42	ij	0.002804	0.0021	1.3340
43	子系统	0.002785	0.0011	2.5504
44	Units	0.002781	0.0006	4.6299
45	科技	0.002748	0.0051	0.5355
46	AHP	0.002579	0.0018	1.4312
47	对人	0.002537	0.0006	4.2244
48	环三	0.002528	0.0005	4.6299
49	安全事故	0.002466	0.0028	0.8687
50	功效	0.002410	0.0007	3.5313
51	逆向	0.002402	0.0010	2.3786
52	内部	0.002293	0.0027	0.8571
53	因果关系	0.002225	0.0010	2.1450
54	环境因素	0.002184	0.0013	1.7395
55	策略	0.002172	0.0016	1.3718
56	不明	0.002160	0.0009	2.3273
57	系数	0.002084	0.0028	0.7483
58	Vensim	0.002076	0.0005	4.2244
59	越高	0.002028	0.0011	1.8573
60	of	0.001927	0.0037	0.5190
61	问卷	0.001927	0.0010	1.8573
62	中度	0.001856	0.0007	2.6150
63	作用	0.001847	0.0044	0.4177
64	突破	0.001810	0.0007	2.5504
65	专业	0.001798	0.0022	0.8232
66	耦器	0.001769	0.0004	4.6299
67	临界值	0.001757	0.0006	2.9251
68	选型	0.001755	0.0020	0.8687
69	人员	0.001739	0.0046	0.3814
70	存量	0.001719	0.0004	3.9367
71	端头	0.001693	0.0015	1.1486
72	risk	0.001692	0.0023	0.7380
73	合格	0.001665	0.0011	1.4518
74	the	0.001659	0.0030	0.5523
75	详见	0.001650	0.0009	1.8890
76	代码	0.001630	0.0008	1.9908
77	越大	0.001630	0.0013	1.2977
78	领域	0.001622	0.0017	0.9286
79	PLE	0.001614	0.0004	4.2244
80	填写	0.001558	0.0007	2.3786
