Rank	Word	TF-IDF	TF	IDF
1	瓯江	0.021889	0.0047	4.6299
2	MEM	0.018158	0.0046	3.9367
3	北口	0.017351	0.0037	4.6299
4	水下	0.015349	0.0100	1.5388
5	兰州	0.010305	0.0054	1.9218
6	学位	0.007897	0.0046	1.7121
7	人文	0.007480	0.0023	3.2436
8	温州	0.007207	0.0016	4.6299
9	过江	0.007104	0.0036	1.9557
10	评价	0.006946	0.0132	0.5272
11	论文	0.006538	0.0049	1.3340
12	自然环境	0.006171	0.0025	2.4326
13	专家	0.006152	0.0102	0.6045
14	指标	0.006060	0.0127	0.4788
15	专家组	0.005727	0.0020	2.8381
16	集对	0.005501	0.0024	2.3273
17	硕士	0.004638	0.0046	1.0055
18	二级	0.004368	0.0035	1.2626
19	温州市	0.003737	0.0008	4.6299
20	权法	0.003448	0.0017	2.0272
21	人工	0.003170	0.0035	0.9163
22	云滴	0.003015	0.0012	2.6150
23	正态	0.003015	0.0012	2.4898
24	发生器	0.002941	0.0012	2.5504
25	mgL	0.002936	0.0006	4.6299
26	大学	0.002902	0.0054	0.5355
27	社会	0.002749	0.0029	0.9536
28	中级	0.002714	0.0010	2.6150
29	流速	0.002703	0.0010	2.7581
30	模型	0.002671	0.0050	0.5355
31	联系	0.002398	0.0019	1.2800
32	工法	0.002290	0.0021	1.1035
33	权重	0.002279	0.0024	0.9410
34	一级	0.002174	0.0021	1.0189
35	事故	0.002118	0.0059	0.3602
36	评分	0.002098	0.0014	1.5163
37	操作	0.002091	0.0035	0.6045
38	评估	0.002077	0.0058	0.3602
39	高风险	0.002005	0.0014	1.3912
40	五元	0.001929	0.0005	3.9367
41	涨潮	0.001869	0.0004	4.6299
42	锤击	0.001832	0.0005	3.5313
43	压换	0.001816	0.0005	3.9367
44	风俗	0.001816	0.0005	3.9367
45	应对	0.001806	0.0032	0.5694
46	云图	0.001805	0.0010	1.7395
47	碎屑	0.001752	0.0005	3.3771
48	腐蚀	0.001741	0.0006	3.0204
49	MATLAB	0.001723	0.0007	2.4898
50	地表水	0.001722	0.0009	1.9908
51	身心状态	0.001713	0.0005	3.7136
52	点检	0.001713	0.0005	3.7136
53	设计变更	0.001713	0.0005	3.7136
54	层面	0.001705	0.0010	1.7395
55	水域	0.001686	0.0006	2.9251
56	均值	0.001685	0.0009	1.8265
57	of	0.001646	0.0032	0.5190
58	极值	0.001636	0.0006	2.8381
59	落潮	0.001602	0.0003	4.6299
60	侵蚀性	0.001602	0.0003	4.6299
61	交通	0.001588	0.0066	0.2416
62	辨识	0.001548	0.0015	1.0326
63	生成	0.001531	0.0009	1.6594
64	构件	0.001529	0.0009	1.7677
65	机械设备	0.001523	0.0013	1.1486
66	层厚	0.001518	0.0005	2.9251
67	正向	0.001502	0.0008	1.7966
68	天气	0.001492	0.0007	1.9908
69	材料	0.001477	0.0026	0.5694
70	自然灾害	0.001476	0.0006	2.3273
71	等级	0.001466	0.0025	0.5781
72	按表	0.001461	0.0003	4.2244
73	且评	0.001461	0.0003	4.2244
74	流量	0.001450	0.0008	1.7966
75	ms	0.001442	0.0005	3.1258
76	安全监管	0.001442	0.0005	3.1258
77	矩阵	0.001440	0.0016	0.8922
78	贯入	0.001393	0.0005	3.0204
79	人员	0.001385	0.0036	0.3814
80	判定	0.001384	0.0010	1.3340
