Rank	Word	TF-IDF	TF	IDF
1	xij	0.023301	0.0082	2.8381
2	中级	0.021469	0.0082	2.6150
3	评价	0.015583	0.0296	0.5272
4	ij	0.012869	0.0096	1.3340
5	集对	0.012420	0.0053	2.3273
6	云图	0.011425	0.0066	1.7395
7	交叉点	0.010671	0.0029	3.7136
8	指标	0.008452	0.0177	0.4788
9	权集	0.008080	0.0021	3.9367
10	联系	0.007882	0.0062	1.2800
11	模型	0.006815	0.0127	0.5355
12	汪伦焰	0.006416	0.0021	3.1258
13	判定	0.006024	0.0045	1.3340
14	黄河	0.005934	0.0029	2.0649
15	极值	0.005825	0.0021	2.8381
16	集结	0.005545	0.0016	3.3771
17	水资源	0.005367	0.0021	2.6150
18	等级	0.005221	0.0090	0.5781
19	白鹤	0.005202	0.0012	4.2244
20	相似	0.005140	0.0037	1.3912
21	权法	0.004993	0.0025	2.0272
22	Hj	0.004752	0.0010	4.6299
23	Ex	0.004599	0.0018	2.4898
24	综合治理	0.004573	0.0012	3.7136
25	高风险	0.004569	0.0033	1.3912
26	对立	0.004349	0.0012	3.5313
27	pair	0.004335	0.0010	4.2244
28	wj	0.004335	0.0010	4.2244
29	郑州	0.004161	0.0021	2.0272
30	评判	0.004113	0.0029	1.4312
31	模糊性	0.004025	0.0025	1.6341
32	the	0.003968	0.0072	0.5523
33	赵荣生	0.003849	0.0012	3.1258
34	En	0.003821	0.0016	2.3273
35	bI	0.003801	0.0008	4.6299
36	李慧敏	0.003801	0.0008	4.6299
37	坝基	0.003801	0.0008	4.6299
38	顾问	0.003801	0.0008	4.6299
39	一级	0.003765	0.0037	1.0189
40	评分	0.003735	0.0025	1.5163
41	随机性	0.003688	0.0021	1.7966
42	工法	0.003624	0.0033	1.1035
43	水利水电	0.003592	0.0016	2.1875
44	基于	0.003548	0.0099	0.3602
45	He	0.003522	0.0016	2.1450
46	人民	0.003483	0.0029	1.2121
47	PPP	0.003397	0.0012	2.7581
48	isk	0.003329	0.0010	3.2436
49	荣雅楠	0.003232	0.0008	3.9367
50	见表	0.003209	0.0037	0.8687
51	entropy	0.003100	0.0010	3.0204
52	权重	0.003090	0.0033	0.9410
53	fij	0.003049	0.0008	3.7136
54	专家	0.002978	0.0049	0.6045
55	计算	0.002900	0.0082	0.3532
56	周前国	0.002899	0.0008	3.5313
57	鸿源	0.002899	0.0008	3.5313
58	水电站	0.002899	0.0008	3.5313
59	Enjwj	0.002851	0.0006	4.6299
60	结果	0.002821	0.0090	0.3124
61	weight	0.002810	0.0014	1.9557
62	研究院	0.002806	0.0012	2.2785
63	归类	0.002806	0.0012	2.2785
64	投资	0.002683	0.0016	1.6341
65	勘测	0.002643	0.0016	1.6094
66	cloud	0.002642	0.0012	2.1450
67	该项	0.002642	0.0012	2.1450
68	randomness	0.002601	0.0006	4.2244
69	sij	0.002601	0.0006	4.2244
70	一致	0.002577	0.0025	1.0463
71	王若腾	0.002566	0.0008	3.1258
72	建设周期	0.002566	0.0008	3.1258
73	of	0.002557	0.0049	0.5190
74	河南	0.002543	0.0012	2.0649
75	was	0.002540	0.0014	1.7677
76	model	0.002522	0.0021	1.2287
77	指标体系	0.002510	0.0025	1.0189
78	Water	0.002497	0.0012	2.0272
79	模糊	0.002496	0.0029	0.8687
80	tion	0.002480	0.0008	3.0204
