Rank	Word	TF-IDF	TF	IDF
1	制浆	0.075122	0.0240	3.1258
2	泥浆	0.046806	0.0436	1.0745
3	ZX	0.027890	0.0075	3.7136
4	净化	0.025381	0.0060	4.2244
5	分离	0.022553	0.0105	2.1450
6	储浆	0.019891	0.0056	3.5313
7	分散	0.018118	0.0064	2.8381
8	新浆	0.017740	0.0045	3.9367
9	粘度	0.015986	0.0056	2.8381
10	制备	0.015913	0.0045	3.5313
11	筛分	0.015913	0.0045	3.5313
12	颗粒	0.014956	0.0090	1.6594
13	流体	0.013181	0.0045	2.9251
14	调浆	0.011826	0.0030	3.9367
15	槽内	0.011156	0.0030	3.7136
16	盐类	0.011104	0.0026	4.2244
17	泥水	0.010388	0.0131	0.7904
18	造浆	0.010348	0.0026	3.9367
19	漏斗	0.010145	0.0030	3.3771
20	沉淀池	0.009518	0.0023	4.2244
21	吸附	0.009282	0.0026	3.5313
22	剪切板	0.008693	0.0019	4.6299
23	粘土	0.008211	0.0053	1.5618
24	分子量	0.007932	0.0019	4.2244
25	聚丙烯酸	0.007932	0.0019	4.2244
26	废浆	0.007932	0.0019	4.2244
27	污浆	0.007932	0.0019	4.2244
28	渣料	0.007932	0.0019	4.2244
29	溢流	0.007392	0.0019	3.9367
30	旋流器	0.007392	0.0019	3.9367
31	配制	0.007043	0.0023	3.1258
32	含砂率	0.006973	0.0019	3.7136
33	网状结构	0.006973	0.0019	3.7136
34	储液	0.006954	0.0015	4.6299
35	分离出来	0.006345	0.0015	4.2244
36	石棉	0.006345	0.0015	4.2244
37	流变性	0.006345	0.0015	4.2244
38	旋流	0.006345	0.0015	4.2244
39	除砂	0.006345	0.0015	4.2244
40	碴料	0.006345	0.0015	4.2244
41	条缝	0.006345	0.0015	4.2244
42	抽吸	0.006345	0.0015	4.2244
43	中储	0.006345	0.0015	4.2244
44	射流	0.006345	0.0015	4.2244
45	仪器	0.006118	0.0026	2.3273
46	筛板	0.005913	0.0015	3.9367
47	排出	0.005875	0.0030	1.9557
48	喷嘴	0.005578	0.0015	3.7136
49	携带	0.005492	0.0019	2.9251
50	悬浮	0.005304	0.0015	3.5313
51	砂岩	0.005278	0.0034	1.5618
52	浆沟	0.005216	0.0011	4.6299
53	增效	0.005216	0.0011	4.6299
54	护壁	0.005073	0.0015	3.3771
55	粒度	0.005073	0.0015	3.3771
56	加入	0.005052	0.0026	1.9218
57	膨润土	0.004978	0.0034	1.4729
58	比重	0.004966	0.0026	1.8890
59	有益	0.004910	0.0019	2.6150
60	泥岩	0.004801	0.0026	1.8265
61	用途	0.004789	0.0019	2.5504
62	组份	0.004759	0.0011	4.2244
63	纤维素	0.004759	0.0011	4.2244
64	切力	0.004759	0.0011	4.2244
65	浆池	0.004759	0.0011	4.2244
66	处理量	0.004759	0.0011	4.2244
67	总进	0.004759	0.0011	4.2244
68	渣浆泵	0.004759	0.0011	4.2244
69	漫浆	0.004759	0.0011	4.2244
70	浮标	0.004759	0.0011	4.2244
71	叶轮	0.004759	0.0011	4.2244
72	沉淀	0.004695	0.0015	3.1258
73	浆管	0.004695	0.0015	3.1258
74	装置	0.004653	0.0045	1.0326
75	体系	0.004458	0.0068	0.6596
76	布满	0.004435	0.0011	3.9367
77	固相	0.004435	0.0011	3.9367
78	池中	0.004435	0.0011	3.9367
79	脱水	0.004435	0.0011	3.9367
80	液面	0.004435	0.0011	3.9367
