Rank	Word	TF-IDF	TF	IDF
1	用电	0.021986	0.0090	2.4326
2	予以	0.012710	0.0058	2.1875
3	同样	0.012226	0.0097	1.2626
4	电缆	0.007355	0.0032	2.2785
5	作业	0.007255	0.0142	0.5108
6	严格把关	0.006839	0.0019	3.5313
7	往往	0.006585	0.0058	1.1334
8	因为	0.006412	0.0058	1.1035
9	必然	0.006203	0.0032	1.9218
10	不容忽视	0.006054	0.0019	3.1258
11	双回路	0.005978	0.0013	4.6299
12	专供	0.005978	0.0013	4.6299
13	力求	0.005850	0.0019	3.0204
14	明显	0.005545	0.0090	0.6135
15	贾建忠	0.005454	0.0013	4.2244
16	零配件	0.005454	0.0013	4.2244
17	安全隐患	0.005332	0.0045	1.1799
18	操作过程	0.005083	0.0013	3.9367
19	侥幸心理	0.005083	0.0013	3.9367
20	注重	0.005050	0.0026	1.9557
21	后续	0.004965	0.0065	0.7691
22	更好	0.004921	0.0045	1.0889
23	长期	0.004824	0.0032	1.4944
24	入手	0.004711	0.0019	2.4326
25	但是	0.004666	0.0045	1.0326
26	配电箱	0.004559	0.0013	3.5313
27	施工人员	0.004547	0.0052	0.8804
28	更是	0.004507	0.0019	2.3273
29	关注	0.004367	0.0045	0.9663
30	钢制	0.004360	0.0013	3.3771
31	当然	0.004360	0.0013	3.3771
32	如果	0.004348	0.0058	0.7483
33	较为	0.004197	0.0065	0.6502
34	隐患	0.004189	0.0032	1.2977
35	威胁	0.004156	0.0026	1.6094
36	选用	0.004107	0.0039	1.0603
37	替换	0.004036	0.0013	3.1258
38	不是	0.004033	0.0026	1.5618
39	触电	0.003999	0.0019	2.0649
40	尤其	0.003926	0.0045	0.8687
41	安全事故	0.003926	0.0045	0.8687
42	以此	0.003860	0.0032	1.1959
43	力度	0.003856	0.0019	1.9908
44	提升	0.003759	0.0052	0.7279
45	型号	0.003722	0.0019	1.9218
46	勘察	0.003670	0.0058	0.6317
47	依然	0.003664	0.0013	2.8381
48	促使	0.003664	0.0013	2.8381
49	表现	0.003658	0.0032	1.1334
50	几率	0.003465	0.0013	2.6840
51	其它	0.003423	0.0019	1.7677
52	能够	0.003400	0.0071	0.4788
53	一些	0.003377	0.0032	1.0463
54	严重后果	0.003376	0.0013	2.6150
55	运行	0.003320	0.0039	0.8571
56	需要	0.003241	0.0168	0.1931
57	而言	0.003165	0.0019	1.6341
58	理想	0.003165	0.0019	1.6341
59	相匹配	0.003071	0.0013	2.3786
60	如此	0.003071	0.0013	2.3786
61	机型	0.003071	0.0013	2.3786
62	适宜	0.003005	0.0013	2.3273
63	置办	0.002989	0.0006	4.6299
64	阴暗	0.002989	0.0006	4.6299
65	招募	0.002989	0.0006	4.6299
66	滥竽	0.002989	0.0006	4.6299
67	留设	0.002989	0.0006	4.6299
68	滥竽充数	0.002989	0.0006	4.6299
69	马虎	0.002989	0.0006	4.6299
70	大意	0.002989	0.0006	4.6299
71	应用状况	0.002989	0.0006	4.6299
72	智学民	0.002989	0.0006	4.6299
73	崔清峰	0.002989	0.0006	4.6299
74	年刊	0.002989	0.0006	4.6299
75	灌南	0.002989	0.0006	4.6299
76	HOUSING	0.002989	0.0006	4.6299
77	FACILITIES	0.002989	0.0006	4.6299
78	特别	0.002927	0.0026	1.1334
79	各类	0.002888	0.0026	1.1183
80	前端	0.002882	0.0013	2.2320
