Rank	Word	TF-IDF	TF	IDF
1	液化	0.109744	0.0409	2.6840
2	广石路	0.024693	0.0053	4.6299
3	土层	0.019012	0.0329	0.5781
4	黏质	0.015601	0.0053	2.9251
5	成型	0.010487	0.0062	1.6854
6	粉土	0.009298	0.0062	1.4944
7	判别	0.009010	0.0044	2.0272
8	胡立群	0.008231	0.0018	4.6299
9	青石路	0.008231	0.0018	4.6299
10	qk	0.008231	0.0018	4.6299
11	玻璃幕墙	0.008231	0.0018	4.6299
12	无锡	0.007800	0.0027	2.9251
13	直剪	0.007510	0.0018	4.2244
14	黏土	0.007317	0.0089	0.8232
15	栽头	0.006487	0.0027	2.4326
16	位移	0.006095	0.0071	0.8571
17	南端	0.006004	0.0018	3.3771
18	改良	0.005535	0.0044	1.2455
19	粉质	0.005478	0.0062	0.8804
20	间隙	0.005434	0.0053	1.0189
21	抗震	0.005370	0.0018	3.0204
22	重度	0.005215	0.0027	1.9557
23	姿态	0.005105	0.0071	0.7178
24	扰动	0.004985	0.0089	0.5608
25	土体	0.004925	0.0142	0.3463
26	后部	0.004649	0.0018	2.6150
27	地震	0.004566	0.0027	1.7121
28	前盾	0.004426	0.0018	2.4898
29	钢结构	0.004426	0.0018	2.4898
30	颗粒	0.004425	0.0027	1.6594
31	砂土	0.004358	0.0027	1.6341
32	深约	0.004229	0.0018	2.3786
33	浮力	0.004229	0.0018	2.3786
34	卫佳莺	0.004115	0.0009	4.6299
35	以其安	0.004115	0.0009	4.6299
36	等于零	0.004115	0.0009	4.6299
37	将结	0.004115	0.0009	4.6299
38	固快	0.004115	0.0009	4.6299
39	呈北	0.004115	0.0009	4.6299
40	囊括	0.004115	0.0009	4.6299
41	福特	0.004115	0.0009	4.6299
42	斜管	0.004115	0.0009	4.6299
43	钢质	0.004115	0.0009	4.6299
44	位密度	0.004115	0.0009	4.6299
45	重尾轻	0.004115	0.0009	4.6299
46	翘起	0.004115	0.0009	4.6299
47	洞尾	0.004115	0.0009	4.6299
48	生产秩序	0.004115	0.0009	4.6299
49	持力层	0.004115	0.0009	4.6299
50	唐益	0.004115	0.0009	4.6299
51	宋永辉	0.004115	0.0009	4.6299
52	土中施	0.004115	0.0009	4.6299
53	王胜平	0.004115	0.0009	4.6299
54	高翔	0.004115	0.0009	4.6299
55	许府	0.004115	0.0009	4.6299
56	南京站	0.004115	0.0009	4.6299
57	可控	0.004044	0.0027	1.5163
58	泄露	0.003968	0.0018	2.2320
59	可向	0.003755	0.0009	4.2244
60	哪一条	0.003755	0.0009	4.2244
61	旦盾	0.003755	0.0009	4.2244
62	构筑物	0.003575	0.0036	1.0055
63	向上	0.003539	0.0018	1.9908
64	第三次	0.003499	0.0009	3.9367
65	第四次	0.003499	0.0009	3.9367
66	恶性循环	0.003499	0.0009	3.9367
67	落地	0.003499	0.0009	3.9367
68	田瑞忠	0.003499	0.0009	3.9367
69	体有	0.003499	0.0009	3.9367
70	周念清	0.003499	0.0009	3.9367
71	含水量	0.003477	0.0018	1.9557
72	必然	0.003417	0.0018	1.9218
73	设计规范	0.003358	0.0018	1.8890
74	多地	0.003301	0.0009	3.7136
75	零时	0.003301	0.0009	3.7136
76	cms	0.003301	0.0009	3.7136
77	度约	0.003301	0.0009	3.7136
78	一片	0.003301	0.0009	3.7136
79	物理性能	0.003301	0.0009	3.7136
80	加剂	0.003301	0.0009	3.7136
