Rank	Word	TF-IDF	TF	IDF
1	砂层	0.023040	0.0220	1.0463
2	厚浆	0.017577	0.0038	4.6299
3	拱顶	0.016297	0.0129	1.2626
4	气压	0.015392	0.0076	2.0272
5	泥质	0.015256	0.0084	1.8265
6	深厚	0.014777	0.0046	3.2436
7	下上	0.014062	0.0030	4.6299
8	砂岩	0.013045	0.0084	1.5618
9	模式	0.011281	0.0121	0.9286
10	超方	0.010257	0.0030	3.3771
11	抬头	0.009851	0.0030	3.2436
12	软下	0.007828	0.0053	1.4729
13	上浮	0.007775	0.0061	1.2800
14	分力	0.007693	0.0023	3.3771
15	舱内	0.007388	0.0030	2.4326
16	风化	0.007353	0.0084	0.8804
17	TRANSPORTATION	0.007031	0.0015	4.6299
18	南涌	0.007031	0.0015	4.6299
19	位处	0.007031	0.0015	4.6299
20	逃窜	0.007031	0.0015	4.6299
21	辅助	0.006527	0.0061	1.0745
22	滑塌	0.006415	0.0015	4.2244
23	全土压	0.006415	0.0015	4.2244
24	陈村	0.006415	0.0015	4.2244
25	高新科技	0.006415	0.0015	4.2244
26	负重	0.006415	0.0015	4.2244
27	粘着	0.006415	0.0015	4.2244
28	盾体	0.006399	0.0038	1.6854
29	垮塌	0.006114	0.0023	2.6840
30	中线	0.006046	0.0030	1.9908
31	满仓	0.005978	0.0015	3.9367
32	压低	0.005978	0.0015	3.9367
33	循环水	0.005978	0.0015	3.9367
34	土仓内	0.005837	0.0030	1.9218
35	推力	0.005682	0.0076	0.7483
36	CIVIL	0.005639	0.0015	3.7136
37	塌孔	0.005639	0.0015	3.7136
38	泥饼	0.005547	0.0030	1.8265
39	下部	0.005434	0.0038	1.4312
40	ENGINEERING	0.005363	0.0015	3.5313
41	气密性	0.005363	0.0015	3.5313
42	新城	0.005363	0.0015	3.5313
43	上部	0.004870	0.0053	0.9163
44	出土	0.004806	0.0053	0.9042
45	渣土	0.004767	0.0046	1.0463
46	海瑞	0.004587	0.0015	3.0204
47	体外	0.004587	0.0015	3.0204
48	土仓	0.004521	0.0046	0.9923
49	复紧	0.004442	0.0015	2.9251
50	径向	0.004231	0.0023	1.8573
51	刀盘	0.004102	0.0114	0.3602
52	温度	0.004093	0.0023	1.7966
53	富含	0.004076	0.0015	2.6840
54	超前	0.003887	0.0030	1.2800
55	注入	0.003817	0.0038	1.0055
56	淤泥	0.003783	0.0030	1.2455
57	加之	0.003781	0.0015	2.4898
58	粉细砂	0.003780	0.0023	1.6594
59	分配	0.003780	0.0023	1.6594
60	栽头	0.003694	0.0015	2.4326
61	土体	0.003681	0.0106	0.3463
62	盘结	0.003612	0.0015	2.3786
63	浮力	0.003612	0.0015	2.3786
64	粘性	0.003534	0.0015	2.3273
65	戚仁勇	0.003515	0.0008	4.6299
66	无自	0.003515	0.0008	4.6299
67	满土仓	0.003515	0.0008	4.6299
68	土仓负	0.003515	0.0008	4.6299
69	过大后	0.003515	0.0008	4.6299
70	匹合	0.003515	0.0008	4.6299
71	低头	0.003515	0.0008	4.6299
72	需使	0.003515	0.0008	4.6299
73	较盾体	0.003515	0.0008	4.6299
74	涌及	0.003515	0.0008	4.6299
75	熟石灰	0.003515	0.0008	4.6299
76	时厚浆	0.003515	0.0008	4.6299
77	中拟	0.003515	0.0008	4.6299
78	结密	0.003515	0.0008	4.6299
79	观察所	0.003515	0.0008	4.6299
80	证为	0.003515	0.0008	4.6299
